Case ID,Round,FeatGender,FeatPartyID,FeatEUIntegration,FeatScandal,Chosen Candidate,UK Citizen,Prime Minister,Vote Last 5 Yrs,Age,Party ID,Party Strength,Gender,EU Integration,Education,IPAddress,online,Same Choice
3,4,Female,Conservative Party,Support EU Integration,Sexual Harassment,0,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
3,4,Female,Liberal Democrats,Neutral,No Scandal,1,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
3,5,Female,Labour Party,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
3,5,Female,Liberal Democrats,Support EU Integration,Plagiarism,0,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
3,6,Male,Liberal Democrats,Oppose EU Integration,No Scandal,1,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
3,6,Male,Conservative Party,Neutral,Misreporting Funds,0,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
4,1,Female,Conservative Party,Neutral,Sexual Harassment,1,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,1,Male,Conservative Party,Neutral,No Scandal,0,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,2,Female,Liberal Democrats,Oppose EU Integration,Plagiarism,1,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,2,Female,Conservative Party,Support EU Integration,No Scandal,0,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,3,Male,Labour Party,Oppose EU Integration,Plagiarism,1,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,3,Female,Liberal Democrats,Support EU Integration,Misreporting Funds,0,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,4,Female,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,0,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,4,Female,Liberal Democrats,Oppose EU Integration,No Scandal,1,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,5,Male,Liberal Democrats,Support EU Integration,Misreporting Funds,0,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,5,Female,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,6,Female,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
4,6,Male,Labour Party,Neutral,Having an Extramarital Affair,1,1,1,1,1,1,1,2,5,3,82.27.112.61,1,0
5,1,Female,Conservative Party,Oppose EU Integration,Plagiarism,0,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,1,Female,Liberal Democrats,Support EU Integration,Having an Extramarital Affair,1,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,2,Female,Conservative Party,Support EU Integration,Having an Extramarital Affair,1,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,2,Male,Labour Party,Oppose EU Integration,Misreporting Funds,0,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,3,Female,Conservative Party,Support EU Integration,Plagiarism,1,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,3,Female,Conservative Party,Neutral,Having an Extramarital Affair,0,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,4,Male,Conservative Party,Support EU Integration,Sexual Harassment,1,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,4,Male,Conservative Party,Oppose EU Integration,Plagiarism,0,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,5,Male,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,5,Male,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,6,Female,Liberal Democrats,Oppose EU Integration,Sexual Harassment,0,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
5,6,Male,Liberal Democrats,Support EU Integration,No Scandal,1,1,1,1,3,1,3,1,2,3,155.245.58.127,1,0
6,1,Male,Labour Party,Support EU Integration,Having an Extramarital Affair,1,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,1,Male,Liberal Democrats,Support EU Integration,Having an Extramarital Affair,0,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,2,Female,Labour Party,Oppose EU Integration,No Scandal,1,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,2,Female,Liberal Democrats,Support EU Integration,Plagiarism,0,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,3,Female,Labour Party,Neutral,Misreporting Funds,1,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,3,Female,Liberal Democrats,Oppose EU Integration,Sexual Harassment,0,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,4,Female,Labour Party,Oppose EU Integration,No Scandal,1,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,4,Male,Liberal Democrats,Oppose EU Integration,No Scandal,0,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,5,Male,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,5,Male,Conservative Party,Neutral,Plagiarism,0,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,6,Male,Conservative Party,Oppose EU Integration,Plagiarism,0,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
6,6,Male,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,1,1,3,1,2,3,86.132.231.179,1,0
7,1,Male,Conservative Party,Neutral,Misreporting Funds,1,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,1,Male,Liberal Democrats,Oppose EU Integration,Plagiarism,0,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,2,Male,Labour Party,Support EU Integration,Sexual Harassment,1,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,2,Male,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,3,Female,Liberal Democrats,Oppose EU Integration,No Scandal,0,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,3,Female,Liberal Democrats,Neutral,No Scandal,1,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,4,Male,Liberal Democrats,Neutral,Sexual Harassment,1,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,4,Female,Labour Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,5,Female,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,5,Female,Labour Party,Support EU Integration,Misreporting Funds,0,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,6,Male,Conservative Party,Neutral,No Scandal,1,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
7,6,Male,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,4,2,3,2,2,3,86.147.203.180,1,0
8,1,Female,Labour Party,Neutral,Having an Extramarital Affair,0,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,1,Male,Conservative Party,Support EU Integration,Having an Extramarital Affair,1,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,2,Male,Liberal Democrats,Neutral,Sexual Harassment,1,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,2,Female,Labour Party,Support EU Integration,Misreporting Funds,0,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,3,Female,Liberal Democrats,Support EU Integration,Having an Extramarital Affair,0,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,3,Female,Liberal Democrats,Oppose EU Integration,Plagiarism,1,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,4,Male,Conservative Party,Oppose EU Integration,Sexual Harassment,1,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,4,Male,Labour Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,5,Male,Conservative Party,Support EU Integration,Sexual Harassment,1,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,5,Male,Liberal Democrats,Oppose EU Integration,Misreporting Funds,0,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,6,Female,Labour Party,Neutral,Sexual Harassment,0,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
8,6,Female,Conservative Party,Oppose EU Integration,Misreporting Funds,1,1,1,1,3,2,2,2,6,2,82.132.227.74,1,0
9,1,Female,Liberal Democrats,Support EU Integration,Plagiarism,1,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,1,Male,Liberal Democrats,Oppose EU Integration,Sexual Harassment,0,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,2,Female,Liberal Democrats,Support EU Integration,Sexual Harassment,0,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,2,Male,Liberal Democrats,Support EU Integration,Misreporting Funds,1,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,3,Female,Conservative Party,Support EU Integration,Plagiarism,1,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,3,Male,Labour Party,Support EU Integration,Misreporting Funds,0,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,4,Male,Conservative Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,4,Male,Liberal Democrats,Neutral,No Scandal,1,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,5,Male,Conservative Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,5,Female,Conservative Party,Neutral,Having an Extramarital Affair,1,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,6,Female,Liberal Democrats,Oppose EU Integration,Plagiarism,1,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
9,6,Female,Conservative Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,2,2,4,2,1,3,77.111.247.72,1,0
10,1,Male,Conservative Party,Neutral,Misreporting Funds,0,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,1,Male,Conservative Party,Support EU Integration,Misreporting Funds,1,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,2,Female,Liberal Democrats,Support EU Integration,Sexual Harassment,0,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,2,Male,Liberal Democrats,Neutral,Misreporting Funds,1,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,3,Male,Labour Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,3,Male,Conservative Party,Support EU Integration,No Scandal,1,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,4,Female,Labour Party,Neutral,Misreporting Funds,0,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,4,Female,Labour Party,Oppose EU Integration,No Scandal,1,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,5,Male,Labour Party,Support EU Integration,Plagiarism,1,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,5,Male,Conservative Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,6,Male,Liberal Democrats,Neutral,Misreporting Funds,1,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
10,6,Female,Liberal Democrats,Oppose EU Integration,Plagiarism,0,1,1,1,2,1,3,1,1,3,86.167.232.130,1,0
11,1,Female,Conservative Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,1,Male,Conservative Party,Support EU Integration,Misreporting Funds,1,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,2,Female,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,2,Male,Conservative Party,Support EU Integration,Plagiarism,1,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,3,Female,Conservative Party,Neutral,Misreporting Funds,1,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,3,Male,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,0,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,4,Male,Labour Party,Neutral,Plagiarism,0,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,4,Male,Liberal Democrats,Support EU Integration,Having an Extramarital Affair,1,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,5,Female,Conservative Party,Support EU Integration,Having an Extramarital Affair,1,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,5,Female,Liberal Democrats,Neutral,Sexual Harassment,0,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,6,Female,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,0,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
11,6,Male,Liberal Democrats,Neutral,Misreporting Funds,1,1,1,1,3,1,4,2,1,3,86.30.98.84,1,0
12,1,Male,Conservative Party,Neutral,Plagiarism,0,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,1,Male,Liberal Democrats,Neutral,Having an Extramarital Affair,1,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,2,Female,Conservative Party,Neutral,Having an Extramarital Affair,1,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,2,Male,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,3,Male,Labour Party,Support EU Integration,Sexual Harassment,0,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,3,Female,Liberal Democrats,Support EU Integration,No Scandal,1,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,4,Male,Labour Party,Support EU Integration,No Scandal,1,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,4,Female,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,5,Female,Liberal Democrats,Oppose EU Integration,Sexual Harassment,1,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,5,Female,Labour Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,6,Male,Liberal Democrats,Neutral,Plagiarism,1,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
12,6,Female,Liberal Democrats,Support EU Integration,Sexual Harassment,0,1,1,1,5,4,4,1,4,3,86.148.156.140,1,0
13,1,Male,Liberal Democrats,Oppose EU Integration,Sexual Harassment,1,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,1,Female,Labour Party,Support EU Integration,Sexual Harassment,0,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,2,Female,Liberal Democrats,Support EU Integration,Sexual Harassment,0,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,2,Male,Liberal Democrats,Oppose EU Integration,No Scandal,1,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,3,Female,Labour Party,Support EU Integration,Plagiarism,0,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,3,Male,Labour Party,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,4,Male,Conservative Party,Oppose EU Integration,Misreporting Funds,0,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,4,Male,Labour Party,Neutral,Having an Extramarital Affair,1,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,5,Female,Labour Party,Neutral,Misreporting Funds,0,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,5,Female,Labour Party,Oppose EU Integration,Sexual Harassment,1,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,6,Female,Labour Party,Neutral,No Scandal,1,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
13,6,Female,Labour Party,Support EU Integration,No Scandal,0,1,1,1,2,3,3,1,6,3,31.221.65.146,1,0
14,1,Female,Liberal Democrats,Neutral,Having an Extramarital Affair,0,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,1,Male,Conservative Party,Support EU Integration,Misreporting Funds,1,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,2,Female,Conservative Party,Oppose EU Integration,Misreporting Funds,1,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,2,Female,Conservative Party,Oppose EU Integration,Plagiarism,0,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,3,Male,Liberal Democrats,Oppose EU Integration,Sexual Harassment,0,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,3,Male,Labour Party,Neutral,Misreporting Funds,1,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,4,Female,Conservative Party,Neutral,Plagiarism,0,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,4,Male,Labour Party,Neutral,Misreporting Funds,1,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,5,Male,Labour Party,Support EU Integration,Plagiarism,1,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,5,Female,Conservative Party,Neutral,Misreporting Funds,0,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,6,Female,Labour Party,Oppose EU Integration,No Scandal,1,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
14,6,Male,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,1,1,4,1,1,3,81.109.254.163,1,0
15,1,Male,Labour Party,Support EU Integration,No Scandal,1,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,1,Female,Liberal Democrats,Support EU Integration,Plagiarism,0,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,2,Male,Conservative Party,Support EU Integration,Having an Extramarital Affair,1,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,2,Male,Liberal Democrats,Neutral,Having an Extramarital Affair,0,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,3,Male,Liberal Democrats,Support EU Integration,Misreporting Funds,1,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,3,Female,Conservative Party,Oppose EU Integration,Misreporting Funds,0,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,4,Male,Conservative Party,Neutral,Plagiarism,0,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,4,Female,Labour Party,Neutral,No Scandal,1,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,5,Male,Conservative Party,Support EU Integration,No Scandal,1,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,5,Female,Labour Party,Neutral,Having an Extramarital Affair,0,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,6,Female,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
15,6,Male,Labour Party,Neutral,Sexual Harassment,1,1,1,1,1,7,0,1,2,3,86.12.161.20,1,0
16,1,Male,Conservative Party,Support EU Integration,Plagiarism,1,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,1,Female,Liberal Democrats,Support EU Integration,Sexual Harassment,0,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,2,Male,Liberal Democrats,Support EU Integration,Plagiarism,1,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,2,Male,Conservative Party,Oppose EU Integration,Misreporting Funds,0,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,3,Male,Liberal Democrats,Neutral,Plagiarism,1,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,3,Male,Liberal Democrats,Neutral,Sexual Harassment,0,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,4,Male,Labour Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,4,Female,Liberal Democrats,Neutral,No Scandal,1,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,5,Male,Conservative Party,Support EU Integration,No Scandal,1,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,5,Male,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,6,Female,Labour Party,Neutral,Having an Extramarital Affair,1,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
16,6,Male,Conservative Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,1,4,3,1,1,3,5.151.215.96,1,0
17,1,Male,Conservative Party,Neutral,Misreporting Funds,0,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,1,Male,Liberal Democrats,Neutral,Misreporting Funds,1,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,2,Male,Labour Party,Support EU Integration,Misreporting Funds,0,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,2,Male,Liberal Democrats,Oppose EU Integration,Sexual Harassment,1,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,3,Male,Liberal Democrats,Support EU Integration,Having an Extramarital Affair,1,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,3,Male,Conservative Party,Support EU Integration,Misreporting Funds,0,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,4,Female,Labour Party,Oppose EU Integration,Misreporting Funds,0,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,4,Male,Labour Party,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,5,Male,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,5,Female,Labour Party,Support EU Integration,No Scandal,0,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,6,Male,Labour Party,Support EU Integration,No Scandal,1,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
17,6,Male,Liberal Democrats,Support EU Integration,Misreporting Funds,0,1,1,1,3,3,4,1,5,3,86.1.190.190,1,0
18,1,Female,Conservative Party,Neutral,Sexual Harassment,1,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,1,Female,Liberal Democrats,Neutral,Misreporting Funds,0,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,2,Male,Labour Party,Neutral,Sexual Harassment,0,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,2,Male,Liberal Democrats,Support EU Integration,Sexual Harassment,1,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,3,Male,Liberal Democrats,Oppose EU Integration,Plagiarism,0,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,3,Male,Conservative Party,Support EU Integration,Plagiarism,1,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,4,Male,Conservative Party,Support EU Integration,No Scandal,1,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,4,Male,Conservative Party,Oppose EU Integration,Misreporting Funds,0,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,5,Female,Conservative Party,Neutral,Having an Extramarital Affair,1,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,5,Female,Liberal Democrats,Support EU Integration,Misreporting Funds,0,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,6,Male,Liberal Democrats,Support EU Integration,Misreporting Funds,1,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
18,6,Female,Conservative Party,Oppose EU Integration,Misreporting Funds,0,1,1,1,3,2,3,1,1,3,155.245.59.228,1,0
19,1,Female,Labour Party,Support EU Integration,No Scandal,1,1,1,1,2,4,3,1,4,3,86.1.186.170,1,0
19,1,Female,Conservative Party,Support EU Integration,No Scandal,0,1,1,1,2,4,3,1,4,3,86.1.186.170,1,0
