,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
11,155.245.28.14,100,30,TRUE,2018/4/24 04:08,R_3F5wrHQIaSro0a6,,,,,51.90859985,0.920898438,anonymous,EN,14.04,16.201,16.97,2,Minister 2,13.309,13.309,14.147,1,Minister 2,PM's Scandal,Plagiarism,Gender,Female,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Plagiarism,Male,Support EU Integration,Plagiarism,Oppose EU Integration,Labour Party,Labour Party,PM's Scandal,Misreporting Funds,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,Scandal,Plagiarism,EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Having an Extramarital Affair,Female,Oppose EU Integration,No Scandal,Oppose EU Integration,Liberal Democrats,Conservative Party
12,155.245.28.10,100,25,TRUE,2018/4/24 04:09,R_2P74BzN9FMAHSU2,,,,,51.90859985,0.920898438,anonymous,EN,12.768,12.768,13.943,1,Minister 1,9.458,9.458,10.459,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Plagiarism,Gender,Female,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,Oppose EU Integration,Conservative Party,Conservative Party,Having an Extramarital Affair,Female,Support EU Integration,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Neutral,Labour Party,Labour Party,Sexual Harassment,Male,Neutral,Sexual Harassment
13,155.245.28.4,100,39,TRUE,2018/4/24 04:11,R_TualsR1iWGLhqud,,,,,51.90859985,0.920898438,anonymous,EN,25.527,25.527,27.537,1,Minister 2,10.656,10.656,11.461,1,Minister 2,EU Integration,Neutral,PM's Partisanship,Labour Party,Gender,Female,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Party Affiliation,Labour Party,Support EU Integration,Labour Party,Male,Plagiarism,Support EU Integration,No Scandal,Labour Party,EU Integration,Neutral,PM's Partisanship,Conservative Party,Gender,Female,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Support EU Integration,Conservative Party,Male,Having an Extramarital Affair,Oppose EU Integration,Plagiarism,Conservative Party
14,155.245.28.9,100,30,TRUE,2018/4/24 04:12,R_3JJb0ownIY0vyd1,,,,,51.90859985,0.920898438,anonymous,EN,15.903,15.903,17.327,1,Minister 1,11.02,11.02,12.497,1,Minister 2,PM's Scandal,Misreporting Funds,Scandal,No Scandal,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Misreporting Funds,No Scandal,Oppose EU Integration,Conservative Party,Female,Neutral,Liberal Democrats,PM's Scandal,Plagiarism,Scandal,Misreporting Funds,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Male,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Having an Extramarital Affair,Sexual Harassment,Oppose EU Integration,Conservative Party,Male,Neutral,Liberal Democrats
15,155.245.28.11,100,59,TRUE,2018/4/24 04:15,R_ywMct4z6g3Rnfot,,,,,51.90859985,0.920898438,anonymous,EN,22.281,22.281,24.902,1,Minister 2,34.198,34.198,35.958,1,Minister 1,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Gender,Male,PM's Partisanship,Conservative Party,Plagiarism,Support EU Integration,Neutral,No Scandal,Labour Party,Female,Labour Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,EU Integration,Neutral,PM's Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Female,PM's Partisanship,Labour Party,Plagiarism,Neutral,Support EU Integration,Plagiarism,Liberal Democrats,Male,Conservative Party
16,155.245.28.10,100,56,TRUE,2018/4/24 04:38,R_1ooOj3lCK4dxRRb,,,,,51.90859985,0.920898438,anonymous,EN,28.02,28.02,29.283,1,Minister 2,12.656,25.457,28.102,2,Minister 1,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Scandal,No Scandal,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Gender,Male,Labour Party,Plagiarism,Oppose EU Integration,No Scandal,Neutral,Labour Party,Male,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Female,Labour Party,No Scandal,Support EU Integration,Misreporting Funds,Neutral,Labour Party,Female
17,155.245.28.4,100,39,TRUE,2018/4/24 04:38,R_6yvURyqOHWEYAjn,,,,,51.90859985,0.920898438,anonymous,EN,19.047,19.047,21.897,1,Minister 2,16.429,16.429,18.527,1,Minister 2,PM's Scandal,Plagiarism,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Female,EU Integration,Neutral,Party Affiliation,Conservative Party,Plagiarism,No Scandal,Neutral,Conservative Party,Male,Oppose EU Integration,Conservative Party,PM's Scandal,Plagiarism,Scandal,No Scandal,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Plagiarism,Having an Extramarital Affair,Oppose EU Integration,Labour Party,Male,Neutral,Labour Party
18,155.245.28.8,100,19,TRUE,2018/4/24 05:39,R_AAHHsnaK3l4qpXz,,,,,51.90859985,0.920898438,anonymous,EN,8.819,8.819,10.972,1,Minister 1,6.217,6.217,7.271,1,Minister 1,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,Gender,Female,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Liberal Democrats,Oppose EU Integration,Misreporting Funds,Female,Conservative Party,Misreporting Funds,Support EU Integration,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Gender,Female,PM's Partisanship,Labour Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Conservative Party,Support EU Integration,Sexual Harassment,Female,Conservative Party,Plagiarism,Oppose EU Integration
19,155.245.28.12,100,19,TRUE,2018/4/24 06:04,R_1Ks4PeCZmzwTsgA,,,,,51.90859985,0.920898438,anonymous,EN,9.65,9.65,10.947,1,Minister 1,6.239,6.239,7.463,1,Minister 1,Party Affiliation,Labour Party,EU Integration,Neutral,PM's Partisanship,Labour Party,PM's Scandal,No Scandal,Scandal,No Scandal,Gender,Male,PM's Position in EU Integration,Support EU Integration,Liberal Democrats,Support EU Integration,Conservative Party,Sexual Harassment,Plagiarism,Female,Support EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,Gender,Male,PM's Position in EU Integration,Neutral,Labour Party,Oppose EU Integration,Labour Party,No Scandal,Misreporting Funds,Male,Neutral
20,155.245.28.11,100,19,TRUE,2018/4/24 06:04,R_3NFfU9Jmm2ybBFJ,,,,,51.90859985,0.920898438,anonymous,EN,7.163,7.163,8.47,1,Minister 1,4.661,4.661,10.688,1,Minister 2,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,Labour Party,Oppose EU Integration,Female,Labour Party,Plagiarism,Oppose EU Integration,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,EU Integration,Neutral,Scandal,Plagiarism,Conservative Party,Support EU Integration,Female,Conservative Party,Misreporting Funds,Oppose EU Integration,Having an Extramarital Affair
21,155.245.28.4,100,31,TRUE,2018/4/24 06:06,R_2QXa1dm0W6m9PJk,,,,,51.90859985,0.920898438,anonymous,EN,20.531,20.531,21.422,1,Minister 2,9.045,9.045,10.592,1,Minister 2,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Gender,Female,Scandal,Plagiarism,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Conservative Party,Oppose EU Integration,Male,Plagiarism,Conservative Party,Having an Extramarital Affair,Support EU Integration,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Conservative Party,Neutral,Male,No Scandal,Liberal Democrats,No Scandal,Support EU Integration
22,155.245.28.13,100,27,TRUE,2018/4/24 06:09,R_3JJ0inRorFloacs,,,,,51.90859985,0.920898438,anonymous,EN,13.042,13.042,14.72,1,Minister 2,10.804,10.804,12.961,1,Minister 1,PM's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Scandal,No Scandal,PM's Position in EU Integration,Neutral,Gender,Male,Having an Extramarital Affair,Neutral,Conservative Party,Conservative Party,No Scandal,Neutral,Female,PM's Scandal,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Gender,Male,Sexual Harassment,Support EU Integration,Liberal Democrats,Conservative Party,Plagiarism,Neutral,Female
23,155.245.28.13,100,24,TRUE,2018/4/24 06:35,R_0PS1KujLTrqtgiJ,,,,,51.90859985,0.920898438,anonymous,EN,12.464,12.464,13.739,1,Minister 2,8.896,8.896,10.264,1,Minister 1,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,Having an Extramarital Affair,Labour Party,Neutral,Male,Neutral,Labour Party,No Scandal,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Neutral,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,Misreporting Funds,Conservative Party,Support EU Integration,Female,Support EU Integration,Conservative Party,Sexual Harassment
24,155.245.28.10,100,11,TRUE,2018/4/24 06:36,R_3RlKup2JXoWCg1K,,,,,51.90859985,0.920898438,anonymous,EN,2.903,2.903,4.267,1,Minister 1,4.624,4.624,5.905,1,Minister 1,PM's Partisanship,Conservative Party,Gender,Female,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,Labour Party,Male,Support EU Integration,Misreporting Funds,Oppose EU Integration,Labour Party,Having an Extramarital Affair,PM's Partisanship,Labour Party,Gender,Male,EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Conservative Party,Male,Neutral,Misreporting Funds,Neutral,Liberal Democrats,Plagiarism
25,155.245.28.9,100,26,TRUE,2018/4/24 06:36,R_3hxNogA2BANKh7m,,,,,51.90859985,0.920898438,anonymous,EN,10.179,10.179,11.693,1,Minister 1,13.995,13.995,14.936,1,Minister 1,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Gender,Male,EU Integration,Neutral,PM's Position in EU Integration,Neutral,PM's Scandal,Plagiarism,Having an Extramarital Affair,Conservative Party,Conservative Party,Male,Neutral,Neutral,Sexual Harassment,Scandal,Plagiarism,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Female,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,Sexual Harassment,Conservative Party,Conservative Party,Female,Neutral,Oppose EU Integration,Sexual Harassment
26,155.245.28.4,100,49,TRUE,2018/4/24 06:37,R_1zEmuhJAkRbHfmp,,,,,51.90859985,0.920898438,anonymous,EN,27.005,27.005,31.929,1,Minister 2,16.945,16.945,18.74,1,Minister 2,Scandal,Having an Extramarital Affair,PM's Scandal,Plagiarism,Gender,Male,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,No Scandal,Sexual Harassment,Male,Oppose EU Integration,Liberal Democrats,Conservative Party,Support EU Integration,Scandal,Plagiarism,PM's Scandal,Sexual Harassment,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Having an Extramarital Affair,No Scandal,Female,Support EU Integration,Liberal Democrats,Conservative Party,Support EU Integration
27,155.245.28.12,100,24,TRUE,2018/4/24 06:37,R_2q2UVFOau679ffP,,,,,51.90859985,0.920898438,anonymous,EN,11.157,11.157,11.797,1,Minister 2,11.403,11.403,12.54,1,Minister 1,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,PM's Scandal,Plagiarism,Gender,Female,Party Affiliation,Liberal Democrats,No Scandal,Conservative Party,Neutral,Oppose EU Integration,Misreporting Funds,Male,Conservative Party,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Gender,Male,Party Affiliation,Conservative Party,Plagiarism,Conservative Party,Neutral,Support EU Integration,Misreporting Funds,Female,Liberal Democrats
28,155.245.28.2,100,44,TRUE,2018/4/24 06:38,R_2y7xFSsxYxDA2rG,,,,,51.90859985,0.920898438,anonymous,EN,29.914,29.914,30.977,1,Minister 2,12.814,12.814,14.098,1,Minister 1,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,Sexual Harassment,Support EU Integration,Support EU Integration,No Scandal,Conservative Party,Male,Conservative Party,Scandal,No Scandal,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,PM's Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Male,Party Affiliation,Labour Party,No Scandal,Support EU Integration,Support EU Integration,Misreporting Funds,Conservative Party,Female,Conservative Party
29,155.245.28.8,100,65,TRUE,2018/4/24 06:38,R_3373LVUz10K3KYN,,,,,51.90859985,0.920898438,anonymous,EN,12.735,12.735,38.445,1,Minister 2,25.292,25.292,27.358,1,Minister 1,Gender,Male,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Scandal,No Scandal,PM's Partisanship,Conservative Party,EU Integration,Neutral,Female,Support EU Integration,Sexual Harassment,Conservative Party,Having an Extramarital Affair,Conservative Party,Support EU Integration,Gender,Female,PM's Position in EU Integration,Neutral,PM's Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Male,Oppose EU Integration,Having an Extramarital Affair,Liberal Democrats,Having an Extramarital Affair,Conservative Party,Support EU Integration
30,155.245.28.11,100,43,TRUE,2018/4/24 06:38,R_2EplkKGESWxSNHz,,,,,51.90859985,0.920898438,anonymous,EN,28.477,28.477,30.083,1,Minister 2,10.579,10.579,14.857,1,Minister 1,PM's Partisanship,Conservative Party,EU Integration,Neutral,PM's Position in EU Integration,Support EU Integration,Gender,Female,PM's Scandal,Plagiarism,Scandal,No Scandal,Party Affiliation,Liberal Democrats,Conservative Party,Oppose EU Integration,Support EU Integration,Female,Sexual Harassment,No Scandal,Liberal Democrats,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,Gender,Female,PM's Scandal,Misreporting Funds,Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Labour Party,Support EU Integration,Neutral,Male,Misreporting Funds,No Scandal,Labour Party
31,155.245.28.4,100,26,TRUE,2018/4/25 03:04,R_3mdYQReGo1BZLVT,,,,,51.90859985,0.920898438,anonymous,EN,18.193,18.193,20.232,1,Minister 2,5.144,5.144,6.553,1,Minister 2,Scandal,No Scandal,Gender,Male,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Plagiarism,Male,Liberal Democrats,Conservative Party,Support EU Integration,Support EU Integration,Sexual Harassment,Scandal,Misreporting Funds,Gender,Male,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,No Scandal,Female,Labour Party,Labour Party,Support EU Integration,Neutral,Having an Extramarital Affair
