IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6
155.245.28.8,100,108,TRUE,2018/4/24 04:05,R_2asjyCQqxL7XlmU,,,,,51.90859985,0.920898438,anonymous,EN,0,0,15.637,0,55.296,55.296,56.311,1,Prime Minister 2,38.865,38.865,40.525,1,Prime Minister 2,Scandal,No Scandal,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Gender,Female,Minister's Partisanship,Liberal Democrats,Sexual Harassment,Oppose EU Integration,No Scandal,Labour Party,Female,Labour Party,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Gender,Male,Minister's Partisanship,Liberal Democrats,No Scandal,Oppose EU Integration,Misreporting Funds,Labour Party,Female,Labour Party
155.245.28.4,100,75,TRUE,2018/4/24 04:06,R_3r1DLGg5b6beNPr,,,,,51.90859985,0.920898438,anonymous,EN,0,0,45.266,0,12.628,12.628,13.6,1,Prime Minister 2,16.539,16.539,19.143,1,Prime Minister 1,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Gender,Female,Minister's Scandal,Misreporting Funds,Conservative Party,Having an Extranarital Affair,Conservative Party,Support EU Integration,Female,Sexual Harassment,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Gender,Female,Minister's Scandal,No Scandal,Conservative Party,Sexual Harassment,Liberal Democrats,Support EU Integration,Male,No Scandal
155.245.28.10,100,84,TRUE,2018/4/24 04:06,R_3p4LCt4nlhYQumq,,,,,51.90859985,0.920898438,anonymous,EN,0,0,51.898,0,26.917,26.917,27.884,1,Prime Minister 1,6.013,6.013,7.679,1,Prime Minister 2,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Gender,Female,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Conservative Party,Plagiarism,Female,Having an Extramarital Affair,Support EU Integration,Conservative Party,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Gender,Male,Minister's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Conservative Party,No Scandal,Female,Plagiarism,Neutral,Conservative Party
155.245.28.9,100,75,TRUE,2018/4/24 04:09,R_3G0zjvXKhp2cVr6,,,,,51.90859985,0.920898438,anonymous,EN,0,0,35.368,0,15.287,15.287,18.045,1,Prime Minister 1,21.612,21.612,23.787,1,Prime Minister 2,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Female,Scandal,No Scandal,EU Integration,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Liberal Democrats,Conservative Party,Male,Having an Extranarital Affair,Support EU Integration,Plagiarism,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Male,Scandal,Plagiarism,EU Integration,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Liberal Democrats,Conservative Party,Female,Sexual Harassment,Neutral,Sexual Harassment
155.245.28.11,100,69,TRUE,2018/4/24 04:11,R_z6Jh1xzwEVAFaP7,,,,,51.90859985,0.920898438,anonymous,EN,0,0,24.451,0,22.586,22.586,24.161,1,Prime Minister 2,20.417,20.417,23.074,1,Prime Minister 2,Scandal,Sexual Harassment,Minister's Scandal,Misreporting Funds,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Plagiarism,Sexual Harassment,Male,Labour Party,Support EU Integration,Labour Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,No Scandal,Plagiarism,Female,Labour Party,Neutral,Labour Party
155.245.28.10,100,49,TRUE,2018/4/24 04:34,R_3IXYI4uFx8RL4Vw,,,,,51.90859985,0.920898438,anonymous,EN,0,0,14.447,0,16.586,16.586,18.296,1,Prime Minister 2,14.502,14.502,16.36,1,Prime Minister 1,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,Gender,Female,EU Integration,Neutral,Conservative Party,No Scandal,Conservative Party,No Scandal,Male,Support EU Integration,Minister's Partisanship,Labour Party,Scandal,Plagiarism,Party Affiliation,Labour Party,Minister's Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Neutral,Labour Party,Plagiarism,Labour Party,No Scandal,Female,Oppose EU Integration
155.245.28.4,100,65,TRUE,2018/4/24 04:35,R_2t9HBHjSoiUUU7F,,,,,51.90859985,0.920898438,anonymous,EN,0,0,17.567,0,19.227,19.227,20.624,1,Prime Minister 2,28.108,28.108,28.996,1,Prime Minister 2,Gender,Male,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Scandal,Plagiarism,Male,Neutral,Conservative Party,Plagiarism,Conservative Party,Having an Extranarital Affair,Gender,Female,EU Integration,Neutral,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,Party Affiliation,Labour Party,Scandal,Plagiarism,Male,Neutral,Conservative Party,Plagiarism,Conservative Party,Having an Extranarital Affair
155.245.28.8,100,56,TRUE,2018/4/24 05:37,R_25ZOqfiVZPw9GsT,,,,,51.90859985,0.920898438,anonymous,EN,10.73,10.73,11.189,1,26.043,26.043,27.091,1,Prime Minister 1,5.343,5.343,6.502,1,Prime Minister 1,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Gender,Female,Misreporting Funds,Liberal Democrats,Misreporting Funds,Conservative Party,Support EU Integration,Male,Minister's Scandal,No Scandal,Minister's Partisanship,Labour Party,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Gender,Female,Having an Extramarital Affair,Liberal Democrats,Misreporting Funds,Conservative Party,Support EU Integration,Male
155.245.28.12,100,54,TRUE,2018/4/24 06:02,R_2zV1BoBA0uzT3A1,,,,,51.90859985,0.920898438,anonymous,EN,0,0,34.656,0,9.75,9.75,11.626,1,Prime Minister 2,6.991,6.991,8.093,1,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Female,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Minister's Scandal,Misreporting Funds,Conservative Party,Conservative Party,Female,Neutral,Plagiarism,Misreporting Funds,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Female,EU Integration,Support EU Integration,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,Labour Party,Labour Party,Female,Support EU Integration,No Scandal,No Scandal
155.245.28.11,100,66,TRUE,2018/4/24 06:02,R_1gbXNpNMhQnkK17,,,,,51.90859985,0.920898438,anonymous,EN,0,0,35.74,0,18.947,18.947,21.953,1,Prime Minister 2,9.381,9.381,11.086,1,Prime Minister 1,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,Plagiarism,Party Affiliation,Conservative Party,No Scandal,Support EU Integration,Conservative Party,Female,Having an Extranarital Affair,Conservative Party,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Gender,Male,Scandal,No Scandal,Party Affiliation,Conservative Party,Having an Extramarital Affair,Neutral,Liberal Democrats,Male,Having an Extranarital Affair,Conservative Party
155.245.28.4,100,70,TRUE,2018/4/24 06:03,R_32QqCluJGxglb08,,,,,51.90859985,0.920898438,anonymous,EN,0,0,35.601,0,22.51,22.51,25.048,1,Prime Minister 1,10.111,10.111,11.015,1,Prime Minister 2,Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Gender,Female,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Sexual Harassment,Liberal Democrats,Male,Conservative Party,Having an Extramarital Affair,Support EU Integration,Scandal,Having an Extranarital Affair,Minister's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Having an Extranarital Affair,Conservative Party,Female,Conservative Party,Sexual Harassment,Support EU Integration
155.245.28.13,100,84,TRUE,2018/4/24 06:06,R_cwD6rTZRS5LiuWt,,,,,51.90859985,0.920898438,anonymous,EN,0,0,46.385,0,18.003,18.003,19.18,1,Prime Minister 2,16.927,16.927,20.746,1,Prime Minister 2,Party Affiliation,Conservative Party,Gender,Female,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Minister's Scandal,No Scandal,Conservative Party,Male,Conservative Party,Neutral,No Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Gender,Male,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Minister's Scandal,Plagiarism,Labour Party,Male,Labour Party,Oppose EU Integration,No Scandal,Sexual Harassment
155.245.28.13,100,40,TRUE,2018/4/24 06:33,R_2U2TjJONLBCFS3P,,,,,51.90859985,0.920898438,anonymous,EN,0,0,13.082,0,18.868,18.868,21.001,1,Prime Minister 1,4.244,4.244,6.063,1,Prime Minister 2,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Scandal,No Scandal,EU Integration,Neutral,Gender,Male,Conservative Party,Misreporting Funds,Conservative Party,No Scandal,Oppose EU Integration,Male,Minister's Partisanship,Labour Party,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Female,Conservative Party,No Scandal,Conservative Party,Having an Extranarital Affair,Neutral,Female
155.245.28.4,100,71,TRUE,2018/4/24 06:34,R_1pQK5InlPJKFcVC,,,,,51.90859985,0.920898438,anonymous,EN,0,0,21.113,0,23.141,23.141,25.014,1,Prime Minister 2,26.376,26.376,27.716,1,Prime Minister 2,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Gender,Female,Minister's Scandal,No Scandal,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Sexual Harassment,Conservative Party,Female,Sexual Harassment,Support EU Integration,Liberal Democrats,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Gender,Female,Minister's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Sexual Harassment,Conservative Party,Male,Having an Extramarital Affair,Neutral,Liberal Democrats
155.245.28.9,100,58,TRUE,2018/4/24 06:34,R_3khUy1BqEY89arz,,,,,51.90859985,0.920898438,anonymous,EN,0,0,23.389,0,17.954,17.954,19.251,1,Prime Minister 2,15.142,15.142,16.608,1,Prime Minister 1,EU Integration,Oppose EU Integration,Minister's Scandal,No Scandal,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,Plagiarism,Gender,Male,Neutral,Having an Extramarital Affair,Conservative Party,Conservative Party,Plagiarism,Female,EU Integration,Support EU Integration,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Scandal,Plagiarism,Gender,Female,Oppose EU Integration,Misreporting Funds,Liberal Democrats,Conservative Party,Plagiarism,Male
155.245.28.10,100,40,TRUE,2018/4/24 06:34,R_9SQ2q72G3aKEagV,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.704,0,13.939,13.939,15.104,1,Prime Minister 1,13.646,18.257,19.366,2,Prime Minister 1,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Gender,Female,Conservative Party,Support EU Integration,Sexual Harassment,Sexual Harassment,Liberal Democrats,Male,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,No Scandal,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Gender,Male,Conservative Party,Neutral,Plagiarism,Sexual Harassment,Liberal Democrats,Female
155.245.28.12,100,69,TRUE,2018/4/24 06:34,R_3KYGuFpNM3Sf0m8,,,,,51.90859985,0.920898438,anonymous,EN,8.116,15.529,32.562,4,27.689,27.689,28.349,1,Prime Minister 2,8.835,8.835,9.858,1,Prime Minister 2,Minister's Scandal,No Scandal,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,No Scandal,Support EU Integration,Female,Labour Party,Labour Party,Misreporting Funds,Minister's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,Sexual Harassment,Plagiarism,Oppose EU Integration,Female,Conservative Party,Conservative Party,Sexual Harassment
155.245.28.2,100,87,TRUE,2018/4/24 06:35,R_1r7xjOVO5WB2lLs,,,,,51.90859985,0.920898438,anonymous,EN,0,0,28.312,0,31.137,31.137,34.603,1,Prime Minister 2,25.782,25.782,27.074,1,Prime Minister 1,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Female,Plagiarism,Labour Party,Labour Party,No Scandal,Oppose EU Integration,Female,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Scandal,No Scandal,EU Integration,Support EU Integration,Gender,Female,Sexual Harassment,Labour Party,Labour Party,No Scandal,Neutral,Male
155.245.28.11,100,97,TRUE,2018/4/24 06:35,R_2ALS8dlUBbxt8vS,,,,,51.90859985,0.920898438,anonymous,EN,0,0,32.077,0,31.298,31.298,41.454,1,Prime Minister 2,7.35,7.35,15.484,1,Prime Minister 2,Gender,Male,Minister's Scandal,No Scandal,Minister's Partisanship,Labour Party,EU Integration,Neutral,Party Affiliation,Labour Party,Scandal,No Scandal,Female,Having an Extramarital Affair,Liberal Democrats,Support EU Integration,Conservative Party,No Scandal,Gender,Male,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Female,Plagiarism,Liberal Democrats,Neutral,Conservative Party,Sexual Harassment
155.245.28.8,100,85,TRUE,2018/4/24 06:35,R_2zGPkDKlB82sNga,,,,,51.90859985,0.920898438,anonymous,EN,0,0,21.325,0,15.422,15.422,18.524,1,Prime Minister 1,46.776,46.776,48.125,1,Prime Minister 1,Scandal,Misreporting Funds,Minister's Scandal,No Scandal,EU Integration,Neutral,Gender,Female,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Misreporting Funds,Plagiarism,Oppose EU Integration,Male,Labour Party,Labour Party,Scandal,Sexual Harassment,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Male,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Having an Extranarital Affair,No Scandal,Oppose EU Integration,Female,Conservative Party,Conservative Party
155.245.28.4,100,50,TRUE,2018/4/25 03:02,R_2XhVhwlnSl7GZO6,,,,,51.90859985,0.920898438,anonymous,EN,0,0,9.896,0,20.322,20.322,25.031,1,Prime Minister 1,10.803,10.803,16.086,1,Prime Minister 1,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,Sexual Harassment,Conservative Party,Having an Extramarital Affair,Conservative Party,Oppose EU Integration,Male,Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Minister's Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Neutral,Gender,Female,Misreporting Funds,Liberal Democrats,Plagiarism,Conservative Party,Neutral,Male
155.245.28.2,100,53,TRUE,2018/4/25 03:02,R_2ay6rUNe6gWzyk4,,,,,51.90859985,0.920898438,anonymous,EN,0,0,29.676,0,13.136,13.136,14.984,1,Prime Minister 1,6.417,6.417,8.651,1,Prime Minister 2,Minister's Scandal,Plagiarism,Gender,Male,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Scandal,No Scandal,No Scandal,Female,Conservative Party,Conservative Party,Support EU Integration,Plagiarism,Minister's Scandal,Plagiarism,Gender,Female,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Plagiarism,Female,Labour Party,Labour Party,Support EU Integration,Plagiarism
155.245.28.8,100,35,TRUE,2018/4/25 03:05,R_3MrKUi8B1ezww72,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.42,0,9.207,9.207,10.624,1,Prime Minister 1,9.1,9.1,16.05,1,Prime Minister 2,EU Integration,Support EU Integration,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Gender,Male,Party Affiliation,Labour Party,Scandal,Having an Extranarital Affair,Oppose EU Integration,Misreporting Funds,Labour Party,Male,Labour Party,Sexual Harassment,EU Integration,Neutral,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Oppose EU Integration,Sexual Harassment,Labour Party,Male,Labour Party,No Scandal
155.245.28.2,100,49,TRUE,2018/4/25 04:00,R_2qdDXpcitpwChyl,,,,,51.90859985,0.920898438,anonymous,EN,7.187,7.187,7.547,1,20.755,21.513,21.896,2,Prime Minister 1,19.393,19.393,20.022,1,Prime Minister 2,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Misreporting Funds,Minister's Partisanship,Conservative Party,Conservative Party,Plagiarism,Neutral,Female,Sexual Harassment,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,EU Integration,Neutral,Gender,Male,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Labour Party,Plagiarism,Support EU Integration,Female,No Scandal,Labour Party
