IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4
155.245.28.4,100,17,TRUE,2018/4/24 06:32,R_2pXYcNiIRlSeFEt,,,,,51.90859985,0.920898438,anonymous,EN,9.32,9.32,10.514,1,Candidate 2,5.969,5.969,6.901,1,Candidate 2,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Male,Scandal,No Scandal,Conservative Party,Support EU Integration,Female,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Plagiarism,Labour Party,Neutral,Female,Misreporting Funds
155.245.28.9,100,21,TRUE,2018/4/24 06:33,R_OiYmhD4b8tiOQBH,,,,,51.90859985,0.920898438,anonymous,EN,9.434,9.434,10.629,1,Candidate 1,7.117,7.117,10.237,1,Candidate 2,Scandal,Plagiarism,Gender,Male,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Misreporting Funds,Female,Labour Party,Oppose EU Integration,Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Having an Extramarital Affair,Male,Liberal Democrats,Neutral
155.245.28.11,100,27,TRUE,2018/4/24 06:33,R_23VspLWhyBKuaZd,,,,,51.90859985,0.920898438,anonymous,EN,6.267,6.267,9.295,1,Candidate 1,14.289,14.289,18.122,1,Candidate 2,Scandal,Sexual Harassment,Gender,Male,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Having an Extramarital Affair,Female,Support EU Integration,Labour Party,Scandal,Sexual Harassment,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Having an Extramarital Affair,Female,Oppose EU Integration,Labour Party
155.245.28.2,100,33,TRUE,2018/4/24 06:33,R_W8UWQPrEkCZujsJ,,,,,51.90859985,0.920898438,anonymous,EN,6.726,6.726,8.005,1,Candidate 1,23.917,23.917,25.7,1,Candidate 2,Gender,Female,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Scandal,No Scandal,Male,Oppose EU Integration,Labour Party,Having an Extramarital Affair,Gender,Male,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,Female,Neutral,Liberal Democrats,Sexual Harassment
155.245.28.12,100,23,TRUE,2018/4/24 06:33,R_AH7PpoiQP1Dvxw5,,,,,51.90859985,0.920898438,anonymous,EN,9.978,9.978,11.499,1,Candidate 1,11.189,11.189,12.157,1,Candidate 1,Scandal,Plagiarism,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Support EU Integration,Sexual Harassment,Conservative Party,Male,Oppose EU Integration,Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Gender,Male,EU Integration,Support EU Integration,Having an Extramarital Affair,Liberal Democrats,Female,Oppose EU Integration
155.245.28.8,100,37,TRUE,2018/4/24 06:33,R_25KoBzG6tL8eRYR,,,,,51.90859985,0.920898438,anonymous,EN,15.01,26.016,27.049,3,Candidate 2,8.292,8.292,10.626,1,Candidate 1,Gender,Female,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Male,Having an Extramarital Affair,Labour Party,Neutral,Gender,Male,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Female,Sexual Harassment,Conservative Party,Oppose EU Integration
155.245.28.10,100,31,TRUE,2018/4/24 06:34,R_2X6W62JDYNu9SXN,,,,,51.90859985,0.920898438,anonymous,EN,8.676,8.676,9.619,1,Candidate 2,19.054,19.054,21.879,1,Candidate 1,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Male,Liberal Democrats,Oppose EU Integration,No Scandal,Gender,Male,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Scandal,Plagiarism,Male,Liberal Democrats,Support EU Integration,Plagiarism
155.245.28.4,100,23,TRUE,2018/4/25 03:01,R_3NyLEYGlRGpqzfn,,,,,51.90859985,0.920898438,anonymous,EN,9.882,9.882,11.215,1,Candidate 2,10.827,10.827,12.184,1,Candidate 1,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Labour Party,Male,Support EU Integration,Having an Extramarital Affair,Party Affiliation,Labour Party,Gender,Male,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Conservative Party,Male,Oppose EU Integration,Misreporting Funds
155.245.28.2,100,27,TRUE,2018/4/25 03:01,R_1KuIoIFFXUx8ozn,,,,,51.90859985,0.920898438,anonymous,EN,14.212,14.212,17.109,1,Candidate 1,8.027,8.027,10.039,1,Candidate 1,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Gender,Male,Liberal Democrats,Misreporting Funds,Support EU Integration,Female,Party Affiliation,Labour Party,Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Female,Conservative Party,Having an Extramarital Affair,Support EU Integration,Male
155.245.28.8,100,23,TRUE,2018/4/25 03:04,R_3dYyjgFAUd4c4EP,,,,,51.90859985,0.920898438,anonymous,EN,12.271,12.271,15.588,1,Candidate 2,6.689,6.689,7.61,1,Candidate 2,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,Oppose EU Integration,Female,Labour Party,No Scandal,EU Integration,Neutral,Gender,Male,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Oppose EU Integration,Male,Conservative Party,Having an Extramarital Affair
155.245.28.2,100,23,TRUE,2018/4/25 03:59,R_111MoFJE2wnbOK1,,,,,51.90859985,0.920898438,anonymous,EN,4.533,4.533,12.982,1,Candidate 1,9.4,9.4,10.027,1,Candidate 2,Scandal,Having an Extramarital Affair,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Female,Misreporting Funds,Support EU Integration,Labour Party,Female,Scandal,Sexual Harassment,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Gender,Male,Misreporting Funds,Support EU Integration,Conservative Party,Female
155.245.28.4,100,56,TRUE,2018/4/25 04:05,R_33dTwQlFDt3Rji8,,,,,51.90859985,0.920898438,anonymous,EN,8.291,8.291,10.807,1,Candidate 1,20.442,20.442,47.12,1,Candidate 2,Scandal,No Scandal,EU Integration,Neutral,Gender,Male,Party Affiliation,Liberal Democrats,No Scandal,Neutral,Male,Conservative Party,Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Male,Party Affiliation,Labour Party,No Scandal,Support EU Integration,Male,Labour Party
155.245.28.8,100,79,TRUE,2018/4/25 04:09,R_2Vx9KqrOo0qzsvs,,,,,51.90859985,0.920898438,anonymous,EN,61.22,61.22,62.609,1,Candidate 1,18.971,18.971,20.196,1,Candidate 1,Party Affiliation,Labour Party,Gender,Male,Scandal,Plagiarism,EU Integration,Support EU Integration,Labour Party,Male,Sexual Harassment,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Scandal,Plagiarism,EU Integration,Neutral,Conservative Party,Male,Sexual Harassment,Oppose EU Integration
155.245.28.9,100,35,TRUE,2018/4/25 04:33,R_3syoYD00vNhdWL4,,,,,51.90859985,0.920898438,anonymous,EN,9.319,12.244,14.117,2,Candidate 2,11.567,14.045,21.052,2,Candidate 1,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Gender,Male,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,Male,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Gender,Male,Conservative Party,Support EU Integration,Plagiarism,Female
155.245.28.10,100,30,TRUE,2018/4/25 04:34,R_2XgrZn0D1gOQ2NB,,,,,51.90859985,0.920898438,anonymous,EN,20.787,20.787,22.056,1,Candidate 1,7.508,7.508,8.457,1,Candidate 1,Scandal,Misreporting Funds,Gender,Female,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Having an Extramarital Affair,Female,Oppose EU Integration,Liberal Democrats,Scandal,No Scandal,Gender,Male,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Sexual Harassment,Male,Support EU Integration,Liberal Democrats
155.245.28.8,100,35,TRUE,2018/4/25 04:34,R_2BldN1ueWUJVOve,,,,,51.90859985,0.920898438,anonymous,EN,21.018,21.018,23.956,1,Candidate 1,10.899,10.899,12.144,1,Candidate 1,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Neutral,Female,Labour Party,Sexual Harassment,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,Oppose EU Integration,Male,Liberal Democrats,No Scandal
155.245.28.4,100,22,TRUE,2018/4/25 04:59,R_5tNG7n6tFdK36GR,,,,,51.90859985,0.920898438,anonymous,EN,8.793,8.793,9.891,1,Candidate 2,9.246,9.246,12.304,1,Candidate 2,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,Gender,Male,Neutral,Labour Party,Misreporting Funds,Female,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,Gender,Male,Support EU Integration,Liberal Democrats,Having an Extramarital Affair,Male
155.245.28.2,100,36,TRUE,2018/4/25 05:01,R_1JIvmTmmuxgJ1CQ,,,,,51.90859985,0.920898438,anonymous,EN,10.555,10.555,12.146,1,Candidate 2,19.503,19.503,24.016,1,Candidate 2,Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Male,Party Affiliation,Conservative Party,No Scandal,Support EU Integration,Female,Labour Party,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Conservative Party,Plagiarism,Oppose EU Integration,Female,Liberal Democrats
155.245.28.4,100,30,TRUE,2018/4/25 05:33,R_3QSmQ5YrqcVyQB1,,,,,51.90859985,0.920898438,anonymous,EN,14.036,14.036,22.044,1,Candidate 2,7.05,7.05,7.969,1,Candidate 1,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Female,Scandal,Having an Extramarital Affair,Neutral,Labour Party,Female,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Male,Scandal,Plagiarism,Support EU Integration,Conservative Party,Male,Having an Extramarital Affair
155.245.28.11,100,25,TRUE,2018/4/25 05:33,R_2X11aS8cKKo6FXR,,,,,51.90859985,0.920898438,anonymous,EN,10.014,10.014,12.066,1,Candidate 1,10.895,10.895,13.02,1,Candidate 1,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,Having an Extramarital Affair,Gender,Male,Oppose EU Integration,Labour Party,Plagiarism,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,No Scandal,Gender,Male,Support EU Integration,Liberal Democrats,Sexual Harassment,Male
155.245.28.8,100,28,TRUE,2018/4/25 05:34,R_1zVOEgfhV5kG413,,,,,51.90859985,0.920898438,anonymous,EN,6.282,6.282,7.26,1,Candidate 1,16.049,16.049,20.717,1,Candidate 1,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Gender,Female,Scandal,No Scandal,Neutral,Conservative Party,Male,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Female,Scandal,Having an Extramarital Affair,Oppose EU Integration,Liberal Democrats,Male,Having an Extramarital Affair
155.245.28.10,100,41,TRUE,2018/4/25 05:34,R_0VqwTalf8rwQvi9,,,,,51.90859985,0.920898438,anonymous,EN,15.146,15.146,16.208,1,Candidate 1,24.92,24.92,25.872,1,Candidate 1,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Gender,Male,Plagiarism,Neutral,Liberal Democrats,Female,Scandal,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Male,No Scandal,Support EU Integration,Liberal Democrats,Male
155.245.28.9,100,68,TRUE,2018/4/25 05:34,R_3erWCMFxMgdZaAZ,,,,,51.90859985,0.920898438,anonymous,EN,27.007,27.007,38.177,1,Candidate 1,30.23,30.23,31.947,1,Candidate 1,Party Affiliation,Labour Party,Gender,Female,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Conservative Party,Male,Misreporting Funds,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Liberal Democrats,Female,Sexual Harassment,Neutral
155.245.28.10,100,20,TRUE,2018/4/25 06:00,R_2uKbxoxZIchZouJ,,,,,51.90859985,0.920898438,anonymous,EN,11.856,11.856,13.284,1,Candidate 1,4.41,4.41,6.571,1,Candidate 2,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Misreporting Funds,Oppose EU Integration,Labour Party,Male,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Male,Misreporting Funds,Support EU Integration,Labour Party,Female
155.245.28.4,100,27,TRUE,2018/4/25 06:00,R_8HBuj4u6L9egTHr,,,,,51.90859985,0.920898438,anonymous,EN,17.198,18.139,18.689,2,Candidate 1,7.773,7.773,8.603,1,Candidate 1,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Gender,Female,Neutral,Sexual Harassment,Conservative Party,Female,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,Gender,Male,Support EU Integration,Sexual Harassment,Liberal Democrats,Male
155.245.28.9,100,24,TRUE,2018/4/25 06:01,R_cNfxijU85dJ06MV,,,,,51.90859985,0.920898438,anonymous,EN,7.528,7.528,10.85,1,Candidate 1,9.774,9.774,12.529,1,Candidate 2,EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Labour Party,Scandal,Plagiarism,Oppose EU Integration,Male,Liberal Democrats,Sexual Harassment,EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Oppose EU Integration,Male,Conservative Party,Plagiarism
155.245.28.8,100,31,TRUE,2018/4/25 06:01,R_VViUPujzhSaAWB3,,,,,51.90859985,0.920898438,anonymous,EN,14.915,14.915,15.828,1,Candidate 2,15.342,15.342,16.467,1,Candidate 1,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Scandal,Sexual Harassment,Male,Oppose EU Integration,Labour Party,Having an Extramarital Affair,Gender,Female,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Plagiarism,Male,Oppose EU Integration,Labour Party,Sexual Harassment
