,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
11,155.245.28.14,100,83,TRUE,2018/4/24 04:10,R_2wytEa8JEEQnSkw,,,,,51.90859985,0.920898438,anonymous,EN,14.959,14.959,16.176,1,Minister 1,12.892,12.892,13.651,1,Minister 2,Gender,Female,EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Female,Neutral,Misreporting Funds,Conservative Party,Conservative Party,Oppose EU Integration,Sexual Harassment,Gender,Female,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Male,Oppose EU Integration,Having an Extramarital Affair,Conservative Party,Conservative Party,Support EU Integration,No Scandal
12,155.245.28.10,100,86,TRUE,2018/4/24 04:10,R_55pGtp9KTnJX5a9,,,,,51.90859985,0.920898438,anonymous,EN,3.958,3.958,6.016,1,Minister 2,21.444,25.178,26.124,2,Minister 1,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Gender,Female,PM's Position in EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Conservative Party,Plagiarism,Neutral,Female,Neutral,Having an Extramarital Affair,Conservative Party,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,EU Integration,Neutral,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Scandal,No Scandal,Party Affiliation,Labour Party,Labour Party,Sexual Harassment,Neutral,Male,Neutral,Sexual Harassment,Labour Party
13,155.245.28.4,100,72,TRUE,2018/4/24 04:12,R_rrln1TVngmhfjIl,,,,,51.90859985,0.920898438,anonymous,EN,5.728,5.728,6.613,1,Minister 1,10.136,10.136,11.477,1,Minister 2,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Female,Scandal,Plagiarism,Oppose EU Integration,Plagiarism,Oppose EU Integration,Labour Party,Labour Party,Male,Plagiarism,PM's Position in EU Integration,Neutral,PM's Scandal,Misreporting Funds,EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,Scandal,Having an Extramarital Affair,Oppose EU Integration,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Liberal Democrats,Female,Having an Extramarital Affair
14,155.245.28.9,100,112,TRUE,2018/4/24 04:13,R_1jWhABMJ1LwZHpu,,,,,51.90859985,0.920898438,anonymous,EN,8.369,8.369,9.846,1,Minister 1,14.945,14.945,16.51,1,Minister 1,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Scandal,No Scandal,Labour Party,Labour Party,Male,Support EU Integration,Sexual Harassment,Oppose EU Integration,No Scandal,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Conservative Party,Conservative Party,Female,Neutral,No Scandal,Oppose EU Integration,Sexual Harassment
15,155.245.28.11,100,107,TRUE,2018/4/24 04:17,R_3G8tPSwYiFzlvnZ,,,,,51.90859985,0.920898438,anonymous,EN,5.198,5.198,11.971,1,Minister 2,15.997,15.997,21.423,1,Minister 2,Gender,Female,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,Plagiarism,Party Affiliation,Conservative Party,Female,Support EU Integration,Oppose EU Integration,Conservative Party,Plagiarism,Misreporting Funds,Conservative Party,Gender,Female,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Misreporting Funds,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Female,Support EU Integration,Oppose EU Integration,Conservative Party,Plagiarism,No Scandal,Conservative Party
16,155.245.28.10,100,75,TRUE,2018/4/24 04:39,R_23WuxmSc31uayV7,,,,,51.90859985,0.920898438,anonymous,EN,8.372,8.372,9.755,1,Minister 2,7.234,7.234,8.825,1,Minister 1,Gender,Male,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,EU Integration,Neutral,PM's Scandal,No Scandal,Scandal,Plagiarism,Female,Neutral,Labour Party,Labour Party,Support EU Integration,Having an Extramarital Affair,No Scandal,Gender,Male,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Scandal,No Scandal,Male,Support EU Integration,Conservative Party,Conservative Party,Neutral,Misreporting Funds,Having an Extramarital Affair
17,155.245.28.4,100,136,TRUE,2018/4/24 04:41,R_xfKQr3EfZUh0Hkd,,,,,51.90859985,0.920898438,anonymous,EN,11.772,11.772,14.416,1,Minister 2,14.16,14.16,20.525,1,Minister 1,EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Gender,Male,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Neutral,Having an Extramarital Affair,Female,Labour Party,Labour Party,Oppose EU Integration,No Scandal,EU Integration,Neutral,PM's Scandal,Misreporting Funds,Gender,Female,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Neutral,Sexual Harassment,Male,Labour Party,Labour Party,Oppose EU Integration,Misreporting Funds
18,155.245.28.8,100,55,TRUE,2018/4/24 05:40,R_piVq1vkA0HkACRP,,,,,51.90859985,0.920898438,anonymous,EN,10.24,10.24,11.058,1,Minister 1,6.589,6.589,8.548,1,Minister 1,Scandal,Misreporting Funds,Gender,Female,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,Having an Extramarital Affair,Female,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,Liberal Democrats,Support EU Integration,Scandal,Plagiarism,Gender,Female,PM's Partisanship,Conservative Party,EU Integration,Neutral,PM's Scandal,Plagiarism,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Oppose EU Integration,Sexual Harassment,Female,Conservative Party,Oppose EU Integration,Plagiarism,Liberal Democrats,Oppose EU Integration
19,155.245.28.12,100,77,TRUE,2018/4/24 06:05,R_2PvdGYhoJIeJdqE,,,,,51.90859985,0.920898438,anonymous,EN,7.179,7.179,8.171,1,Minister 1,8.254,8.254,9.457,1,Minister 2,Party Affiliation,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,Gender,Female,PM's Position in EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Liberal Democrats,No Scandal,Male,Oppose EU Integration,Sexual Harassment,Oppose EU Integration,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,Plagiarism,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,EU Integration,Neutral,PM's Partisanship,Conservative Party,Labour Party,Misreporting Funds,Female,Neutral,Plagiarism,Neutral,Labour Party
20,155.245.28.11,100,81,TRUE,2018/4/24 06:05,R_1Gwdx8vleAvJ3J7,,,,,51.90859985,0.920898438,anonymous,EN,6.109,6.109,7.208,1,Minister 1,8.092,8.092,9.08,1,Minister 1,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Gender,Male,PM's Scandal,Misreporting Funds,Oppose EU Integration,Oppose EU Integration,Plagiarism,Labour Party,Labour Party,Male,Sexual Harassment,EU Integration,Neutral,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Gender,Male,PM's Scandal,Plagiarism,Oppose EU Integration,Oppose EU Integration,Sexual Harassment,Liberal Democrats,Conservative Party,Male,Having an Extramarital Affair
21,155.245.28.4,100,79,TRUE,2018/4/24 06:08,R_Q4lpl641l62kX3X,,,,,51.90859985,0.920898438,anonymous,EN,13.874,13.874,15.177,1,Minister 1,13.89,13.89,14.815,1,Minister 1,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,PM's Partisanship,Labour Party,Gender,Female,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,No Scandal,Neutral,No Scandal,Conservative Party,Male,Oppose EU Integration,Conservative Party,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Gender,Male,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Having an Extramarital Affair,Support EU Integration,Misreporting Funds,Conservative Party,Male,Oppose EU Integration,Conservative Party,Having an Extramarital Affair
22,155.245.28.13,100,103,TRUE,2018/4/24 06:11,R_3nIcwOyhXjqEjDR,,,,,51.90859985,0.920898438,anonymous,EN,12.43,12.43,14.399,1,Minister 1,17.714,17.714,19.384,1,Minister 2,Scandal,No Scandal,PM's Scandal,Having an Extramarital Affair,Gender,Male,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,EU Integration,Neutral,PM's Partisanship,Conservative Party,Sexual Harassment,Having an Extramarital Affair,Female,Oppose EU Integration,Conservative Party,Support EU Integration,Conservative Party,Scandal,Having an Extramarital Affair,PM's Scandal,Misreporting Funds,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,No Scandal,Sexual Harassment,Female,Oppose EU Integration,Liberal Democrats,Oppose EU Integration,Conservative Party
23,155.245.28.13,100,78,TRUE,2018/4/24 06:37,R_ZJGR0KF3WnNDgxH,,,,,51.90859985,0.920898438,anonymous,EN,9.586,9.586,10.671,1,Minister 1,14.5,14.5,15.741,1,Minister 2,Scandal,Misreporting Funds,PM's Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Female,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,Sexual Harassment,Misreporting Funds,Oppose EU Integration,Male,Conservative Party,Conservative Party,Neutral,Scandal,Having an Extramarital Affair,PM's Scandal,Sexual Harassment,EU Integration,Neutral,Gender,Male,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,Having an Extramarital Affair,Misreporting Funds,Oppose EU Integration,Female,Labour Party,Labour Party,Oppose EU Integration
24,155.245.28.10,100,51,TRUE,2018/4/24 06:37,R_3JkFDoJ8OA3Evls,,,,,51.90859985,0.920898438,anonymous,EN,3.28,3.28,4.102,1,Minister 1,6.503,6.503,7.33,1,Minister 2,Gender,Female,PM's Scandal,No Scandal,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Male,No Scandal,Conservative Party,Having an Extramarital Affair,Neutral,Conservative Party,Oppose EU Integration,Gender,Male,PM's Scandal,No Scandal,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,EU Integration,Neutral,Male,Plagiarism,Labour Party,No Scandal,Oppose EU Integration,Labour Party,Support EU Integration
25,155.245.28.9,100,77,TRUE,2018/4/24 06:38,R_1ODLuMScCxTzIeB,,,,,51.90859985,0.920898438,anonymous,EN,15.382,15.382,16.404,1,Minister 2,10.621,10.621,11.744,1,Minister 2,Gender,Male,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Male,Plagiarism,Oppose EU Integration,Plagiarism,Neutral,Conservative Party,Conservative Party,Gender,Female,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Male,Having an Extramarital Affair,Support EU Integration,Misreporting Funds,Support EU Integration,Labour Party,Labour Party
26,155.245.28.4,100,107,TRUE,2018/4/24 06:38,R_2zGwtbb5rb67iqY,,,,,51.90859985,0.920898438,anonymous,EN,34.575,34.575,35.926,1,Minister 1,13.492,13.492,14.725,1,Minister 2,Scandal,Misreporting Funds,EU Integration,Neutral,PM's Scandal,No Scandal,Gender,Female,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Misreporting Funds,Support EU Integration,No Scandal,Male,Oppose EU Integration,Labour Party,Labour Party,Scandal,No Scandal,EU Integration,Neutral,PM's Scandal,Plagiarism,Gender,Female,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,No Scandal,Neutral,Sexual Harassment,Male,Support EU Integration,Conservative Party,Conservative Party
27,155.245.28.12,100,81,TRUE,2018/4/24 06:39,R_1CI8P5AVcBSTgPx,,,,,51.90859985,0.920898438,anonymous,EN,21.865,23.084,23.995,2,Minister 2,8.479,8.479,9.894,1,Minister 2,EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Male,Scandal,Misreporting Funds,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Neutral,Labour Party,Female,No Scandal,Labour Party,No Scandal,Neutral,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Female,Scandal,Misreporting Funds,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Support EU Integration,Labour Party,Male,Having an Extramarital Affair,Labour Party,Having an Extramarital Affair,Oppose EU Integration
28,155.245.28.2,100,71,TRUE,2018/4/24 06:39,R_1gBXgvoh3dWg9fo,,,,,51.90859985,0.920898438,anonymous,EN,8.809,8.809,9.956,1,Minister 2,11.432,11.432,12.481,1,Minister 1,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Scandal,Misreporting Funds,Gender,Female,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,Labour Party,Support EU Integration,Having an Extramarital Affair,Male,Neutral,Labour Party,Plagiarism,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Scandal,Plagiarism,Gender,Male,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,Conservative Party,Neutral,Plagiarism,Female,Neutral,Liberal Democrats,Sexual Harassment
29,155.245.28.8,100,99,TRUE,2018/4/24 06:40,R_0NED7tty9iw5v8t,,,,,51.90859985,0.920898438,anonymous,EN,21.353,21.353,22.715,1,Minister 1,18.067,18.067,20.453,1,Minister 2,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Female,PM's Partisanship,Labour Party,Sexual Harassment,Neutral,Having an Extramarital Affair,Neutral,Liberal Democrats,Male,Conservative Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Male,PM's Partisanship,Labour Party,No Scandal,Oppose EU Integration,Plagiarism,Neutral,Labour Party,Male,Labour Party
30,155.245.28.11,100,94,TRUE,2018/4/24 06:40,R_2EicxKMSfDtiZAs,,,,,51.90859985,0.920898438,anonymous,EN,18.565,18.565,20.21,1,Minister 2,17.632,17.632,18.547,1,Minister 2,Gender,Female,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Female,Plagiarism,Oppose EU Integration,Conservative Party,Neutral,Conservative Party,Sexual Harassment,Gender,Male,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,EU Integration,Neutral,PM's Partisanship,Labour Party,PM's Scandal,Misreporting Funds,Male,Misreporting Funds,Neutral,Liberal Democrats,Oppose EU Integration,Conservative Party,Misreporting Funds
31,155.245.28.4,100,83,TRUE,2018/4/25 03:05,R_25SkIrgdZoTF3Kr,,,,,51.90859985,0.920898438,anonymous,EN,16.383,16.383,17.646,1,Minister 2,3.51,3.51,5.341,1,Minister 2,Gender,Male,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,Male,No Scandal,Conservative Party,Having an Extramarital Affair,Conservative Party,Support EU Integration,Oppose EU Integration,Gender,Male,Scandal,No Scandal,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Male,Having an Extramarital Affair,Conservative Party,No Scandal,Conservative Party,Neutral,Support EU Integration
