StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
2018-04-24 04:07:04,2018-04-24 04:07:35,IP Address,155.245.28.2,100,31,True,2018-04-24 04:07:36,R_sUzFngcyBusVQWd,,,,,51.908599853516,0.9208984375,anonymous,EN,9.544,9.544,12.286,1,Minister 2,16.869,16.869,17.705,1,Minister 2,PM's Position in EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,Gender,Male,Neutral,Misreporting Funds,Neutral,Conservative Party,Plagiarism,Liberal Democrats,Male,PM's Position in EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Gender,Male,Support EU Integration,Plagiarism,Support EU Integration,Conservative Party,Plagiarism,Conservative Party,Female
2018-04-24 04:07:10,2018-04-24 04:07:42,IP Address,155.245.28.8,100,31,True,2018-04-24 04:07:42,R_1F9FO7DzAUSUi41,,,,,51.908599853516,0.9208984375,anonymous,EN,15.817,15.817,17.164,1,Minister 2,12.873,12.873,14.358,1,Minister 2,PM's Scandal,No Scandal,Gender,Male,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Having an Extramarital Affair,Male,Neutral,Neutral,Labour Party,Sexual Harassment,Labour Party,PM's Scandal,Plagiarism,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Having an Extramarital Affair,Female,Oppose EU Integration,Support EU Integration,Conservative Party,Having an Extramarital Affair,Liberal Democrats
2018-04-24 04:08:10,2018-04-24 04:08:41,IP Address,155.245.28.14,100,30,True,2018-04-24 04:08:41,R_3F5wrHQIaSro0a6,,,,,51.908599853516,0.9208984375,anonymous,EN,14.04,16.201,16.97,2,Minister 2,13.309,13.309,14.147,1,Minister 2,PM's Scandal,Plagiarism,Gender,Female,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Plagiarism,Male,Support EU Integration,Plagiarism,Oppose EU Integration,Labour Party,Labour Party,PM's Scandal,Misreporting Funds,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,Scandal,Plagiarism,EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Having an Extramarital Affair,Female,Oppose EU Integration,No Scandal,Oppose EU Integration,Liberal Democrats,Conservative Party
2018-04-24 04:08:40,2018-04-24 04:09:06,IP Address,155.245.28.10,100,25,True,2018-04-24 04:09:06,R_2P74BzN9FMAHSU2,,,,,51.908599853516,0.9208984375,anonymous,EN,12.768,12.768,13.943,1,Minister 1,9.458,9.458,10.459,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Plagiarism,Gender,Female,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,Oppose EU Integration,Conservative Party,Conservative Party,Having an Extramarital Affair,Female,Support EU Integration,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Neutral,Labour Party,Labour Party,Sexual Harassment,Male,Neutral,Sexual Harassment
2018-04-24 04:10:23,2018-04-24 04:11:03,IP Address,155.245.28.4,100,39,True,2018-04-24 04:11:03,R_TualsR1iWGLhqud,,,,,51.908599853516,0.9208984375,anonymous,EN,25.527,25.527,27.537,1,Minister 2,10.656,10.656,11.461,1,Minister 2,EU Integration,Neutral,PM's Partisanship,Labour Party,Gender,Female,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Party Affiliation,Labour Party,Support EU Integration,Labour Party,Male,Plagiarism,Support EU Integration,No Scandal,Labour Party,EU Integration,Neutral,PM's Partisanship,Conservative Party,Gender,Female,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Support EU Integration,Conservative Party,Male,Having an Extramarital Affair,Oppose EU Integration,Plagiarism,Conservative Party
2018-04-24 04:11:33,2018-04-24 04:12:03,IP Address,155.245.28.9,100,30,True,2018-04-24 04:12:04,R_3JJb0ownIY0vyd1,,,,,51.908599853516,0.9208984375,anonymous,EN,15.903,15.903,17.327,1,Minister 1,11.02,11.02,12.497,1,Minister 2,PM's Scandal,Misreporting Funds,Scandal,No Scandal,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Misreporting Funds,No Scandal,Oppose EU Integration,Conservative Party,Female,Neutral,Liberal Democrats,PM's Scandal,Plagiarism,Scandal,Misreporting Funds,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Male,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Having an Extramarital Affair,Sexual Harassment,Oppose EU Integration,Conservative Party,Male,Neutral,Liberal Democrats
2018-04-24 04:14:58,2018-04-24 04:15:57,IP Address,155.245.28.11,100,59,True,2018-04-24 04:15:57,R_ywMct4z6g3Rnfot,,,,,51.908599853516,0.9208984375,anonymous,EN,22.281,22.281,24.902,1,Minister 2,34.198,34.198,35.958,1,Minister 1,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Gender,Male,PM's Partisanship,Conservative Party,Plagiarism,Support EU Integration,Neutral,No Scandal,Labour Party,Female,Labour Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,EU Integration,Neutral,PM's Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Female,PM's Partisanship,Labour Party,Plagiarism,Neutral,Support EU Integration,Plagiarism,Liberal Democrats,Male,Conservative Party
2018-04-24 04:37:18,2018-04-24 04:38:15,IP Address,155.245.28.10,100,56,True,2018-04-24 04:38:15,R_1ooOj3lCK4dxRRb,,,,,51.908599853516,0.9208984375,anonymous,EN,28.02,28.02,29.283,1,Minister 2,12.656,25.457,28.102,2,Minister 1,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Scandal,No Scandal,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Gender,Male,Labour Party,Plagiarism,Oppose EU Integration,No Scandal,Neutral,Labour Party,Male,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Female,Labour Party,No Scandal,Support EU Integration,Misreporting Funds,Neutral,Labour Party,Female
2018-04-24 04:38:14,2018-04-24 04:38:53,IP Address,155.245.28.4,100,39,True,2018-04-24 04:38:54,R_6yvURyqOHWEYAjn,,,,,51.908599853516,0.9208984375,anonymous,EN,19.047,19.047,21.897,1,Minister 2,16.429,16.429,18.527,1,Minister 2,PM's Scandal,Plagiarism,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Female,EU Integration,Neutral,Party Affiliation,Conservative Party,Plagiarism,No Scandal,Neutral,Conservative Party,Male,Oppose EU Integration,Conservative Party,PM's Scandal,Plagiarism,Scandal,No Scandal,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Plagiarism,Having an Extramarital Affair,Oppose EU Integration,Labour Party,Male,Neutral,Labour Party
2018-04-24 05:38:50,2018-04-24 05:39:09,IP Address,155.245.28.8,100,19,True,2018-04-24 05:39:10,R_AAHHsnaK3l4qpXz,,,,,51.908599853516,0.9208984375,anonymous,EN,8.819,8.819,10.972,1,Minister 1,6.217,6.217,7.271,1,Minister 1,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,Gender,Female,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Liberal Democrats,Oppose EU Integration,Misreporting Funds,Female,Conservative Party,Misreporting Funds,Support EU Integration,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Gender,Female,PM's Partisanship,Labour Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Conservative Party,Support EU Integration,Sexual Harassment,Female,Conservative Party,Plagiarism,Oppose EU Integration
2018-04-24 06:04:01,2018-04-24 06:04:20,IP Address,155.245.28.12,100,19,True,2018-04-24 06:04:20,R_1Ks4PeCZmzwTsgA,,,,,51.908599853516,0.9208984375,anonymous,EN,9.65,9.65,10.947,1,Minister 1,6.239,6.239,7.463,1,Minister 1,Party Affiliation,Labour Party,EU Integration,Neutral,PM's Partisanship,Labour Party,PM's Scandal,No Scandal,Scandal,No Scandal,Gender,Male,PM's Position in EU Integration,Support EU Integration,Liberal Democrats,Support EU Integration,Conservative Party,Sexual Harassment,Plagiarism,Female,Support EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,Gender,Male,PM's Position in EU Integration,Neutral,Labour Party,Oppose EU Integration,Labour Party,No Scandal,Misreporting Funds,Male,Neutral
2018-04-24 06:04:16,2018-04-24 06:04:36,IP Address,155.245.28.11,100,19,True,2018-04-24 06:04:36,R_3NFfU9Jmm2ybBFJ,,,,,51.908599853516,0.9208984375,anonymous,EN,7.163,7.163,8.47,1,Minister 1,4.661,4.661,10.688,1,Minister 2,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,Labour Party,Oppose EU Integration,Female,Labour Party,Plagiarism,Oppose EU Integration,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,EU Integration,Neutral,Scandal,Plagiarism,Conservative Party,Support EU Integration,Female,Conservative Party,Misreporting Funds,Oppose EU Integration,Having an Extramarital Affair
2018-04-24 06:06:10,2018-04-24 06:06:42,IP Address,155.245.28.4,100,31,True,2018-04-24 06:06:43,R_2QXa1dm0W6m9PJk,,,,,51.908599853516,0.9208984375,anonymous,EN,20.531,20.531,21.422,1,Minister 2,9.045,9.045,10.592,1,Minister 2,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Gender,Female,Scandal,Plagiarism,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Conservative Party,Oppose EU Integration,Male,Plagiarism,Conservative Party,Having an Extramarital Affair,Support EU Integration,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Conservative Party,Neutral,Male,No Scandal,Liberal Democrats,No Scandal,Support EU Integration
2018-04-24 06:09:15,2018-04-24 06:09:43,IP Address,155.245.28.13,100,27,True,2018-04-24 06:09:43,R_3JJ0inRorFloacs,,,,,51.908599853516,0.9208984375,anonymous,EN,13.042,13.042,14.72,1,Minister 2,10.804,10.804,12.961,1,Minister 1,PM's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Scandal,No Scandal,PM's Position in EU Integration,Neutral,Gender,Male,Having an Extramarital Affair,Neutral,Conservative Party,Conservative Party,No Scandal,Neutral,Female,PM's Scandal,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Gender,Male,Sexual Harassment,Support EU Integration,Liberal Democrats,Conservative Party,Plagiarism,Neutral,Female
2018-04-24 06:35:19,2018-04-24 06:35:44,IP Address,155.245.28.13,100,24,True,2018-04-24 06:35:44,R_0PS1KujLTrqtgiJ,,,,,51.908599853516,0.9208984375,anonymous,EN,12.464,12.464,13.739,1,Minister 2,8.896,8.896,10.264,1,Minister 1,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,Having an Extramarital Affair,Labour Party,Neutral,Male,Neutral,Labour Party,No Scandal,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Neutral,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,Misreporting Funds,Conservative Party,Support EU Integration,Female,Support EU Integration,Conservative Party,Sexual Harassment
