IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6
155.245.28.9,100,52,TRUE,2018/4/24 04:10,R_57OMdyF9QkacTlL,,,,,51.90859985,0.920898438,anonymous,EN,38.658,38.658,40.209,1,Prime Minister 1,11.977,11.977,13.259,1,Prime Minister 2,Minister's Scandal,Misreporting Funds,Scandal,Sexual Harassment,Gender,Female,Minister's Partisanship,Labour Party,Sexual Harassment,Plagiarism,Female,Liberal Democrats,Minister's Scandal,Plagiarism,Scandal,No Scandal,Gender,Male,Minister's Partisanship,Conservative Party,Sexual Harassment,Sexual Harassment,Female,Labour Party,EU Integration,Neutral,Party Affiliation,Labour Party,Oppose EU Integration,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Support EU Integration,Labour Party
155.245.28.11,100,28,TRUE,2018/4/24 04:13,R_PY5Td3W43qUTG5X,,,,,51.90859985,0.920898438,anonymous,EN,12.403,12.403,13.449,1,Prime Minister 2,13.795,13.795,15.072,1,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Male,Scandal,Plagiarism,Labour Party,Labour Party,Female,Having an Extranarital Affair,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Having an Extranarital Affair,Conservative Party,Liberal Democrats,Female,Plagiarism,EU Integration,Neutral,Minister's Scandal,Plagiarism,Support EU Integration,Plagiarism,EU Integration,Support EU Integration,Minister's Scandal,Plagiarism,Support EU Integration,Sexual Harassment
155.245.28.10,100,24,TRUE,2018/4/24 04:35,R_2uKEK1g5e122jRg,,,,,51.90859985,0.920898438,anonymous,EN,7.198,7.198,8.244,1,Prime Minister 1,13.193,13.193,15.59,1,Prime Minister 2,EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Oppose EU Integration,Male,Labour Party,Labour Party,EU Integration,Neutral,Gender,Male,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Neutral,Male,Labour Party,Labour Party,Minister's Scandal,No Scandal,Scandal,Plagiarism,Plagiarism,Plagiarism,Minister's Scandal,Misreporting Funds,Scandal,Plagiarism,Misreporting Funds,No Scandal
155.245.28.4,100,39,TRUE,2018/4/24 04:37,R_2uwfQfvKmXerTMY,,,,,51.90859985,0.920898438,anonymous,EN,13.74,13.74,24.725,1,Prime Minister 1,12.058,12.058,15.057,1,Prime Minister 2,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Minister's Scandal,No Scandal,Liberal Democrats,Support EU Integration,Misreporting Funds,Sexual Harassment,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Scandal,Misreporting Funds,Minister's Scandal,Sexual Harassment,Conservative Party,Neutral,No Scandal,Plagiarism,Gender,Female,Party Affiliation,Conservative Party,Male,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,Female,Conservative Party
155.245.28.8,100,24,TRUE,2018/4/24 05:38,R_25HMiQYI4ypGPZB,,,,,51.90859985,0.920898438,anonymous,EN,8.51,9.425,11.666,2,Prime Minister 2,10.282,10.282,11.847,1,Prime Minister 1,Minister's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Male,Misreporting Funds,Support EU Integration,Conservative Party,Male,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Female,Sexual Harassment,Oppose EU Integration,Conservative Party,Male,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,No Scandal,Liberal Democrats,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Plagiarism,Liberal Democrats
155.245.28.12,100,27,TRUE,2018/4/24 06:03,R_2QuGTtmRz0QXAO0,,,,,51.90859985,0.920898438,anonymous,EN,6.786,6.786,16.549,1,Prime Minister 2,8.855,8.855,10.332,1,Prime Minister 2,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,Having an Extramarital Affair,Neutral,Sexual Harassment,Labour Party,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Party Affiliation,Labour Party,No Scandal,Oppose EU Integration,No Scandal,Labour Party,Minister's Partisanship,Conservative Party,Gender,Male,Labour Party,Male,Minister's Partisanship,Labour Party,Gender,Male,Labour Party,Female
155.245.28.11,100,29,TRUE,2018/4/24 06:03,R_ANfCIYQr6YdpI8V,,,,,51.90859985,0.920898438,anonymous,EN,17.306,17.306,18.844,1,Prime Minister 1,9.289,9.289,11.207,1,Prime Minister 1,Party Affiliation,Conservative Party,Gender,Male,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,Labour Party,Female,Labour Party,Plagiarism,Party Affiliation,Conservative Party,Gender,Female,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Conservative Party,Female,Conservative Party,Sexual Harassment,EU Integration,Support EU Integration,Minister's Scandal,Misreporting Funds,Oppose EU Integration,Plagiarism,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Support EU Integration,No Scandal
155.245.28.4,100,21,TRUE,2018/4/24 06:04,R_0VCZgHhOTgVjlT3,,,,,51.90859985,0.920898438,anonymous,EN,7.959,7.959,10.989,1,Prime Minister 1,8.169,8.169,9.984,1,Prime Minister 2,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,Liberal Democrats,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Conservative Party,Support EU Integration,Misreporting Funds,Liberal Democrats,Gender,Female,Scandal,No Scandal,Female,Sexual Harassment,Gender,Female,Scandal,Misreporting Funds,Female,Plagiarism
155.245.28.13,100,58,TRUE,2018/4/24 06:07,R_3hn1hCwNiyCfTpJ,,,,,51.90859985,0.920898438,anonymous,EN,37.881,37.881,39.178,1,Prime Minister 2,19.171,19.171,21.16,1,Prime Minister 1,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Minister's Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Oppose EU Integration,No Scandal,Misreporting Funds,Liberal Democrats,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,Neutral,No Scandal,Sexual Harassment,Conservative Party,Party Affiliation,Conservative Party,Gender,Female,Conservative Party,Female,Party Affiliation,Labour Party,Gender,Female,Conservative Party,Male
155.245.28.13,100,25,TRUE,2018/4/24 06:34,R_295zadKCxRUiIWl,,,,,51.90859985,0.920898438,anonymous,EN,12.948,12.948,14.971,1,Prime Minister 2,9.068,9.068,10.06,1,Prime Minister 1,Minister's Scandal,No Scandal,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Misreporting Funds,Male,Neutral,Conservative Party,Minister's Scandal,No Scandal,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Having an Extramarital Affair,Male,Support EU Integration,Labour Party,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Having an Extranarital Affair,Conservative Party,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Misreporting Funds,Labour Party
155.245.28.4,100,26,TRUE,2018/4/24 06:35,R_ezX8rcieSqL2aFH,,,,,51.90859985,0.920898438,anonymous,EN,9.852,9.852,10.965,1,Prime Minister 2,14.478,14.478,15.365,1,Prime Minister 1,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Misreporting Funds,Labour Party,Support EU Integration,Labour Party,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Sexual Harassment,Conservative Party,Neutral,Liberal Democrats,Scandal,Having an Extranarital Affair,Gender,Male,Sexual Harassment,Female,Scandal,Having an Extranarital Affair,Gender,Female,Misreporting Funds,Male
155.245.28.9,100,25,TRUE,2018/4/24 06:35,R_2ToSpeYrnie6I30,,,,,51.90859985,0.920898438,anonymous,EN,13.388,13.388,14.767,1,Prime Minister 2,8.524,8.524,10.277,1,Prime Minister 1,EU Integration,Neutral,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,Gender,Male,Oppose EU Integration,Conservative Party,No Scandal,Male,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Gender,Female,Neutral,Conservative Party,Plagiarism,Female,Scandal,No Scandal,Minister's Partisanship,Labour Party,No Scandal,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Sexual Harassment,Liberal Democrats
155.245.28.10,100,24,TRUE,2018/4/24 06:35,R_6eOwamtzlDUDPCV,,,,,51.90859985,0.920898438,anonymous,EN,12.669,12.669,13.876,1,Prime Minister 1,9.544,9.544,10.296,1,Prime Minister 2,Minister's Partisanship,Labour Party,Scandal,No Scandal,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,Labour Party,Sexual Harassment,Labour Party,No Scandal,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Conservative Party,Having an Extranarital Affair,Conservative Party,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Female,Oppose EU Integration,Female,EU Integration,Oppose EU Integration,Gender,Female,Neutral,Female
155.245.28.12,100,18,TRUE,2018/4/24 06:36,R_2TpzQ2y6V8ze3g5,,,,,51.90859985,0.920898438,anonymous,EN,9.7,9.7,10.684,1,Prime Minister 2,6.164,6.164,6.847,1,Prime Minister 2,Minister's Scandal,Misreporting Funds,Gender,Female,Scandal,Plagiarism,Party Affiliation,Conservative Party,Plagiarism,Male,Having an Extranarital Affair,Labour Party,Minister's Scandal,Plagiarism,Gender,Female,Scandal,Plagiarism,Party Affiliation,Conservative Party,No Scandal,Male,Sexual Harassment,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Labour Party,Neutral,Minister's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Conservative Party,Support EU Integration
155.245.28.2,100,35,TRUE,2018/4/24 06:36,R_1eCSzGD7Kwue7MU,,,,,51.90859985,0.920898438,anonymous,EN,18.74,18.74,20.891,1,Prime Minister 1,12.793,12.793,14.017,1,Prime Minister 2,Gender,Male,Scandal,No Scandal,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Female,Misreporting Funds,No Scandal,Conservative Party,Gender,Female,Scandal,Sexual Harassment,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Female,Plagiarism,Plagiarism,Labour Party,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Conservative Party,Neutral,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Labour Party,Support EU Integration
155.245.28.11,100,46,TRUE,2018/4/24 06:36,R_xnKa0ci82HMxi8h,,,,,51.90859985,0.920898438,anonymous,EN,22.633,22.633,25.595,1,Prime Minister 1,12.116,12.116,22.194,1,Prime Minister 1,Gender,Female,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Minister's Partisanship,Labour Party,Male,No Scandal,Support EU Integration,Labour Party,Gender,Female,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Female,Plagiarism,Neutral,Conservative Party,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Labour Party,Misreporting Funds,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Conservative Party,No Scandal
155.245.28.8,100,38,TRUE,2018/4/24 06:36,R_1Nh5kn8m7Pz1SRK,,,,,51.90859985,0.920898438,anonymous,EN,20.851,20.851,22.622,1,Prime Minister 1,14.76,14.76,16.947,1,Prime Minister 1,Party Affiliation,Conservative Party,Scandal,Plagiarism,Minister's Scandal,Plagiarism,EU Integration,Neutral,Conservative Party,Having an Extranarital Affair,Plagiarism,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,No Scandal,Minister's Scandal,No Scandal,EU Integration,Neutral,Conservative Party,Having an Extranarital Affair,Sexual Harassment,Oppose EU Integration,Gender,Female,Minister's Partisanship,Conservative Party,Female,Conservative Party,Gender,Male,Minister's Partisanship,Conservative Party,Female,Liberal Democrats
155.245.28.4,100,30,TRUE,2018/4/25 03:03,R_3UWepYnAriSERZD,,,,,51.90859985,0.920898438,anonymous,EN,15.09,15.09,16.894,1,Prime Minister 2,11.57,11.57,13.517,1,Prime Minister 2,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Labour Party,No Scandal,Labour Party,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Conservative Party,Sexual Harassment,Liberal Democrats,Neutral,Gender,Female,Minister's Scandal,Plagiarism,Male,Sexual Harassment,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Female,Misreporting Funds
155.245.28.2,100,53,TRUE,2018/4/25 03:04,R_22RKXZp7uBM3fjJ,,,,,51.90859985,0.920898438,anonymous,EN,21.471,21.471,22.402,1,Prime Minister 2,29.75,29.75,33.237,1,Prime Minister 1,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Oppose EU Integration,Conservative Party,No Scandal,Liberal Democrats,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Oppose EU Integration,Conservative Party,Sexual Harassment,Liberal Democrats,Gender,Male,Minister's Scandal,Misreporting Funds,Female,No Scandal,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Male,No Scandal
155.245.28.8,100,15,TRUE,2018/4/25 03:06,R_1ZmJyQKJZOcuBPz,,,,,51.90859985,0.920898438,anonymous,EN,3.394,3.394,7.972,1,Prime Minister 2,2.702,2.702,6.686,1,Prime Minister 2,Gender,Female,Minister's Scandal,Plagiarism,Scandal,Sexual Harassment,EU Integration,Neutral,Male,Having an Extramarital Affair,Having an Extranarital Affair,Support EU Integration,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Male,Plagiarism,Plagiarism,Oppose EU Integration,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Liberal Democrats,Conservative Party,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Labour Party,Labour Party
155.245.28.2,100,31,TRUE,2018/4/25 04:01,R_3h9AZwDQzA7RdIK,,,,,51.90859985,0.920898438,anonymous,EN,24.822,24.822,25.696,1,Prime Minister 2,5.923,5.923,6.701,1,Prime Minister 2,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Misreporting Funds,Oppose EU Integration,Having an Extranarital Affair,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Scandal,No Scandal,Party Affiliation,Conservative Party,Having an Extramarital Affair,Support EU Integration,No Scandal,Conservative Party,Gender,Male,Minister's Partisanship,Conservative Party,Female,Conservative Party,Gender,Male,Minister's Partisanship,Liberal Democrats,Female,Conservative Party
155.245.28.4,100,24,TRUE,2018/4/25 04:08,R_2ctMkHPw34lqikx,,,,,51.90859985,0.920898438,anonymous,EN,12.47,12.47,15.064,1,Prime Minister 2,6.645,6.645,9.299,1,Prime Minister 2,EU Integration,Neutral,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Neutral,Female,Plagiarism,Labour Party,EU Integration,Support EU Integration,Gender,Male,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Support EU Integration,Female,Plagiarism,Labour Party,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Labour Party,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Labour Party,No Scandal
