IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6
155.245.28.14,100,48,TRUE,2018/4/24 04:06,R_phmY1kOJhEbCVGh,,,,,51.90859985,0.920898438,anonymous,EN,26.811,29.854,30.917,2,Prime Minister 2,16.558,16.558,18.325,1,Prime Minister 1,Gender,Male,EU Integration,Neutral,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Male,Neutral,Sexual Harassment,Labour Party,No Scandal,Labour Party,Gender,Female,EU Integration,Support EU Integration,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Male,Neutral,Sexual Harassment,Labour Party,Plagiarism,Labour Party
155.245.28.10,100,30,TRUE,2018/4/24 04:07,R_sw174zCLJoWmTIJ,,,,,51.90859985,0.920898438,anonymous,EN,4.955,4.955,8.036,1,Prime Minister 1,14.36,19.362,22.826,2,Prime Minister 1,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Gender,Female,Labour Party,Labour Party,Having an Extramarital Affair,Plagiarism,Neutral,Female,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Male,Liberal Democrats,Conservative Party,Having an Extramarital Affair,Plagiarism,Oppose EU Integration,Male
155.245.28.4,100,54,TRUE,2018/4/24 04:08,R_Dq7HMDVSAV8ar3H,,,,,51.90859985,0.920898438,anonymous,EN,44.136,44.136,45.744,1,Prime Minister 1,8.974,8.974,9.927,1,Prime Minister 2,Party Affiliation,Labour Party,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Gender,Female,EU Integration,Oppose EU Integration,Conservative Party,Sexual Harassment,No Scandal,Liberal Democrats,Male,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Gender,Male,EU Integration,Oppose EU Integration,Conservative Party,Sexual Harassment,Misreporting Funds,Conservative Party,Female,Oppose EU Integration
155.245.28.9,100,52,TRUE,2018/4/24 04:10,R_57OMdyF9QkacTlL,,,,,51.90859985,0.920898438,anonymous,EN,38.658,38.658,40.209,1,Prime Minister 1,11.977,11.977,13.259,1,Prime Minister 2,Minister's Scandal,Misreporting Funds,Scandal,Sexual Harassment,Gender,Female,Minister's Partisanship,Labour Party,EU Integration,Neutral,Party Affiliation,Labour Party,Sexual Harassment,Plagiarism,Female,Liberal Democrats,Oppose EU Integration,Conservative Party,Minister's Scandal,Plagiarism,Scandal,No Scandal,Gender,Male,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Sexual Harassment,Sexual Harassment,Female,Labour Party,Support EU Integration,Labour Party
155.245.28.11,100,28,TRUE,2018/4/24 04:13,R_PY5Td3W43qUTG5X,,,,,51.90859985,0.920898438,anonymous,EN,12.403,12.403,13.449,1,Prime Minister 2,13.795,13.795,15.072,1,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Male,Scandal,Plagiarism,EU Integration,Neutral,Minister's Scandal,Plagiarism,Labour Party,Labour Party,Female,Having an Extranarital Affair,Support EU Integration,Plagiarism,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Minister's Scandal,Plagiarism,Conservative Party,Liberal Democrats,Female,Plagiarism,Support EU Integration,Sexual Harassment
155.245.28.10,100,24,TRUE,2018/4/24 04:35,R_2uKEK1g5e122jRg,,,,,51.90859985,0.920898438,anonymous,EN,7.198,7.198,8.244,1,Prime Minister 1,13.193,13.193,15.59,1,Prime Minister 2,EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,No Scandal,Scandal,Plagiarism,Oppose EU Integration,Male,Labour Party,Labour Party,Plagiarism,Plagiarism,EU Integration,Neutral,Gender,Male,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Scandal,Plagiarism,Neutral,Male,Labour Party,Labour Party,Misreporting Funds,No Scandal
155.245.28.4,100,39,TRUE,2018/4/24 04:37,R_2uwfQfvKmXerTMY,,,,,51.90859985,0.920898438,anonymous,EN,13.74,13.74,24.725,1,Prime Minister 1,12.058,12.058,15.057,1,Prime Minister 2,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Minister's Scandal,No Scandal,Gender,Female,Party Affiliation,Conservative Party,Liberal Democrats,Support EU Integration,Misreporting Funds,Sexual Harassment,Male,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Scandal,Misreporting Funds,Minister's Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Conservative Party,Conservative Party,Neutral,No Scandal,Plagiarism,Female,Conservative Party
155.245.28.8,100,24,TRUE,2018/4/24 05:38,R_25HMiQYI4ypGPZB,,,,,51.90859985,0.920898438,anonymous,EN,8.51,9.425,11.666,2,Prime Minister 2,10.282,10.282,11.847,1,Prime Minister 1,Minister's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Male,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Misreporting Funds,Support EU Integration,Conservative Party,Male,No Scandal,Liberal Democrats,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Female,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Sexual Harassment,Oppose EU Integration,Conservative Party,Male,Plagiarism,Liberal Democrats
155.245.28.12,100,27,TRUE,2018/4/24 06:03,R_2QuGTtmRz0QXAO0,,,,,51.90859985,0.920898438,anonymous,EN,6.786,6.786,16.549,1,Prime Minister 2,8.855,8.855,10.332,1,Prime Minister 2,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Male,Having an Extramarital Affair,Neutral,Sexual Harassment,Labour Party,Labour Party,Male,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Male,No Scandal,Oppose EU Integration,No Scandal,Labour Party,Labour Party,Female
155.245.28.11,100,29,TRUE,2018/4/24 06:03,R_ANfCIYQr6YdpI8V,,,,,51.90859985,0.920898438,anonymous,EN,17.306,17.306,18.844,1,Prime Minister 1,9.289,9.289,11.207,1,Prime Minister 1,Party Affiliation,Conservative Party,Gender,Male,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Minister's Scandal,Misreporting Funds,Labour Party,Female,Labour Party,Plagiarism,Oppose EU Integration,Plagiarism,Party Affiliation,Conservative Party,Gender,Female,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Female,Conservative Party,Sexual Harassment,Support EU Integration,No Scandal
155.245.28.4,100,21,TRUE,2018/4/24 06:04,R_0VCZgHhOTgVjlT3,,,,,51.90859985,0.920898438,anonymous,EN,7.959,7.959,10.989,1,Prime Minister 1,8.169,8.169,9.984,1,Prime Minister 2,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Gender,Female,Scandal,No Scandal,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,Liberal Democrats,Female,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Gender,Female,Scandal,Misreporting Funds,Conservative Party,Support EU Integration,Misreporting Funds,Liberal Democrats,Female,Plagiarism
155.245.28.13,100,58,TRUE,2018/4/24 06:07,R_3hn1hCwNiyCfTpJ,,,,,51.90859985,0.920898438,anonymous,EN,37.881,37.881,39.178,1,Prime Minister 2,19.171,19.171,21.16,1,Prime Minister 1,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Minister's Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Female,Oppose EU Integration,No Scandal,Misreporting Funds,Liberal Democrats,Conservative Party,Female,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Female,Neutral,No Scandal,Sexual Harassment,Conservative Party,Conservative Party,Male
155.245.28.13,100,25,TRUE,2018/4/24 06:34,R_295zadKCxRUiIWl,,,,,51.90859985,0.920898438,anonymous,EN,12.948,12.948,14.971,1,Prime Minister 2,9.068,9.068,10.06,1,Prime Minister 1,Minister's Scandal,No Scandal,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Misreporting Funds,Male,Neutral,Conservative Party,Having an Extranarital Affair,Conservative Party,Minister's Scandal,No Scandal,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Having an Extramarital Affair,Male,Support EU Integration,Labour Party,Misreporting Funds,Labour Party
155.245.28.4,100,26,TRUE,2018/4/24 06:35,R_ezX8rcieSqL2aFH,,,,,51.90859985,0.920898438,anonymous,EN,9.852,9.852,10.965,1,Prime Minister 2,14.478,14.478,15.365,1,Prime Minister 1,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Scandal,Having an Extranarital Affair,Gender,Male,Misreporting Funds,Labour Party,Support EU Integration,Labour Party,Sexual Harassment,Female,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,Gender,Female,Sexual Harassment,Conservative Party,Neutral,Liberal Democrats,Misreporting Funds,Male
155.245.28.9,100,25,TRUE,2018/4/24 06:35,R_2ToSpeYrnie6I30,,,,,51.90859985,0.920898438,anonymous,EN,13.388,13.388,14.767,1,Prime Minister 2,8.524,8.524,10.277,1,Prime Minister 1,EU Integration,Neutral,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,Gender,Male,Scandal,No Scandal,Minister's Partisanship,Labour Party,Oppose EU Integration,Conservative Party,No Scandal,Male,No Scandal,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Gender,Female,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Neutral,Conservative Party,Plagiarism,Female,Sexual Harassment,Liberal Democrats
155.245.28.10,100,24,TRUE,2018/4/24 06:35,R_6eOwamtzlDUDPCV,,,,,51.90859985,0.920898438,anonymous,EN,12.669,12.669,13.876,1,Prime Minister 1,9.544,9.544,10.296,1,Prime Minister 2,Minister's Partisanship,Labour Party,Scandal,No Scandal,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Gender,Female,Labour Party,Sexual Harassment,Labour Party,No Scandal,Oppose EU Integration,Female,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Gender,Female,Conservative Party,Having an Extranarital Affair,Conservative Party,Having an Extramarital Affair,Neutral,Female
155.245.28.12,100,18,TRUE,2018/4/24 06:36,R_2TpzQ2y6V8ze3g5,,,,,51.90859985,0.920898438,anonymous,EN,9.7,9.7,10.684,1,Prime Minister 2,6.164,6.164,6.847,1,Prime Minister 2,Minister's Scandal,Misreporting Funds,Gender,Female,Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Plagiarism,Male,Having an Extranarital Affair,Labour Party,Labour Party,Neutral,Minister's Scandal,Plagiarism,Gender,Female,Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,No Scandal,Male,Sexual Harassment,Conservative Party,Conservative Party,Support EU Integration
155.245.28.2,100,35,TRUE,2018/4/24 06:36,R_1eCSzGD7Kwue7MU,,,,,51.90859985,0.920898438,anonymous,EN,18.74,18.74,20.891,1,Prime Minister 1,12.793,12.793,14.017,1,Prime Minister 2,Gender,Male,Scandal,No Scandal,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Female,Misreporting Funds,No Scandal,Conservative Party,Conservative Party,Neutral,Gender,Female,Scandal,Sexual Harassment,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Female,Plagiarism,Plagiarism,Labour Party,Labour Party,Support EU Integration
155.245.28.11,100,46,TRUE,2018/4/24 06:36,R_xnKa0ci82HMxi8h,,,,,51.90859985,0.920898438,anonymous,EN,22.633,22.633,25.595,1,Prime Minister 1,12.116,12.116,22.194,1,Prime Minister 1,Gender,Female,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Male,No Scandal,Support EU Integration,Labour Party,Labour Party,Misreporting Funds,Gender,Female,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Female,Plagiarism,Neutral,Conservative Party,Conservative Party,No Scandal
155.245.28.8,100,38,TRUE,2018/4/24 06:36,R_1Nh5kn8m7Pz1SRK,,,,,51.90859985,0.920898438,anonymous,EN,20.851,20.851,22.622,1,Prime Minister 1,14.76,14.76,16.947,1,Prime Minister 1,Party Affiliation,Conservative Party,Scandal,Plagiarism,Minister's Scandal,Plagiarism,EU Integration,Neutral,Gender,Female,Minister's Partisanship,Conservative Party,Conservative Party,Having an Extranarital Affair,Plagiarism,Oppose EU Integration,Female,Conservative Party,Party Affiliation,Conservative Party,Scandal,No Scandal,Minister's Scandal,No Scandal,EU Integration,Neutral,Gender,Male,Minister's Partisanship,Conservative Party,Conservative Party,Having an Extranarital Affair,Sexual Harassment,Oppose EU Integration,Female,Liberal Democrats
155.245.28.4,100,30,TRUE,2018/4/25 03:03,R_3UWepYnAriSERZD,,,,,51.90859985,0.920898438,anonymous,EN,15.09,15.09,16.894,1,Prime Minister 2,11.57,11.57,13.517,1,Prime Minister 2,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,Minister's Scandal,Plagiarism,Labour Party,No Scandal,Labour Party,Oppose EU Integration,Male,Sexual Harassment,Party Affiliation,Conservative Party,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Sexual Harassment,Liberal Democrats,Neutral,Female,Misreporting Funds
155.245.28.2,100,53,TRUE,2018/4/25 03:04,R_22RKXZp7uBM3fjJ,,,,,51.90859985,0.920898438,anonymous,EN,21.471,21.471,22.402,1,Prime Minister 2,29.75,29.75,33.237,1,Prime Minister 1,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Gender,Male,Minister's Scandal,Misreporting Funds,Oppose EU Integration,Conservative Party,No Scandal,Liberal Democrats,Female,No Scandal,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Sexual Harassment,Liberal Democrats,Male,No Scandal
155.245.28.8,100,15,TRUE,2018/4/25 03:06,R_1ZmJyQKJZOcuBPz,,,,,51.90859985,0.920898438,anonymous,EN,3.394,3.394,7.972,1,Prime Minister 2,2.702,2.702,6.686,1,Prime Minister 2,Gender,Female,Minister's Scandal,Plagiarism,Scandal,Sexual Harassment,EU Integration,Neutral,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Male,Having an Extramarital Affair,Having an Extranarital Affair,Support EU Integration,Liberal Democrats,Conservative Party,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Male,Plagiarism,Plagiarism,Oppose EU Integration,Labour Party,Labour Party
155.245.28.2,100,31,TRUE,2018/4/25 04:01,R_3h9AZwDQzA7RdIK,,,,,51.90859985,0.920898438,anonymous,EN,24.822,24.822,25.696,1,Prime Minister 2,5.923,5.923,6.701,1,Prime Minister 2,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Gender,Male,Minister's Partisanship,Conservative Party,Misreporting Funds,Oppose EU Integration,Having an Extranarital Affair,Conservative Party,Female,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Scandal,No Scandal,Party Affiliation,Conservative Party,Gender,Male,Minister's Partisanship,Liberal Democrats,Having an Extramarital Affair,Support EU Integration,No Scandal,Conservative Party,Female,Conservative Party
155.245.28.4,100,24,TRUE,2018/4/25 04:08,R_2ctMkHPw34lqikx,,,,,51.90859985,0.920898438,anonymous,EN,12.47,12.47,15.064,1,Prime Minister 2,6.645,6.645,9.299,1,Prime Minister 2,EU Integration,Neutral,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Neutral,Female,Plagiarism,Labour Party,Labour Party,Misreporting Funds,EU Integration,Support EU Integration,Gender,Male,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Support EU Integration,Female,Plagiarism,Labour Party,Labour Party,No Scandal
