IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6,F-1-7,F-1-1-7,F-1-2-7,F-2-7,F-2-1-7,F-2-2-7
155.245.28.14,100,82,TRUE,2018/4/24 04:08,R_sM3kLi47Z46hsfT,,,,,51.90859985,0.920898438,anonymous,EN,0,0,54.892,0,16.078,16.078,19.061,1,Minister 1,9.045,9.907,11.204,2,Minister 2,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Liberal Democrats,Conservative Party,Neutral,Female,Liberal Democrats,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Conservative Party,Conservative Party,Neutral,Female,Conservative Party,PM's Scandal,Plagiarism,Scandal,Plagiarism,Plagiarism,Sexual Harassment,PM's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,No Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Neutral
155.245.28.10,100,45,TRUE,2018/4/24 04:08,R_VRvr0jSpWLqxGx3,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.995,0,5.625,26.544,27.69,3,Minister 1,10.685,10.685,14.981,1,Minister 1,Scandal,No Scandal,PM's Partisanship,Conservative Party,Gender,Male,PM's Position in EU Integration,Support EU Integration,Sexual Harassment,Conservative Party,Male,Oppose EU Integration,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Gender,Female,PM's Position in EU Integration,Support EU Integration,No Scandal,Conservative Party,Female,Oppose EU Integration,EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Oppose EU Integration,Plagiarism,EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Support EU Integration,Sexual Harassment,Party Affiliation,Conservative Party,Liberal Democrats,Party Affiliation,Liberal Democrats,Conservative Party
155.245.28.4,100,121,TRUE,2018/4/24 04:10,R_RLjuBS1J5rsimit,,,,,51.90859985,0.920898438,anonymous,EN,0,0,58.152,0,23.97,23.97,25.055,1,Minister 2,42.863,42.863,43.765,1,Minister 1,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,Gender,Male,EU Integration,Support EU Integration,Support EU Integration,No Scandal,Male,Oppose EU Integration,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Gender,Male,EU Integration,Oppose EU Integration,Support EU Integration,Sexual Harassment,Male,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,Conservative Party,Misreporting Funds,PM's Partisanship,Labour Party,Scandal,Plagiarism,Conservative Party,No Scandal,Party Affiliation,Liberal Democrats,Liberal Democrats,Party Affiliation,Labour Party,Liberal Democrats
155.245.28.9,100,39,TRUE,2018/4/24 04:11,R_2CB9K5qmQLVbAzQ,,,,,51.90859985,0.920898438,anonymous,EN,0,0,7.635,0,13.572,13.572,15.122,1,Minister 1,15.185,15.185,16.44,1,Minister 2,Party Affiliation,Liberal Democrats,Gender,Female,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Liberal Democrats,Female,Conservative Party,No Scandal,Party Affiliation,Liberal Democrats,Gender,Female,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Labour Party,Female,Labour Party,No Scandal,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Support EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,EU Integration,Neutral,Support EU Integration,Oppose EU Integration,Scandal,Plagiarism,Sexual Harassment,Scandal,Plagiarism,No Scandal
155.245.28.11,100,108,TRUE,2018/4/24 04:14,R_3rYbKpi1v4rpTZq,,,,,51.90859985,0.920898438,anonymous,EN,0,0,54.267,0,16.318,16.318,21.484,1,Minister 1,30.622,30.622,37.081,1,Minister 2,Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,No Scandal,Labour Party,Misreporting Funds,Labour Party,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Party Affiliation,Conservative Party,No Scandal,Conservative Party,Having an Extramarital Affair,Conservative Party,Gender,Female,EU Integration,Support EU Integration,Female,Oppose EU Integration,Gender,Female,EU Integration,Neutral,Male,Neutral,PM's Position in EU Integration,Support EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,Oppose EU Integration
155.245.28.10,100,107,TRUE,2018/4/24 04:37,R_3kk5920XsDSVhOU,,,,,51.90859985,0.920898438,anonymous,EN,0,0,40.532,0,30.019,30.019,31.323,1,Minister 1,36.401,36.401,40.517,1,Minister 1,Scandal,Having an Extramarital Affair,PM's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Misreporting Funds,No Scandal,Oppose EU Integration,Labour Party,Scandal,No Scandal,PM's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Sexual Harassment,Having an Extramarital Affair,Neutral,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Oppose EU Integration,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Neutral,Conservative Party,Gender,Male,Male,Gender,Female,Male
155.245.28.4,100,68,TRUE,2018/4/24 04:38,R_3JelicDQ4Qv3oBW,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.766,0,22.058,25.648,26.092,3,Minister 1,34.007,34.007,35.045,1,Minister 2,PM's Partisanship,Conservative Party,Gender,Male,PM's Scandal,Sexual Harassment,Scandal,No Scandal,Conservative Party,Male,No Scandal,Plagiarism,PM's Partisanship,Conservative Party,Gender,Female,PM's Scandal,Having an Extramarital Affair,Scandal,Misreporting Funds,Conservative Party,Female,No Scandal,Misreporting Funds,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Conservative Party,Neutral,Party Affiliation,Conservative Party,PM's Position in EU Integration,Support EU Integration,Liberal Democrats,Neutral,EU Integration,Neutral,Neutral,EU Integration,Oppose EU Integration,Neutral
155.245.28.8,100,27,TRUE,2018/4/24 05:38,R_54Np8UdzYAbODUl,,,,,51.90859985,0.920898438,anonymous,EN,0,0,9.256,0,8.181,8.181,9.375,1,Minister 1,5.748,5.748,7.876,1,Minister 1,PM's Partisanship,Conservative Party,Scandal,No Scandal,Gender,Male,EU Integration,Neutral,Conservative Party,Having an Extramarital Affair,Male,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,Gender,Male,EU Integration,Support EU Integration,Conservative Party,Misreporting Funds,Male,Neutral,PM's Scandal,No Scandal,Party Affiliation,Conservative Party,Plagiarism,Liberal Democrats,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,Sexual Harassment,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Neutral
155.245.28.12,100,47,TRUE,2018/4/24 06:04,R_2SiQcjNRl9TPy2y,,,,,51.90859985,0.920898438,anonymous,EN,0,0,24.971,0,7.948,7.948,8.907,1,Minister 2,12.968,12.968,14.265,1,Minister 2,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Neutral,Female,Conservative Party,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Gender,Male,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Support EU Integration,Female,Conservative Party,Sexual Harassment,PM's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Plagiarism,Neutral,PM's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Sexual Harassment,Oppose EU Integration,PM's Partisanship,Conservative Party,Conservative Party,PM's Partisanship,Conservative Party,Conservative Party
155.245.28.11,100,46,TRUE,2018/4/24 06:04,R_2Edb3hXGDxz4HX0,,,,,51.90859985,0.920898438,anonymous,EN,0,0,15.66,0,17.298,17.298,18.858,1,Minister 1,10.908,10.908,12.474,1,Minister 1,PM's Partisanship,Labour Party,PM's Position in EU Integration,Support EU Integration,Gender,Male,Scandal,Sexual Harassment,Conservative Party,Oppose EU Integration,Female,Plagiarism,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Gender,Male,Scandal,Having an Extramarital Affair,Labour Party,Support EU Integration,Female,Sexual Harassment,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,Liberal Democrats,Misreporting Funds,Party Affiliation,Labour Party,PM's Scandal,No Scandal,Labour Party,Sexual Harassment,EU Integration,Support EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Oppose EU Integration
155.245.28.4,100,82,TRUE,2018/4/24 06:06,R_1IfShYwMd0PteG5,,,,,51.90859985,0.920898438,anonymous,EN,0,0,51.386,0,13.909,13.909,20.713,1,Minister 1,12.177,12.177,13.297,1,Minister 2,Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Male,EU Integration,Support EU Integration,No Scandal,Conservative Party,Female,Oppose EU Integration,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Gender,Female,EU Integration,Oppose EU Integration,Misreporting Funds,Conservative Party,Female,Oppose EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Plagiarism,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,No Scandal,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,Support EU Integration
155.245.28.13,100,94,TRUE,2018/4/24 06:09,R_2awwJzQwVSrnbg9,,,,,51.90859985,0.920898438,anonymous,EN,0,0,30.81,0,20.111,20.111,22.012,1,Minister 2,25.467,25.467,28.135,1,Minister 1,Gender,Female,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Female,Labour Party,Neutral,Having an Extramarital Affair,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Female,Labour Party,Support EU Integration,Misreporting Funds,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,No Scandal,Neutral,Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Misreporting Funds,Support EU Integration,PM's Partisanship,Conservative Party,Labour Party,PM's Partisanship,Conservative Party,Labour Party
155.245.28.13,100,44,TRUE,2018/4/24 06:35,R_V1OXw6GkkR9jhfz,,,,,51.90859985,0.920898438,anonymous,EN,0,0,16.323,0,10.048,10.048,15.329,1,Minister 2,11.621,11.621,12.797,1,Minister 1,PM's Scandal,No Scandal,Scandal,Plagiarism,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Sexual Harassment,Having an Extramarital Affair,Conservative Party,Neutral,PM's Scandal,No Scandal,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,No Scandal,Sexual Harassment,Labour Party,Support EU Integration,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Conservative Party,Neutral,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Labour Party,Support EU Integration,Gender,Female,Male,Gender,Male,Male
155.245.28.10,100,20,TRUE,2018/4/24 06:36,R_3EX63QKxfi21iBv,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.152,0,8.555,8.555,11.151,1,Minister 1,4.258,4.84,5.167,2,Minister 1,Gender,Female,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Male,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Gender,Female,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Male,Sexual Harassment,Labour Party,Labour Party,PM's Position in EU Integration,Support EU Integration,EU Integration,Support EU Integration,Neutral,Neutral,PM's Position in EU Integration,Support EU Integration,EU Integration,Support EU Integration,Neutral,Support EU Integration,PM's Scandal,Plagiarism,Sexual Harassment,PM's Scandal,Misreporting Funds,No Scandal
155.245.28.4,100,66,TRUE,2018/4/24 06:36,R_SUaaGPkEh1zKPvP,,,,,51.90859985,0.920898438,anonymous,EN,0,0,15.68,0,35.885,35.885,37.243,1,Minister 1,14.306,14.306,15.914,1,Minister 2,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Plagiarism,Support EU Integration,Conservative Party,Conservative Party,No Scandal,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,No Scandal,Neutral,Labour Party,Labour Party,Sexual Harassment,Gender,Male,PM's Scandal,Sexual Harassment,Male,No Scandal,Gender,Female,PM's Scandal,Misreporting Funds,Female,Misreporting Funds,EU Integration,Oppose EU Integration,Oppose EU Integration,EU Integration,Neutral,Support EU Integration
155.245.28.9,100,42,TRUE,2018/4/24 06:36,R_2yrzOEZDrVXGG8z,,,,,51.90859985,0.920898438,anonymous,EN,0,0,17.645,0,8.561,8.561,9.46,1,Minister 1,14.603,14.603,15.273,1,Minister 2,PM's Position in EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Gender,Female,Neutral,Sexual Harassment,Conservative Party,Female,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Gender,Female,Neutral,Plagiarism,Labour Party,Male,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,Misreporting Funds,Liberal Democrats,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Having an Extramarital Affair,Labour Party,EU Integration,Neutral,Neutral,EU Integration,Neutral,Support EU Integration
155.245.28.12,100,57,TRUE,2018/4/24 06:37,R_2dWwUijNHNiGym4,,,,,51.90859985,0.920898438,anonymous,EN,22.917,26.428,27.602,3,12.416,13.497,15.621,2,Minister 2,14.269,14.269,15.042,1,Minister 1,Scandal,Misreporting Funds,Gender,Female,Party Affiliation,Liberal Democrats,PM's Scandal,Plagiarism,No Scandal,Male,Conservative Party,Sexual Harassment,Scandal,Having an Extramarital Affair,Gender,Female,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,No Scandal,Female,Conservative Party,No Scandal,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Neutral,Oppose EU Integration,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Neutral,Neutral,PM's Partisanship,Conservative Party,Conservative Party,PM's Partisanship,Conservative Party,Conservative Party
155.245.28.8,100,68,TRUE,2018/4/24 06:37,R_20UkAdnzaPrDtBR,,,,,51.90859985,0.920898438,anonymous,EN,0,0,9.263,0,40.533,40.533,42.54,1,Minister 1,16.553,16.553,18.582,1,Minister 2,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Labour Party,Labour Party,Oppose EU Integration,Plagiarism,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Liberal Democrats,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,EU Integration,Support EU Integration,PM's Scandal,No Scandal,Neutral,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,Support EU Integration,Misreporting Funds,Gender,Female,Male,Gender,Male,Male
155.245.28.2,100,80,TRUE,2018/4/24 06:37,R_3NDIKYdrg9wIrxz,,,,,51.90859985,0.920898438,anonymous,EN,0,0,28.477,0,28.32,28.32,30.112,1,Minister 1,18.218,18.218,23.65,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Neutral,Male,No Scandal,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Male,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Oppose EU Integration,Female,Plagiarism,Conservative Party,Scandal,No Scandal,Party Affiliation,Liberal Democrats,Sexual Harassment,Liberal Democrats,Scandal,No Scandal,Party Affiliation,Liberal Democrats,Sexual Harassment,Conservative Party,EU Integration,Support EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,Neutral
155.245.28.11,100,97,TRUE,2018/4/24 06:38,R_CZUoWlNHWpUe1Tr,,,,,51.90859985,0.920898438,anonymous,EN,53.953,53.953,56.56,1,25.069,25.069,27.599,1,Minister 1,5.747,5.747,17.273,1,Minister 1,Gender,Female,Party Affiliation,Labour Party,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Female,Liberal Democrats,Having an Extramarital Affair,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Male,Labour Party,Having an Extramarital Affair,Labour Party,PM's Position in EU Integration,Neutral,Scandal,No Scandal,Support EU Integration,No Scandal,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,Neutral,Plagiarism,EU Integration,Support EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,Neutral
