IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q9,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,Q7_First Click,Q7_Last Click,Q7_Page Submit,Q7_Click Count,Q8,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4
155.245.28.10,100,939,TRUE,2018/4/24 04:04,R_1KqzbJfs7nSigUK,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,821.902,0,11.045,40.112,83.868,4,42.288,42.288,43.275,1,Candidate 2,20.753,20.753,21.733,1,Candidate 2,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Neutral,Male,Sexual Harassment,Conservative Party,EU Integration,Support EU Integration,Gender,Female,Scandal,No Scandal,Party Affiliation,Conservative Party,Neutral,Male,No Scandal,Liberal Democrats
155.245.28.4,100,971,TRUE,2018/4/24 04:04,R_1QDzl56uSRLLNaC,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,916.836,0,0,0,45.632,0,29.829,29.829,31.496,1,Candidate 2,7.849,7.849,9.29,1,Candidate 1,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Female,Liberal Democrats,Oppose EU Integration,Plagiarism,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Scandal,Plagiarism,Female,Labour Party,Neutral,No Scandal
155.245.28.9,100,1079,TRUE,2018/4/24 04:06,R_3lslE8T2GbaJ9UL,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,1016.914,0,0,0,57.611,0,14.651,14.651,18.397,1,Candidate 2,28.7,43.306,45.796,4,Candidate 2,EU Integration,Neutral,Gender,Male,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,Neutral,Male,Labour Party,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,Oppose EU Integration,Female,Labour Party,No Scandal
155.245.28.11,100,106,TRUE,2018/4/24 04:09,R_3kzY7E91Viu7qvx,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,28.243,0,0,0,25.308,0,48.185,48.185,49.743,1,Candidate 2,4.21,4.21,6.012,1,Candidate 1,Gender,Female,Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Neutral,Female,No Scandal,Labour Party,Oppose EU Integration,Gender,Male,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Neutral,Female,Plagiarism,Labour Party,Oppose EU Integration
155.245.28.10,100,707,TRUE,2018/4/24 04:32,R_3lRqcBxuMxauF3b,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,667.583,0,0,0,37.912,0,23.418,24.274,24.808,2,Candidate 1,15.299,15.299,16.693,1,Candidate 2,Gender,Female,Scandal,Plagiarism,EU Integration,Neutral,Party Affiliation,Labour Party,Female,Misreporting Funds,Neutral,Labour Party,Gender,Female,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Male,Misreporting Funds,Support EU Integration,Labour Party
155.245.28.4,100,742,TRUE,2018/4/24 04:33,R_3qI2B6yyhCW10tt,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,672.479,0,0,0,46.923,0,21.729,21.729,37.091,1,Candidate 2,19.607,19.607,21.995,1,Candidate 2,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Labour Party,Scandal,Plagiarism,Support EU Integration,Female,Conservative Party,Sexual Harassment,EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,Oppose EU Integration,Male,Liberal Democrats,Plagiarism
155.245.28.8,100,91,TRUE,2018/4/24 05:35,R_2dBjdK5cDuND1oA,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,15.913,0,0,0,52.311,0,12.083,12.083,13.055,1,Candidate 2,9.043,10.554,11.772,2,Candidate 1,Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Labour Party,EU Integration,Neutral,Having an Extramarital Affair,Female,Conservative Party,Oppose EU Integration,Scandal,No Scandal,Gender,Male,Party Affiliation,Labour Party,EU Integration,Neutral,Having an Extramarital Affair,Female,Conservative Party,Neutral
155.245.28.12,100,1015,TRUE,2018/4/24 06:00,R_3eyPd0xcNwhMqZI,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,1007.739,0,0,0,23.983,0,14.668,14.668,17.013,1,Candidate 1,9.896,9.896,11.723,1,Candidate 1,Party Affiliation,Labour Party,Gender,Female,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Conservative Party,Female,Misreporting Funds,Neutral,Party Affiliation,Conservative Party,Gender,Female,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Conservative Party,Female,Plagiarism,Support EU Integration
155.245.28.11,100,1024,TRUE,2018/4/24 06:00,R_2QDOkQDRtTpjtS4,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,1025.957,0,0,0,27.555,0,24.09,24.09,27.768,1,Candidate 2,5.7,5.7,8.293,1,Candidate 2,EU Integration,Neutral,Gender,Female,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Support EU Integration,Female,Having an Extramarital Affair,Conservative Party,EU Integration,Neutral,Gender,Male,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Neutral,Female,Sexual Harassment,Labour Party
155.245.28.4,100,1076,TRUE,2018/4/24 06:01,R_2wmZExJNejyAjVd,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,1059.984,0,0,0,46.386,0,19.387,19.387,21.337,1,Candidate 1,25.578,25.578,27.433,1,Candidate 2,Gender,Female,Party Affiliation,Labour Party,Scandal,No Scandal,EU Integration,Neutral,Female,Conservative Party,Sexual Harassment,Oppose EU Integration,Gender,Male,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,EU Integration,Neutral,Male,Liberal Democrats,Misreporting Funds,Support EU Integration
155.245.28.13,100,1148,TRUE,2018/4/24 06:02,R_XpGJEpVhkLOojBv,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,1103.839,0,0,0,37.098,0,29.223,29.223,31.385,1,Candidate 2,21.742,21.742,24.281,1,Candidate 1,Gender,Female,EU Integration,Oppose EU Integration,Scandal,No Scandal,Party Affiliation,Labour Party,Female,Support EU Integration,Having an Extramarital Affair,Liberal Democrats,Gender,Male,EU Integration,Support EU Integration,Scandal,No Scandal,Party Affiliation,Labour Party,Male,Support EU Integration,No Scandal,Labour Party
155.245.28.13,100,622,TRUE,2018/4/24 06:31,R_DV7mZiq3bWjeqSB,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,608.663,0,0,0,15.8,0,18.418,18.418,19.793,1,Candidate 1,8.818,8.818,11.929,1,Candidate 2,Gender,Male,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,Female,Support EU Integration,Misreporting Funds,Conservative Party,Gender,Male,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Male,Oppose EU Integration,Having an Extramarital Affair,Conservative Party
155.245.28.4,100,640,TRUE,2018/4/24 06:32,R_bg6wt9CX4Kyebfz,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,577.757,0,0,0,46.993,0,16.034,16.034,17.64,1,Candidate 2,24.933,24.933,25.752,1,Candidate 2,Party Affiliation,Conservative Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Gender,Female,Labour Party,Sexual Harassment,Oppose EU Integration,Female,Party Affiliation,Liberal Democrats,Scandal,No Scandal,EU Integration,Neutral,Gender,Female,Labour Party,Sexual Harassment,Support EU Integration,Male
155.245.28.2,100,83,TRUE,2018/4/24 06:32,R_1rJO6GDl2I7yiZb,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,10.677,0,0,0,34.369,0,25.137,25.137,27.845,1,Candidate 2,11.443,11.443,12.748,1,Candidate 1,Gender,Male,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Male,Support EU Integration,Plagiarism,Conservative Party,Gender,Male,EU Integration,Support EU Integration,Scandal,No Scandal,Party Affiliation,Labour Party,Male,Oppose EU Integration,Sexual Harassment,Conservative Party
155.245.28.8,100,82,TRUE,2018/4/24 06:32,R_1IabISNnDyLDgLY,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,2.36,0,0,0,47.852,0,11.673,11.673,14.434,1,Candidate 2,16.839,16.839,19.721,1,Candidate 1,Gender,Male,Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Male,No Scandal,Support EU Integration,Conservative Party,Gender,Female,Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Female,Misreporting Funds,Neutral,Labour Party
155.245.28.11,100,671,TRUE,2018/4/24 06:32,R_3ewDawkkxFvMX3l,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,646.462,0,0,0,35.856,0,16.506,16.506,21.252,1,Candidate 2,7.88,7.88,10.522,1,Candidate 2,Party Affiliation,Conservative Party,Scandal,Plagiarism,EU Integration,Neutral,Gender,Male,Conservative Party,Misreporting Funds,Oppose EU Integration,Male,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Female,Labour Party,Misreporting Funds,Oppose EU Integration,Female
155.245.28.12,100,677,TRUE,2018/4/24 06:32,R_33kG9PM44mEH9ug,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,642.135,0,19.23,19.84,25.502,2,26.101,26.101,27.416,1,Candidate 1,11.874,11.874,12.863,1,Candidate 2,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Male,No Scandal,Oppose EU Integration,Conservative Party,Male,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Gender,Male,No Scandal,Oppose EU Integration,Liberal Democrats,Male
155.245.28.9,100,89,TRUE,2018/4/24 06:32,R_1FCKkAWGKi21LK3,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,5.783,0,0,0,36.438,0,38.683,38.683,40.322,1,Candidate 2,8.156,8.156,9.042,1,Candidate 2,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Gender,Female,Plagiarism,Support EU Integration,Conservative Party,Female,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Male,Having an Extramarital Affair,Support EU Integration,Liberal Democrats,Female
155.245.28.10,100,703,TRUE,2018/4/24 06:33,R_2fa4h1GRwykwUq2,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,717.733,0,0,0,12.067,0,12.297,12.297,14.267,1,Candidate 2,8.102,8.102,9.38,1,Candidate 2,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Liberal Democrats,Scandal,Sexual Harassment,Neutral,Male,Liberal Democrats,Sexual Harassment,EU Integration,Neutral,Gender,Male,Party Affiliation,Liberal Democrats,Scandal,No Scandal,Support EU Integration,Female,Conservative Party,Sexual Harassment
155.245.28.4,100,298,TRUE,2018/4/25 03:00,R_2ZVMfp4k4cgVhYy,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,221.808,0,0,0,38.892,0,18.763,18.763,20.763,1,Candidate 1,24.542,24.542,28.087,1,Candidate 2,Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Having an Extramarital Affair,Male,Neutral,Conservative Party,Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,No Scandal,Male,Support EU Integration,Liberal Democrats
155.245.28.2,100,334,TRUE,2018/4/25 03:00,R_3EnaOXjLLYgI6qR,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,266.814,0,0,0,62.673,0,9.975,9.975,12.944,1,Candidate 1,7.392,7.392,11.889,1,Candidate 1,Party Affiliation,Labour Party,Gender,Male,EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,Conservative Party,Female,Oppose EU Integration,Having an Extramarital Affair,Party Affiliation,Labour Party,Gender,Female,EU Integration,Neutral,Scandal,Misreporting Funds,Conservative Party,Female,Oppose EU Integration,Misreporting Funds
155.245.28.8,100,501,TRUE,2018/4/25 03:03,R_30cxqx9zpkPX1WE,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,500.017,0,0,0,4.443,0,12.732,12.732,14.099,1,Candidate 2,8.539,8.539,10.514,1,Candidate 2,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Gender,Male,Labour Party,Neutral,Misreporting Funds,Female,Party Affiliation,Labour Party,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Gender,Female,Labour Party,Neutral,No Scandal,Female
155.245.28.2,100,2389,TRUE,2018/4/25 03:58,R_tKWzwzbJcejE1fb,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,2453.907,0,0,0,19.67,0,22.694,22.694,24.04,1,Candidate 1,10.307,10.307,10.946,1,Candidate 2,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,Gender,Female,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,Female,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Scandal,No Scandal,Gender,Female,Conservative Party,Support EU Integration,No Scandal,Male
155.245.28.4,100,2709,TRUE,2018/4/25 04:03,R_2YrnXBG0tBfzK6z,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,2795.384,2795.384,2806.072,1,0,0,31.013,0,13.352,16.804,18.732,2,Candidate 1,7.48,7.48,11.331,1,Candidate 2,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Neutral,Gender,Male,Plagiarism,Liberal Democrats,Neutral,Male,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Gender,Male,No Scandal,Liberal Democrats,Neutral,Male
155.245.28.8,100,2941,TRUE,2018/4/25 04:07,R_1NFBXgwTTXIQVac,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,2934.615,0,0,0,65.783,0,51.418,51.418,52.739,1,Candidate 2,49.509,49.509,51.831,1,Candidate 1,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Party Affiliation,Conservative Party,Gender,Male,Neutral,Sexual Harassment,Conservative Party,Female,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Gender,Female,Support EU Integration,No Scandal,Conservative Party,Male
155.245.28.8,100,191,TRUE,2018/4/25 04:31,R_Rgo9mcay8d3JdND,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,118.946,0,0,0,36.87,0,15.404,15.404,17.031,1,Candidate 1,28.271,28.271,29.505,1,Candidate 2,Scandal,No Scandal,Party Affiliation,Liberal Democrats,Gender,Male,EU Integration,Support EU Integration,Misreporting Funds,Conservative Party,Female,Neutral,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,EU Integration,Neutral,No Scandal,Liberal Democrats,Female,Oppose EU Integration
155.245.28.9,100,239,TRUE,2018/4/25 04:32,R_22zwOWoQjvhE9jM,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,153.954,153.954,169.461,1,2.364,16.756,25.902,9,15.214,15.214,16.246,1,Candidate 2,40.595,40.595,41.557,1,Candidate 2,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Male,Labour Party,No Scandal,Support EU Integration,Female,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Female,Labour Party,Having an Extramarital Affair,Oppose EU Integration,Male
155.245.28.10,100,99,TRUE,2018/4/25 04:33,R_3CDeilDnGmNmtMZ,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,18.555,0,0,0,49.965,0,13.424,13.424,14.829,1,Candidate 2,17.82,17.82,18.956,1,Candidate 1,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Gender,Male,Labour Party,Oppose EU Integration,Misreporting Funds,Male,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Scandal,Plagiarism,Gender,Male,Liberal Democrats,Support EU Integration,Having an Extramarital Affair,Female
155.245.28.4,100,128,TRUE,2018/4/25 04:58,R_2rUiEh5Fee8qDHA,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,36.311,0,0,0,33.313,0,33.266,33.266,34.49,1,Candidate 1,27.268,27.268,28.446,1,Candidate 2,EU Integration,Support EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,Gender,Male,Support EU Integration,Plagiarism,Conservative Party,Male,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,Gender,Male,Support EU Integration,Misreporting Funds,Labour Party,Male
155.245.28.2,100,866,TRUE,2018/4/25 04:59,R_2tEYXxAD7exUM9X,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,749.707,0,0,0,70.465,0,47.408,47.408,49.134,1,Candidate 1,20.108,20.108,21.133,1,Candidate 2,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Gender,Female,Scandal,Sexual Harassment,Support EU Integration,Liberal Democrats,Female,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Male,Scandal,No Scandal,Neutral,Liberal Democrats,Male,Having an Extramarital Affair
155.245.28.4,100,1120,TRUE,2018/4/25 05:32,R_eDNIddITDb6CYTf,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,1097.594,0,0,0,46.169,0,11.322,11.322,13.975,1,Candidate 1,15.808,15.808,18.753,1,Candidate 2,Gender,Female,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Male,Liberal Democrats,Plagiarism,Oppose EU Integration,Gender,Female,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Male,Labour Party,Having an Extramarital Affair,Support EU Integration
155.245.28.8,100,1144,TRUE,2018/4/25 05:32,R_2sXAZaroH5jjEqj,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,1133.243,0,0,0,26.656,0,30.565,30.565,31.498,1,Candidate 2,7.246,7.246,8.529,1,Candidate 1,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Gender,Male,Scandal,Misreporting Funds,Support EU Integration,Labour Party,Male,Having an Extramarital Affair,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Female,Scandal,No Scandal,Oppose EU Integration,Conservative Party,Male,Having an Extramarital Affair
155.245.28.11,100,119,TRUE,2018/4/25 05:32,R_2rZoYUAJe7cRANW,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,64.101,64.101,64.956,1,0,0,30.746,0,11.755,11.755,16.235,1,Candidate 1,6.459,6.459,9.347,1,Candidate 1,Scandal,Misreporting Funds,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Neutral,Sexual Harassment,Female,Liberal Democrats,Oppose EU Integration,Scandal,Plagiarism,Gender,Female,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Plagiarism,Male,Conservative Party,Oppose EU Integration
155.245.28.10,100,110,TRUE,2018/4/25 05:33,R_2wSuV2vjPVjIR9w,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,21.462,0,0,0,44.365,0,31.612,31.612,32.785,1,Candidate 1,14.189,14.189,15.391,1,Candidate 1,Scandal,Plagiarism,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Gender,Male,Misreporting Funds,Labour Party,Oppose EU Integration,Male,Scandal,Plagiarism,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Gender,Female,Having an Extramarital Affair,Conservative Party,Oppose EU Integration,Male
