IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6
155.245.28.14,100,38,TRUE,2018/4/24 04:05,R_1lh1bavJpP22Lnq,,,,,51.90859985,0.920898438,anonymous,EN,25.343,25.343,26.416,1,Prime Minister 2,11.792,11.792,12.802,1,Prime Minister 1,Minister's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Plagiarism,Sexual Harassment,Male,Labour Party,Neutral,Labour Party,Minister's Scandal,Sexual Harassment,Scandal,No Scandal,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Sexual Harassment,Having an Extranarital Affair,Female,Conservative Party,Oppose EU Integration,Conservative Party
155.245.28.10,100,29,TRUE,2018/4/24 04:07,R_2D1wa3Azh88Ewic,,,,,51.90859985,0.920898438,anonymous,EN,15.411,15.411,21.597,1,Prime Minister 1,4.977,4.977,7.556,1,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Female,Labour Party,Plagiarism,Labour Party,Plagiarism,Oppose EU Integration,Male,Minister's Partisanship,Conservative Party,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Scandal,Plagiarism,EU Integration,Neutral,Gender,Female,Liberal Democrats,Having an Extramarital Affair,Conservative Party,Having an Extranarital Affair,Support EU Integration,Male
155.245.28.4,100,40,TRUE,2018/4/24 04:07,R_331PBgBnLxI68MC,,,,,51.90859985,0.920898438,anonymous,EN,16.405,16.405,25.468,1,Prime Minister 1,14.41,14.41,16.064,1,Prime Minister 1,Minister's Partisanship,Labour Party,Gender,Male,Party Affiliation,Labour Party,EU Integration,Neutral,Scandal,Plagiarism,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Female,Conservative Party,Oppose EU Integration,Misreporting Funds,Plagiarism,Minister's Partisanship,Labour Party,Gender,Female,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Minister's Scandal,No Scandal,Liberal Democrats,Female,Conservative Party,Oppose EU Integration,Sexual Harassment,No Scandal
155.245.28.9,100,49,TRUE,2018/4/24 04:09,R_2rGyccz5NPvajxX,,,,,51.90859985,0.920898438,anonymous,EN,21.599,21.599,23.488,1,Prime Minister 2,25.552,25.552,27.045,1,Prime Minister 1,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Gender,Male,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Labour Party,Misreporting Funds,Male,Labour Party,Having an Extramarital Affair,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Gender,Male,Minister's Partisanship,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Conservative Party,Sexual Harassment,Male,Conservative Party,Sexual Harassment,Oppose EU Integration
155.245.28.11,100,41,TRUE,2018/4/24 04:12,R_p3EnMuzIfJZqA6Z,,,,,51.90859985,0.920898438,anonymous,EN,18.569,18.569,20.63,1,Prime Minister 1,18.524,21.292,21.593,2,Prime Minister 2,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Gender,Female,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Labour Party,Having an Extranarital Affair,Labour Party,Female,No Scandal,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Gender,Female,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Conservative Party,No Scandal,Conservative Party,Male,Misreporting Funds,Neutral
155.245.28.10,100,28,TRUE,2018/4/24 04:35,R_24FXXvuKKUMPFxs,,,,,51.90859985,0.920898438,anonymous,EN,15.325,15.325,16.332,1,Prime Minister 1,11.295,11.295,12.277,1,Prime Minister 1,Minister's Scandal,No Scandal,Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Female,Sexual Harassment,No Scandal,Oppose EU Integration,Conservative Party,Conservative Party,Male,Minister's Scandal,Misreporting Funds,Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Gender,Female,Misreporting Funds,Misreporting Funds,Neutral,Conservative Party,Conservative Party,Male
155.245.28.4,100,26,TRUE,2018/4/24 04:36,R_tVBBOmEOZfAuvC1,,,,,51.90859985,0.920898438,anonymous,EN,6.487,6.487,8.006,1,Prime Minister 1,17.61,17.61,18.511,1,Prime Minister 2,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Male,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Minister's Scandal,Having an Extramarital Affair,Labour Party,Labour Party,Female,Support EU Integration,Plagiarism,Having an Extramarital Affair,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Female,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Conservative Party,Male,Neutral,Sexual Harassment,Having an Extramarital Affair
155.245.28.8,100,25,TRUE,2018/4/24 05:37,R_WCpoq69aebDqhTb,,,,,51.90859985,0.920898438,anonymous,EN,8.104,8.104,9.128,1,Prime Minister 1,14.929,14.929,15.914,1,Prime Minister 1,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Female,Labour Party,Neutral,Sexual Harassment,Sexual Harassment,Labour Party,Gender,Male,Party Affiliation,Labour Party,EU Integration,Neutral,Scandal,No Scandal,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,Male,Conservative Party,Neutral,Having an Extranarital Affair,Plagiarism,Liberal Democrats
155.245.28.12,100,27,TRUE,2018/4/24 06:02,R_1GH9xkrEp4Sv14D,,,,,51.90859985,0.920898438,anonymous,EN,6.42,6.42,17.218,1,Prime Minister 2,8.012,8.012,9.336,1,Prime Minister 2,Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Neutral,Party Affiliation,Conservative Party,Misreporting Funds,Labour Party,No Scandal,Male,Support EU Integration,Labour Party,Scandal,Misreporting Funds,Minister's Partisanship,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Sexual Harassment,Labour Party,Having an Extramarital Affair,Female,Support EU Integration,Labour Party
155.245.28.11,100,24,TRUE,2018/4/24 06:02,R_1ONwhG0qia9cZtb,,,,,51.90859985,0.920898438,anonymous,EN,14.566,14.566,15.954,1,Prime Minister 1,7.186,7.186,8.306,1,Prime Minister 2,EU Integration,Neutral,Gender,Male,Scandal,Having an Extranarital Affair,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Neutral,Female,Plagiarism,Having an Extramarital Affair,Labour Party,Labour Party,EU Integration,Neutral,Gender,Male,Scandal,Having an Extranarital Affair,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Support EU Integration,Female,Having an Extranarital Affair,Misreporting Funds,Conservative Party,Liberal Democrats
155.245.28.4,100,43,TRUE,2018/4/24 06:04,R_1mgvUgOxE1jDXKd,,,,,51.90859985,0.920898438,anonymous,EN,23.852,23.852,25.24,1,Prime Minister 1,17.216,17.216,18.149,1,Prime Minister 1,Gender,Female,Party Affiliation,Labour Party,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Scandal,Plagiarism,EU Integration,Support EU Integration,Female,Conservative Party,No Scandal,Liberal Democrats,Misreporting Funds,Support EU Integration,Gender,Male,Party Affiliation,Labour Party,Minister's Scandal,No Scandal,Minister's Partisanship,Labour Party,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Male,Labour Party,Misreporting Funds,Labour Party,Sexual Harassment,Oppose EU Integration
155.245.28.13,100,36,TRUE,2018/4/24 06:06,R_pyKmNMVeSG4XWo1,,,,,51.90859985,0.920898438,anonymous,EN,12.67,12.67,14.358,1,Prime Minister 1,21.579,21.579,22.758,1,Prime Minister 1,EU Integration,Oppose EU Integration,Scandal,No Scandal,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,Having an Extramarital Affair,Gender,Female,Oppose EU Integration,Having an Extranarital Affair,Liberal Democrats,Conservative Party,Misreporting Funds,Female,EU Integration,Neutral,Scandal,Plagiarism,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,No Scandal,Gender,Female,Oppose EU Integration,Misreporting Funds,Labour Party,Labour Party,Having an Extramarital Affair,Male
155.245.28.13,100,40,TRUE,2018/4/24 06:34,R_2duK5jc8ScDGKkw,,,,,51.90859985,0.920898438,anonymous,EN,14.549,14.549,27.67,1,Prime Minister 1,10.993,10.993,13.723,1,Prime Minister 2,Gender,Male,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,Male,Labour Party,Plagiarism,Support EU Integration,Labour Party,Misreporting Funds,Gender,Male,Minister's Partisanship,Conservative Party,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Female,Liberal Democrats,Misreporting Funds,Neutral,Conservative Party,Having an Extramarital Affair
155.245.28.4,100,33,TRUE,2018/4/24 06:34,R_3L1DxIFfUyCJH4t,,,,,51.90859985,0.920898438,anonymous,EN,13.867,13.867,15.885,1,Prime Minister 1,16.906,16.906,17.991,1,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,Misreporting Funds,Gender,Female,Conservative Party,Sexual Harassment,Conservative Party,Neutral,Misreporting Funds,Female,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Scandal,Misreporting Funds,Gender,Female,Labour Party,No Scandal,Labour Party,Support EU Integration,Misreporting Funds,Female
155.245.28.9,100,30,TRUE,2018/4/24 06:35,R_2rUt34jLev7mvKm,,,,,51.90859985,0.920898438,anonymous,EN,20.176,20.176,23.533,1,Prime Minister 1,5.531,5.531,6.391,1,Prime Minister 1,Party Affiliation,Labour Party,Gender,Male,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Minister's Scandal,Sexual Harassment,Conservative Party,Male,Liberal Democrats,Neutral,Sexual Harassment,Having an Extramarital Affair,Party Affiliation,Conservative Party,Gender,Male,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Minister's Scandal,No Scandal,Conservative Party,Male,Conservative Party,Oppose EU Integration,Having an Extranarital Affair,No Scandal
155.245.28.10,100,26,TRUE,2018/4/24 06:35,R_2tFMNSkaU689BOr,,,,,51.90859985,0.920898438,anonymous,EN,16.955,16.955,19.057,1,Prime Minister 1,6.701,6.701,7.243,1,Prime Minister 2,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,EU Integration,Oppose EU Integration,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Sexual Harassment,Oppose EU Integration,Female,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Female,Minister's Scandal,No Scandal,Conservative Party,Liberal Democrats,No Scandal,Oppose EU Integration,Female,Having an Extramarital Affair
155.245.28.11,100,27,TRUE,2018/4/24 06:35,R_11cmMTQang64fnX,,,,,51.90859985,0.920898438,anonymous,EN,9.595,9.595,21.991,1,Prime Minister 2,2.269,2.269,5.175,1,Prime Minister 1,Party Affiliation,Labour Party,Gender,Female,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Conservative Party,Male,Conservative Party,Having an Extramarital Affair,Misreporting Funds,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Female,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,Scandal,No Scandal,EU Integration,Oppose EU Integration,Conservative Party,Male,Liberal Democrats,Misreporting Funds,Having an Extranarital Affair,Support EU Integration
155.245.28.2,100,40,TRUE,2018/4/24 06:35,R_yJw3fDUC1fqoCDn,,,,,51.90859985,0.920898438,anonymous,EN,24.736,24.736,27.2,1,Prime Minister 2,13.052,13.052,14.109,1,Prime Minister 1,Gender,Female,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Male,Conservative Party,Having an Extramarital Affair,Support EU Integration,Conservative Party,No Scandal,Gender,Male,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Scandal,Having an Extranarital Affair,Male,Conservative Party,Misreporting Funds,Neutral,Conservative Party,Sexual Harassment
155.245.28.8,100,36,TRUE,2018/4/24 06:35,R_3Oe45roJUbo5hM8,,,,,51.90859985,0.920898438,anonymous,EN,12.685,12.685,13.989,1,Prime Minister 1,20.929,20.929,23.231,1,Prime Minister 2,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Gender,Female,Minister's Scandal,No Scandal,Conservative Party,Having an Extranarital Affair,Conservative Party,Oppose EU Integration,Male,Sexual Harassment,Party Affiliation,Labour Party,Scandal,Having an Extranarital Affair,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Having an Extranarital Affair,Conservative Party,Neutral,Male,Plagiarism
155.245.28.12,100,61,TRUE,2018/4/24 06:35,R_2DSSlLWyeb6qfz6,,,,,51.90859985,0.920898438,anonymous,EN,36.735,51.033,51.947,5,Prime Minister 2,9.985,9.985,12.198,1,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Scandal,Sexual Harassment,Minister's Scandal,Plagiarism,EU Integration,Neutral,Gender,Male,Party Affiliation,Conservative Party,Liberal Democrats,Having an Extranarital Affair,Sexual Harassment,Support EU Integration,Female,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Plagiarism,EU Integration,Neutral,Gender,Female,Party Affiliation,Conservative Party,Conservative Party,Plagiarism,No Scandal,Support EU Integration,Female,Conservative Party
155.245.28.4,100,29,TRUE,2018/4/25 03:02,R_1DFRYOIWtrkIDiV,,,,,51.90859985,0.920898438,anonymous,EN,13.12,13.12,14.567,1,Prime Minister 2,12.273,12.273,15.212,1,Prime Minister 1,Party Affiliation,Conservative Party,Scandal,No Scandal,Minister's Scandal,No Scandal,Gender,Male,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Labour Party,Plagiarism,Having an Extramarital Affair,Male,Oppose EU Integration,Labour Party,Party Affiliation,Labour Party,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,Gender,Male,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Conservative Party,No Scandal,Sexual Harassment,Female,Support EU Integration,Liberal Democrats
155.245.28.2,100,36,TRUE,2018/4/25 03:03,R_1JVj3bUbFCtik4m,,,,,51.90859985,0.920898438,anonymous,EN,28.046,28.046,29.376,1,Prime Minister 2,4.881,4.881,6.94,1,Prime Minister 1,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Scandal,Plagiarism,Liberal Democrats,Female,Having an Extranarital Affair,Conservative Party,Support EU Integration,Misreporting Funds,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Plagiarism,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Minister's Scandal,Misreporting Funds,Liberal Democrats,Male,Having an Extranarital Affair,Conservative Party,Neutral,Sexual Harassment
155.245.28.8,100,23,TRUE,2018/4/25 03:05,R_u7Z7idrOoWrGgRH,,,,,51.90859985,0.920898438,anonymous,EN,8.25,8.25,14.24,1,Prime Minister 2,6.464,6.464,8.316,1,Prime Minister 1,EU Integration,Support EU Integration,Scandal,Having an Extranarital Affair,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,Oppose EU Integration,Plagiarism,Having an Extramarital Affair,Liberal Democrats,Conservative Party,Female,EU Integration,Neutral,Scandal,Plagiarism,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Male,Neutral,No Scandal,No Scandal,Liberal Democrats,Conservative Party,Male
155.245.28.2,100,36,TRUE,2018/4/25 04:00,R_3GlD3zIHF6yNLqU,,,,,51.90859985,0.920898438,anonymous,EN,18.52,18.52,19.274,1,Prime Minister 1,16.785,16.785,17.476,1,Prime Minister 2,Minister's Partisanship,Labour Party,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Male,Liberal Democrats,Sexual Harassment,Conservative Party,Sexual Harassment,Oppose EU Integration,Female,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Gender,Male,Labour Party,No Scandal,Labour Party,Plagiarism,Oppose EU Integration,Male
155.245.28.4,100,34,TRUE,2018/4/25 04:07,R_1GZY10C4qDE9j2M,,,,,51.90859985,0.920898438,anonymous,EN,16.312,23.859,24.742,3,Prime Minister 1,9.069,9.069,10.058,1,Prime Minister 1,Gender,Female,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Female,No Scandal,Support EU Integration,Misreporting Funds,Conservative Party,Conservative Party,Gender,Female,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Scandal,Having an Extranarital Affair,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Female,Sexual Harassment,Neutral,Plagiarism,Conservative Party,Conservative Party
