,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6
208,86.148.156.140,100,36,TRUE,2018/6/19 04:09,R_1Lu2iKWAoP2KDZC,NA,NA,NA,NA,51.88330078,0.366699219,anonymous,EN,9.624,9.624,10.769,1,Prime Minister 2,23.806,23.806,24.857,1,Prime Minister 1,Gender,Male,Party Affiliation,Labour Party,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Scandal,Sexual Harassment,EU Integration,Neutral,Male,Conservative Party,Misreporting Funds,Liberal Democrats,Having an Extranarital Affair,Neutral,Gender,Female,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Male,Labour Party,Sexual Harassment,Labour Party,Plagiarism,Neutral
209,81.109.254.163,100,19,TRUE,2018/6/19 04:11,R_3oMIedieTMB2LwG,NA,NA,NA,NA,51.3999939,0.050003052,anonymous,EN,2.321,8.821,9.394,4,Prime Minister 1,4.358,8.322,8.966,3,Prime Minister 1,Minister's Scandal,No Scandal,Gender,Female,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Sexual Harassment,Male,Conservative Party,No Scandal,Conservative Party,Neutral,Minister's Scandal,Plagiarism,Gender,Female,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Sexual Harassment,Male,Liberal Democrats,Plagiarism,Conservative Party,Oppose EU Integration
210,31.221.65.146,100,29,TRUE,2018/6/19 04:12,R_3D8sBiqLxjX70dk,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,1.526,10.889,12.882,4,Prime Minister 1,0.994,13.812,15.548,4,Prime Minister 1,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,EU Integration,Neutral,Gender,Female,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Labour Party,Plagiarism,Support EU Integration,Female,Sexual Harassment,Labour Party,Minister's Partisanship,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Conservative Party,Sexual Harassment,Support EU Integration,Male,No Scandal,Conservative Party
211,86.12.161.20,100,32,TRUE,2018/6/19 04:19,R_2TMFTOH3iiNPZ46,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,17.307,17.307,19.028,1,Prime Minister 1,10.996,10.996,12.027,1,Prime Minister 1,Party Affiliation,Conservative Party,Gender,Female,Scandal,Having an Extranarital Affair,EU Integration,Neutral,Minister's Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Labour Party,Female,No Scandal,Neutral,Sexual Harassment,Labour Party,Party Affiliation,Conservative Party,Gender,Female,Scandal,Having an Extranarital Affair,EU Integration,Oppose EU Integration,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Labour Party,Male,Sexual Harassment,Oppose EU Integration,Sexual Harassment,Labour Party
212,5.151.215.96,100,23,TRUE,2018/6/19 04:21,R_u56yiMXTEO9s5GN,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,2.677,12.926,13.375,5,Prime Minister 2,2.398,8.759,8.789,5,Prime Minister 1,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Minister's Scandal,Misreporting Funds,Gender,Male,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,No Scandal,Support EU Integration,Plagiarism,Male,Liberal Democrats,Conservative Party,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Gender,Male,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Sexual Harassment,Oppose EU Integration,Misreporting Funds,Female,Conservative Party,Conservative Party
213,86.1.190.190,100,49,TRUE,2018/6/19 04:27,R_1QB1dq6c3ZDJ6u1,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,14.335,23.105,24.691,3,Prime Minister 2,7.271,21.455,23.234,3,Prime Minister 1,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Gender,Female,Scandal,Having an Extranarital Affair,EU Integration,Neutral,Labour Party,Labour Party,Misreporting Funds,Female,Having an Extranarital Affair,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Gender,Male,Scandal,No Scandal,EU Integration,Support EU Integration,Conservative Party,Conservative Party,Having an Extramarital Affair,Male,Sexual Harassment,Oppose EU Integration
214,86.1.186.170,100,19,TRUE,2018/6/19 04:33,R_5AsQZ2Uuun30f5v,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.358,6.924,8.133,5,Prime Minister 2,1.393,9.352,10.372,4,Prime Minister 2,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Gender,Male,Scandal,Plagiarism,Having an Extramarital Affair,Conservative Party,Conservative Party,Support EU Integration,Female,No Scandal,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Gender,Female,Scandal,No Scandal,Plagiarism,Labour Party,Labour Party,Neutral,Female,Misreporting Funds
215,155.245.59.228,100,22,TRUE,2018/6/19 04:34,R_07G809V0zowX4GZ,NA,NA,NA,NA,51.94999695,1.066696167,anonymous,EN,12.029,12.029,13.526,1,Prime Minister 2,6.195,6.195,8.079,1,Prime Minister 1,Minister's Partisanship,Labour Party,Gender,Female,Minister's Scandal,Plagiarism,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Liberal Democrats,Male,Plagiarism,Having an Extranarital Affair,Support EU Integration,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Male,Minister's Scandal,Plagiarism,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Liberal Democrats,Male,Plagiarism,Misreporting Funds,Oppose EU Integration,Conservative Party
216,81.154.34.58,100,12,TRUE,2018/6/19 04:36,R_21H5NfL2T6FhsOP,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.808,2.446,2.918,3,Prime Minister 2,2.04,3.336,3.722,3,Prime Minister 2,Gender,Female,Scandal,No Scandal,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Female,Sexual Harassment,Misreporting Funds,Conservative Party,Oppose EU Integration,Conservative Party,Gender,Female,Scandal,Plagiarism,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Female,Having an Extranarital Affair,No Scandal,Labour Party,Neutral,Labour Party
217,82.71.32.36,100,35,TRUE,2018/6/19 04:41,R_2X07gEv4YeGozwO,NA,NA,NA,NA,50.8500061,0.566696167,anonymous,EN,17.535,17.535,18.148,1,Prime Minister 2,6.096,6.096,7.153,1,Prime Minister 1,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,Scandal,Plagiarism,Gender,Male,Support EU Integration,Labour Party,Labour Party,Sexual Harassment,Having an Extranarital Affair,Female,EU Integration,Neutral,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Scandal,Misreporting Funds,Gender,Female,Oppose EU Integration,Labour Party,Labour Party,Plagiarism,Misreporting Funds,Female
218,94.193.118.68,100,27,TRUE,2018/6/19 04:41,R_2V93q8NB0HV5JhP,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,3.207,13.628,14.878,5,Prime Minister 2,8.137,9.535,10.94,3,Prime Minister 2,Gender,Female,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,Male,Neutral,Misreporting Funds,Conservative Party,Liberal Democrats,Having an Extramarital Affair,Gender,Female,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Plagiarism,Female,Support EU Integration,No Scandal,Conservative Party,Liberal Democrats,No Scandal
219,86.14.187.92,100,9,TRUE,2018/6/19 04:51,R_2XjkOPAYImAcqT6,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,1.146,4.084,4.821,3,Prime Minister 2,0.902,2.282,2.914,3,Prime Minister 1,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Oppose EU Integration,Male,Sexual Harassment,Labour Party,Labour Party,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Gender,Female,Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Support EU Integration,Male,Plagiarism,Liberal Democrats,Conservative Party,Plagiarism
220,86.30.73.93,100,35,TRUE,2018/6/19 04:54,R_BSxfEzP3MC5e277,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,13.282,15.557,18.236,2,Prime Minister 1,5.821,12.091,14.363,2,Prime Minister 1,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Gender,Male,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Misreporting Funds,Labour Party,Oppose EU Integration,Female,Sexual Harassment,Labour Party,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,No Scandal,Labour Party,Oppose EU Integration,Female,Sexual Harassment,Labour Party
221,85.255.237.90,100,13,TRUE,2018/6/19 04:55,R_9WEOl6sxklkdDBn,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,2.171,7.122,7.367,5,Prime Minister 2,2.887,3.681,4.093,4,Prime Minister 1,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Labour Party,Sexual Harassment,Female,Support EU Integration,Having an Extranarital Affair,Labour Party,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,Gender,Male,EU Integration,Support EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,Liberal Democrats,Having an Extramarital Affair,Female,Oppose EU Integration,No Scandal,Conservative Party
222,151.224.218.189,100,30,TRUE,2018/6/19 04:55,R_28TzRCrsqoZRE4I,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,14.664,14.664,16.2,1,Prime Minister 1,11.792,12.66,13.054,2,Prime Minister 1,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Scandal,Plagiarism,Gender,Male,Party Affiliation,Conservative Party,Labour Party,Misreporting Funds,Neutral,Having an Extranarital Affair,Male,Labour Party,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,EU Integration,Neutral,Scandal,Misreporting Funds,Gender,Female,Party Affiliation,Conservative Party,Labour Party,No Scandal,Neutral,Plagiarism,Male,Labour Party
223,94.197.120.183,100,17,TRUE,2018/6/19 05:10,R_3Dcpqeg4AEcuWUJ,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,4.689,9.666,10.378,5,Prime Minister 2,3.536,4.597,5.283,4,Prime Minister 2,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Plagiarism,Minister's Partisanship,Labour Party,Gender,Male,Minister's Scandal,Plagiarism,Support EU Integration,Labour Party,Misreporting Funds,Labour Party,Male,Sexual Harassment,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,Plagiarism,Minister's Partisanship,Labour Party,Gender,Female,Minister's Scandal,Misreporting Funds,Support EU Integration,Conservative Party,No Scandal,Conservative Party,Male,No Scandal
224,86.1.184.96,100,23,TRUE,2018/6/19 05:11,R_RDKMm5cXhcHWk81,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,4.823,11.216,12.29,5,Prime Minister 2,1.802,8.803,9.34,4,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Gender,Male,Labour Party,Plagiarism,Having an Extranarital Affair,Support EU Integration,Labour Party,Female,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,Scandal,Plagiarism,EU Integration,Neutral,Minister's Partisanship,Labour Party,Gender,Female,Conservative Party,Plagiarism,Plagiarism,Support EU Integration,Liberal Democrats,Male
225,176.251.88.148,100,18,TRUE,2018/6/19 05:11,R_0MwxxkZJID0Bqet,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.626,7.817,8.726,4,Prime Minister 2,0.952,6.187,8.006,3,Prime Minister 1,Gender,Male,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Female,Conservative Party,Neutral,Sexual Harassment,Conservative Party,Having an Extranarital Affair,Gender,Male,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Scandal,No Scandal,Female,Conservative Party,Neutral,Having an Extramarital Affair,Conservative Party,No Scandal
226,5.66.54.47,100,15,TRUE,2018/6/19 05:15,R_3qsW6YBsEbqRE7f,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,0.959,8.149,8.796,4,Prime Minister 1,0.534,2.61,4.333,3,Prime Minister 2,EU Integration,Neutral,Scandal,Plagiarism,Gender,Male,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,Sexual Harassment,Oppose EU Integration,No Scandal,Male,Liberal Democrats,Conservative Party,Sexual Harassment,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Gender,Male,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Neutral,Plagiarism,Male,Liberal Democrats,Conservative Party,Plagiarism
227,95.149.130.5,100,89,TRUE,2018/6/19 05:15,R_31Hk24Lty1YfXQA,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,75.768,76.919,77.539,3,Prime Minister 2,6.839,10.407,11.044,4,Prime Minister 2,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,EU Integration,Neutral,Minister's Partisanship,Labour Party,Gender,Male,Scandal,Having an Extranarital Affair,Plagiarism,Conservative Party,Neutral,Conservative Party,Male,Having an Extranarital Affair,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Sexual Harassment,Sexual Harassment,Conservative Party,Neutral,Liberal Democrats,Female,No Scandal
228,213.205.251.30,100,34,TRUE,2018/6/19 05:17,R_1hN0LA8GmwYVk8V,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,5.568,14.485,15.103,6,Prime Minister 2,2.921,16.359,17.022,4,Prime Minister 1,Gender,Female,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Scandal,Misreporting Funds,Female,Labour Party,Neutral,No Scandal,Labour Party,Having an Extramarital Affair,Gender,Male,Minister's Partisanship,Labour Party,EU Integration,Neutral,Scandal,No Scandal,Party Affiliation,Labour Party,Minister's Scandal,No Scandal,Male,Conservative Party,Support EU Integration,No Scandal,Conservative Party,Sexual Harassment
229,82.153.105.239,100,21,TRUE,2018/6/19 05:21,R_3Vgs0U6PeBSym9H,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,3.156,5.913,8.082,2,Prime Minister 1,9.635,11.885,12.686,2,Prime Minister 1,Gender,Female,Minister's Partisanship,Labour Party,Minister's Scandal,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,No Scandal,Male,Liberal Democrats,No Scandal,Support EU Integration,Conservative Party,No Scandal,Gender,Male,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,No Scandal,Male,Conservative Party,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Plagiarism
230,155.245.43.5,100,75,TRUE,2018/6/19 05:22,R_3lPjU0WyUfaf9xj,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,63.032,63.032,63.697,1,Prime Minister 1,9.752,9.752,10.3,1,Prime Minister 2,EU Integration,Neutral,Scandal,Plagiarism,Minister's Partisanship,Labour Party,Gender,Female,Party Affiliation,Labour Party,Minister's Scandal,Having an Extramarital Affair,Support EU Integration,Having an Extranarital Affair,Labour Party,Male,Labour Party,Misreporting Funds,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Gender,Female,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Support EU Integration,Misreporting Funds,Liberal Democrats,Male,Conservative Party,Having an Extramarital Affair
232,86.1.185.63,100,31,TRUE,2018/6/19 05:27,R_UKO1XhFBnTNSiul,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,12.044,13.018,13.877,3,Prime Minister 1,4.806,8.26,9.461,4,Prime Minister 1,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Female,Sexual Harassment,Labour Party,Labour Party,Plagiarism,Oppose EU Integration,Gender,Female,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Male,No Scandal,Conservative Party,Liberal Democrats,Sexual Harassment,Neutral
