,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6
208,86.148.156.140,100,24,TRUE,2018/6/19 04:09,R_4NGp1W53pVWBFQd,NA,NA,NA,NA,51.88330078,0.366699219,anonymous,EN,10.306,10.306,11.211,1,Prime Minister 2,11.013,11.013,12.239,1,Prime Minister 2,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Male,Having an Extranarital Affair,Conservative Party,Conservative Party,No Scandal,Neutral,Female,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,EU Integration,Neutral,Gender,Male,No Scandal,Labour Party,Labour Party,Plagiarism,Neutral,Female
209,81.109.254.163,100,37,TRUE,2018/6/19 04:11,R_2rVhE9bvqhnf4ko,NA,NA,NA,NA,51.3999939,0.050003052,anonymous,EN,8.677,17.186,19.398,3,Prime Minister 2,0.976,15.563,16.939,5,Prime Minister 2,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Female,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Conservative Party,No Scandal,Support EU Integration,Female,Conservative Party,Misreporting Funds,Party Affiliation,Labour Party,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Gender,Female,Minister's Partisanship,Labour Party,Scandal,Sexual Harassment,Conservative Party,No Scandal,Neutral,Male,Liberal Democrats,Sexual Harassment
210,31.221.65.146,100,35,TRUE,2018/6/19 04:11,R_SDKBJicnJViypq1,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,2.505,13.512,16.271,3,Prime Minister 2,2.243,13.079,14.929,3,Prime Minister 2,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,EU Integration,Neutral,Gender,Male,Minister's Partisanship,Conservative Party,Sexual Harassment,Conservative Party,Sexual Harassment,Oppose EU Integration,Female,Liberal Democrats,Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Gender,Male,Minister's Partisanship,Liberal Democrats,Misreporting Funds,Labour Party,No Scandal,Oppose EU Integration,Male,Labour Party
211,86.12.161.20,100,26,TRUE,2018/6/19 04:19,R_1ClM94JJBzqffsi,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,10.056,10.056,11.209,1,Prime Minister 1,13.236,13.236,14.699,1,Prime Minister 1,Gender,Female,EU Integration,Neutral,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Minister's Scandal,No Scandal,Male,Oppose EU Integration,Conservative Party,Liberal Democrats,No Scandal,Sexual Harassment,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Minister's Scandal,Plagiarism,Male,Oppose EU Integration,Labour Party,Labour Party,Sexual Harassment,Sexual Harassment
212,5.151.215.96,100,173,TRUE,2018/6/19 04:21,R_Q5qSLblPTO2SRtn,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,1.948,9.165,9.666,4,Prime Minister 2,8.29,69.24,69.632,5,Prime Minister 1,Scandal,Sexual Harassment,Gender,Male,EU Integration,Oppose EU Integration,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Having an Extranarital Affair,Female,Oppose EU Integration,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Scandal,Plagiarism,Gender,Female,EU Integration,Support EU Integration,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,No Scandal,Male,Oppose EU Integration,Plagiarism,Conservative Party,Conservative Party
213,86.1.190.190,100,53,TRUE,2018/6/19 04:26,R_24cmrOFzzpLu6iq,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,5.358,25.789,27.644,3,Prime Minister 1,17.305,24.11,26.119,3,Prime Minister 2,EU Integration,Oppose EU Integration,Gender,Female,Minister's Partisanship,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Neutral,Female,Conservative Party,Plagiarism,Conservative Party,Misreporting Funds,EU Integration,Oppose EU Integration,Gender,Male,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Oppose EU Integration,Female,Liberal Democrats,No Scandal,Conservative Party,Having an Extranarital Affair
214,86.1.186.170,100,27,TRUE,2018/6/19 04:33,R_Q3v1s7id0qM3CeZ,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.087,15.36,16.691,7,Prime Minister 1,1.011,9.142,10.189,5,Prime Minister 1,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Female,Minister's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Plagiarism,Conservative Party,Conservative Party,Female,Sexual Harassment,Neutral,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Female,Minister's Scandal,No Scandal,EU Integration,Neutral,Sexual Harassment,Conservative Party,Liberal Democrats,Male,Sexual Harassment,Oppose EU Integration
215,155.245.59.228,100,546,TRUE,2018/6/19 04:34,R_2WHXEsp2n1jclKh,NA,NA,NA,NA,51.94999695,1.066696167,anonymous,EN,535.719,535.719,536.703,1,Prime Minister 1,18.967,18.967,20.055,1,Prime Minister 1,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Minister's Scandal,Plagiarism,Gender,Female,Oppose EU Integration,Labour Party,Labour Party,Misreporting Funds,Plagiarism,Male,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Minister's Scandal,Misreporting Funds,Gender,Male,Support EU Integration,Conservative Party,Liberal Democrats,Misreporting Funds,Having an Extramarital Affair,Male
216,81.154.34.58,100,31,TRUE,2018/6/19 04:36,R_1Fep3Ec0JU0q9Pb,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,2.814,14.949,15.814,3,Prime Minister 1,12.442,13.097,13.721,3,Prime Minister 2,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Female,Minister's Scandal,No Scandal,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Support EU Integration,Labour Party,Female,Plagiarism,Sexual Harassment,Labour Party,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Male,Minister's Scandal,Sexual Harassment,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Neutral,Labour Party,Female,Plagiarism,Sexual Harassment,Labour Party
217,82.71.32.36,100,23,TRUE,2018/6/19 04:40,R_vpYZYNUUo5X2mRP,NA,NA,NA,NA,50.8500061,0.566696167,anonymous,EN,8.129,8.129,8.802,1,Prime Minister 2,10.602,10.602,11.58,1,Prime Minister 1,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Minister's Scandal,No Scandal,Gender,Male,Minister's Partisanship,Liberal Democrats,Conservative Party,Support EU Integration,Misreporting Funds,No Scandal,Female,Liberal Democrats,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Minister's Partisanship,Conservative Party,Conservative Party,Oppose EU Integration,No Scandal,Plagiarism,Female,Liberal Democrats
218,94.193.118.68,100,33,TRUE,2018/6/19 04:41,R_2E6qrOv6kQxjTCa,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,2.517,12.207,13.899,6,Prime Minister 1,8.991,13.81,18.015,3,Prime Minister 2,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,Scandal,Plagiarism,Gender,Male,Support EU Integration,Labour Party,Labour Party,Sexual Harassment,Having an Extranarital Affair,Female,EU Integration,Neutral,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Scandal,Misreporting Funds,Gender,Female,Oppose EU Integration,Labour Party,Labour Party,Plagiarism,Misreporting Funds,Female
219,86.14.187.92,100,11,TRUE,2018/6/19 04:50,R_R5pcBID5tAwoPFD,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,1.432,4.164,5.38,3,Prime Minister 1,1.068,3.232,4.688,3,Prime Minister 1,Party Affiliation,Labour Party,Minister's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,EU Integration,Neutral,Gender,Male,Labour Party,Sexual Harassment,Sexual Harassment,Labour Party,Oppose EU Integration,Male,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Scandal,No Scandal,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Gender,Female,Conservative Party,Misreporting Funds,Having an Extranarital Affair,Liberal Democrats,Support EU Integration,Male
220,86.30.73.93,100,54,TRUE,2018/6/19 04:53,R_1reLYlKfrcLvoh5,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,6.568,19.82,22.828,2,Prime Minister 1,27.082,28.202,29.971,2,Prime Minister 2,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Female,Minister's Scandal,Plagiarism,Misreporting Funds,Support EU Integration,Liberal Democrats,Conservative Party,Male,Sexual Harassment,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Female,Minister's Scandal,Sexual Harassment,Plagiarism,Neutral,Labour Party,Labour Party,Male,Plagiarism
221,85.255.237.90,100,27,TRUE,2018/6/19 04:54,R_1onz3Rsj4kCWcvX,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,1.677,7.7,7.765,6,Prime Minister 2,5.007,9.52,10.985,5,Prime Minister 2,Minister's Scandal,Sexual Harassment,Scandal,No Scandal,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Gender,Female,No Scandal,No Scandal,Conservative Party,Liberal Democrats,Support EU Integration,Male,Minister's Scandal,Having an Extramarital Affair,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Gender,Male,Misreporting Funds,No Scandal,Conservative Party,Conservative Party,Neutral,Female
222,151.224.218.189,100,62,TRUE,2018/6/19 04:55,R_3qKIFv5l1Er7Eu6,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,11.132,12.512,13.016,2,Prime Minister 2,17.718,48.717,50.355,2,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Minister's Scandal,No Scandal,Scandal,Having an Extranarital Affair,Gender,Female,EU Integration,Neutral,Conservative Party,Conservative Party,No Scandal,No Scandal,Female,Neutral,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,Scandal,Sexual Harassment,Gender,Male,EU Integration,Support EU Integration,Conservative Party,Liberal Democrats,Having an Extramarital Affair,Misreporting Funds,Female,Oppose EU Integration
223,94.197.120.183,100,20,TRUE,2018/6/19 05:09,R_3sBy1Zs5X0nwE6R,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,1.303,5.957,6.899,7,Prime Minister 1,7.642,9.595,10.685,4,Prime Minister 1,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Oppose EU Integration,Liberal Democrats,Having an Extranarital Affair,Male,Misreporting Funds,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Gender,Female,Minister's Scandal,Plagiarism,Conservative Party,Neutral,Liberal Democrats,Misreporting Funds,Female,Sexual Harassment
224,86.1.184.96,100,33,TRUE,2018/6/19 05:10,R_3jVXmj99u2j8QWi,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,9.242,12.239,13.437,4,Prime Minister 2,5.099,17.439,18.84,5,Prime Minister 1,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,No Scandal,Oppose EU Integration,Male,Labour Party,Labour Party,Misreporting Funds,Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Male,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Sexual Harassment,Oppose EU Integration,Female,Labour Party,Labour Party,Misreporting Funds
225,176.251.88.148,100,30,TRUE,2018/6/19 05:11,R_UYLZlmqBENu8S2d,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.177,10.499,11.788,4,Prime Minister 1,0.691,16.279,17.275,5,Prime Minister 1,Gender,Female,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Male,Labour Party,Plagiarism,Support EU Integration,Plagiarism,Labour Party,Gender,Male,Minister's Partisanship,Conservative Party,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Male,Liberal Democrats,Sexual Harassment,Oppose EU Integration,No Scandal,Conservative Party
226,95.149.130.5,100,19,TRUE,2018/6/19 05:14,R_3ERtZvznPe47UW1,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,2.021,7.057,7.997,3,Prime Minister 1,5.733,8.508,9.966,3,Prime Minister 1,Party Affiliation,Labour Party,Minister's Scandal,No Scandal,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Plagiarism,Conservative Party,Sexual Harassment,Liberal Democrats,Support EU Integration,Female,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Misreporting Funds,Conservative Party,Having an Extramarital Affair,Conservative Party,Support EU Integration,Female,No Scandal
227,5.66.54.47,100,16,TRUE,2018/6/19 05:15,R_1LpQGmEjlC50zkb,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,0.788,7.288,8.089,4,Prime Minister 2,0.582,5.235,7.267,4,Prime Minister 2,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Gender,Male,Liberal Democrats,Conservative Party,No Scandal,Misreporting Funds,Oppose EU Integration,Male,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,Having an Extramarital Affair,Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Male,Liberal Democrats,Conservative Party,Plagiarism,Plagiarism,Neutral,Female
228,213.205.251.30,100,54,TRUE,2018/6/19 05:17,R_7PV4NggwEJRKFPz,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,1.476,25.922,26.855,8,Prime Minister 1,1.178,25.578,26.278,5,Prime Minister 1,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Minister's Partisanship,Liberal Democrats,Gender,Male,Sexual Harassment,Conservative Party,Plagiarism,Neutral,Liberal Democrats,Male,Scandal,No Scandal,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Gender,Male,Plagiarism,Conservative Party,Misreporting Funds,Neutral,Liberal Democrats,Male
229,155.245.43.5,100,48,TRUE,2018/6/19 05:20,R_3imRyYvHy7dgJmd,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,13.077,13.077,13.53,1,Prime Minister 2,29.505,29.505,32.169,1,Prime Minister 1,Minister's Scandal,Plagiarism,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Gender,Female,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Plagiarism,Support EU Integration,Plagiarism,Female,Labour Party,Labour Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Gender,Male,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Sexual Harassment,Oppose EU Integration,Having an Extranarital Affair,Male,Liberal Democrats,Conservative Party
230,82.153.105.239,100,34,TRUE,2018/6/19 05:21,R_RxDFxBGUIXhhacF,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,0.9,18.279,19.946,5,Prime Minister 1,6.702,13.295,14.948,3,Prime Minister 2,Scandal,Having an Extranarital Affair,Minister's Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Sexual Harassment,Having an Extramarital Affair,Female,Conservative Party,Liberal Democrats,Oppose EU Integration,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,EU Integration,Neutral,Plagiarism,Having an Extramarital Affair,Female,Labour Party,Labour Party,Oppose EU Integration
232,86.1.185.63,100,25,TRUE,2018/6/19 05:27,R_2DNzgGy2ZjfkOG6,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,8.908,9.79,10.534,3,Prime Minister 1,2.207,7.197,8.051,3,Prime Minister 1,EU Integration,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Gender,Male,Oppose EU Integration,Sexual Harassment,Conservative Party,Liberal Democrats,Plagiarism,Male,EU Integration,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Misreporting Funds,Gender,Female,Oppose EU Integration,Misreporting Funds,Labour Party,Labour Party,Sexual Harassment,Female
