"","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1_First.Click","Q1_Last.Click","Q1_Page.Submit","Q1_Click.Count","Q2","Q3_First.Click","Q3_Last.Click","Q3_Page.Submit","Q3_Click.Count","Q4","F.1.1","F.1.1.1","F.1.2","F.1.1.2","F.1.3","F.1.1.3","F.1.4","F.1.1.4","F.1.2.1","F.1.2.2","F.1.2.3","F.1.2.4","F.2.1","F.2.1.1","F.2.2","F.2.1.2","F.2.3","F.2.1.3","F.2.4","F.2.1.4","F.2.2.1","F.2.2.2","F.2.2.3","F.2.2.4"
"208","86.30.98.84",100,36,TRUE,"2018/6/19 04:07","R_1H0EiDfoo5fOxo6",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",11.295,12.847,13.841,3,"Candidate 1",10.705,12.603,15.457,3,"Candidate 2","Party Affiliation","Conservative Party","Scandal","Having an Extramarital Affair","Gender","Female","EU Integration","Support EU Integration","Liberal Democrats","Sexual Harassment","Female","Neutral","Party Affiliation","Liberal Democrats","Scandal","Having an Extramarital Affair","Gender","Female","EU Integration","Oppose EU Integration","Liberal Democrats","Misreporting Funds","Male","Neutral"
"209","31.221.65.146",100,25,TRUE,"2018/6/19 04:09","R_1jSQwkL3KWyR5cn",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",2.408,10.997,14.399,3,"Candidate 2",8.207,9.145,9.834,3,"Candidate 1","Scandal","Misreporting Funds","Party Affiliation","Labour Party","EU Integration","Neutral","Gender","Female","Sexual Harassment","Labour Party","Oppose EU Integration","Female","Scandal","No Scandal","Party Affiliation","Labour Party","EU Integration","Neutral","Gender","Female","No Scandal","Labour Party","Support EU Integration","Female"
"210","81.109.254.163",100,98,TRUE,"2018/6/19 04:09","R_A55URE4nOlIUh7b",NA,NA,NA,NA,51.3999939,0.050003052,"anonymous","EN",71.816,83.355,84.317,3,"Candidate 1",5.234,13.041,13.817,3,"Candidate 1","Scandal","Plagiarism","EU Integration","Support EU Integration","Gender","Male","Party Affiliation","Labour Party","Misreporting Funds","Neutral","Female","Conservative Party","Scandal","No Scandal","EU Integration","Oppose EU Integration","Gender","Female","Party Affiliation","Labour Party","Plagiarism","Oppose EU Integration","Male","Labour Party"
"211","5.151.215.96",100,19,TRUE,"2018/6/19 04:17","R_1BQrNHqdZmwUwQk",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",6.53,7.399,8.07,3,"Candidate 1",6.511,6.997,8.754,3,"Candidate 1","Gender","Male","EU Integration","Support EU Integration","Scandal","No Scandal","Party Affiliation","Conservative Party","Male","Oppose EU Integration","Plagiarism","Labour Party","Gender","Female","EU Integration","Neutral","Scandal","Having an Extramarital Affair","Party Affiliation","Labour Party","Male","Oppose EU Integration","Sexual Harassment","Conservative Party"
"212","86.12.161.20",100,36,TRUE,"2018/6/19 04:17","R_rlNlACbb4dikpLX",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",5.035,5.035,7.355,1,"Candidate 1",26.179,26.179,27.473,1,"Candidate 2","Party Affiliation","Conservative Party","EU Integration","Support EU Integration","Gender","Male","Scandal","No Scandal","Labour Party","Neutral","Female","Having an Extramarital Affair","Party Affiliation","Labour Party","EU Integration","Oppose EU Integration","Gender","Female","Scandal","Plagiarism","Labour Party","Neutral","Male","Sexual Harassment"
"213","86.1.190.190",100,56,TRUE,"2018/6/19 04:22","R_1pn9J0QQRp5p3LR",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",4.688,23.918,29.013,2,"Candidate 1",3.179,25.9,27.592,2,"Candidate 1","EU Integration","Oppose EU Integration","Scandal","Having an Extramarital Affair","Party Affiliation","Liberal Democrats","Gender","Male","Support EU Integration","No Scandal","Labour Party","Female","EU Integration","Support EU Integration","Scandal","No Scandal","Party Affiliation","Labour Party","Gender","Male","Support EU Integration","Misreporting Funds","Liberal Democrats","Male"
"214","155.245.59.228",100,21,TRUE,"2018/6/19 04:23","R_PRLqCiKkAIo1VPH",NA,NA,NA,NA,51.94999695,1.066696167,"anonymous","EN",7.832,7.832,9.015,1,"Candidate 1",9.875,9.875,11.174,1,"Candidate 1","Scandal","Having an Extramarital Affair","Gender","Female","Party Affiliation","Conservative Party","EU Integration","Neutral","Misreporting Funds","Female","Liberal Democrats","Support EU Integration","Scandal","Misreporting Funds","Gender","Male","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Misreporting Funds","Female","Conservative Party","Oppose EU Integration"
"215","86.1.186.170",100,20,TRUE,"2018/6/19 04:31","R_1mQ5iZaQTR9iOkE",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",1.368,8.722,10.308,6,"Candidate 1",0.947,7.866,9.349,4,"Candidate 1","EU Integration","Oppose EU Integration","Scandal","No Scandal","Party Affiliation","Liberal Democrats","Gender","Male","Oppose EU Integration","Having an Extramarital Affair","Conservative Party","Female","EU Integration","Neutral","Scandal","Plagiarism","Party Affiliation","Liberal Democrats","Gender","Male","Support EU Integration","Having an Extramarital Affair","Liberal Democrats","Male"
"216","81.154.34.58",100,31,TRUE,"2018/6/19 04:34","R_3r2kgrUedprAPep",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",10.439,10.448,11.323,2,"Candidate 2",16.195,17.257,19.279,3,"Candidate 2","Party Affiliation","Labour Party","Scandal","Sexual Harassment","EU Integration","Oppose EU Integration","Gender","Female","Conservative Party","Plagiarism","Neutral","Female","Party Affiliation","Labour Party","Scandal","Plagiarism","EU Integration","Neutral","Gender","Male","Conservative Party","Having an Extramarital Affair","Neutral","Male"
"217","82.71.32.36",100,19,TRUE,"2018/6/19 04:39","R_3Lhwo0Rx5n30alm",NA,NA,NA,NA,50.8500061,0.566696167,"anonymous","EN",5.863,5.863,6.862,1,"Candidate 1",6.913,6.913,8.438,1,"Candidate 1","Scandal","No Scandal","Gender","Male","Party Affiliation","Labour Party","EU Integration","Support EU Integration","No Scandal","Female","Conservative Party","Oppose EU Integration","Scandal","Having an Extramarital Affair","Gender","Female","Party Affiliation","Labour Party","EU Integration","Neutral","Misreporting Funds","Female","Liberal Democrats","Oppose EU Integration"
"218","94.193.118.68",100,23,TRUE,"2018/6/19 04:39","R_1Fht7o2M096BoEQ",NA,NA,NA,NA,52.08329773,1.166702271,"anonymous","EN",8.728,9.993,10.508,4,"Candidate 1",6.259,6.286,8.361,2,"Candidate 2","Gender","Male","Party Affiliation","Labour Party","Scandal","Misreporting Funds","EU Integration","Support EU Integration","Male","Labour Party","Misreporting Funds","Oppose EU Integration","Gender","Female","Party Affiliation","Labour Party","Scandal","No Scandal","EU Integration","Support EU Integration","Male","Liberal Democrats","No Scandal","Neutral"
"219","86.14.187.92",100,18,TRUE,"2018/6/19 04:49","R_3k69MQk1AeQoN0T",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",6.17,6.175,10.139,2,"Candidate 2",6.292,6.295,6.87,2,"Candidate 2","Scandal","Plagiarism","Gender","Female","EU Integration","Support EU Integration","Party Affiliation","Labour Party","Misreporting Funds","Female","Oppose EU Integration","Liberal Democrats","Scandal","Misreporting Funds","Gender","Female","EU Integration","Neutral","Party Affiliation","Liberal Democrats","Plagiarism","Female","Support EU Integration","Labour Party"
"220","86.30.73.93",100,28,TRUE,"2018/6/19 04:51","R_1gnlcS4mFYs6SZb",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",2.899,10.657,12.119,2,"Candidate 2",11.001,11.001,13.057,1,"Candidate 2","Gender","Female","EU Integration","Neutral","Party Affiliation","Labour Party","Scandal","Misreporting Funds","Female","Support EU Integration","Liberal Democrats","Plagiarism","Gender","Female","EU Integration","Neutral","Party Affiliation","Conservative Party","Scandal","Misreporting Funds","Male","Neutral","Liberal Democrats","No Scandal"
"221","151.224.218.189",100,27,TRUE,"2018/6/19 04:52","R_Xj4EMqqw4nsj601",NA,NA,NA,NA,52.08329773,1.166702271,"anonymous","EN",9.428,9.428,10.923,1,"Candidate 1",14.808,14.808,15.601,1,"Candidate 2","Party Affiliation","Labour Party","Scandal","Misreporting Funds","EU Integration","Support EU Integration","Gender","Male","Conservative Party","Sexual Harassment","Neutral","Female","Party Affiliation","Conservative Party","Scandal","Having an Extramarital Affair","EU Integration","Support EU Integration","Gender","Female","Labour Party","Misreporting Funds","Support EU Integration","Male"
"222","85.255.237.90",100,14,TRUE,"2018/6/19 04:53","R_2sXZNNhDr1cd6tg",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",4.753,5.274,5.319,3,"Candidate 1",2.444,7.232,7.729,3,"Candidate 2","Scandal","No Scandal","EU Integration","Neutral","Gender","Female","Party Affiliation","Conservative Party","Sexual Harassment","Neutral","Male","Labour Party","Scandal","Sexual Harassment","EU Integration","Support EU Integration","Gender","Male","Party Affiliation","Conservative Party","Plagiarism","Support EU Integration","Female","Liberal Democrats"
"223","86.1.184.96",100,20,TRUE,"2018/6/19 05:08","R_3fOxg8lVhASxRgN",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",5.467,7.874,8.98,3,"Candidate 1",3.329,5.452,7.363,3,"Candidate 1","Gender","Male","Scandal","No Scandal","EU Integration","Support EU Integration","Party Affiliation","Conservative Party","Female","Sexual Harassment","Oppose EU Integration","Labour Party","Gender","Female","Scandal","No Scandal","EU Integration","Support EU Integration","Party Affiliation","Liberal Democrats","Male","Plagiarism","Oppose EU Integration","Conservative Party"
"224","94.197.120.183",100,23,TRUE,"2018/6/19 05:08","R_2CPLPWaTmkp0AEc",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",5.279,10.379,11.321,4,"Candidate 1",7.2,7.685,9.189,3,"Candidate 2","EU Integration","Oppose EU Integration","Scandal","Plagiarism","Gender","Male","Party Affiliation","Conservative Party","Oppose EU Integration","Sexual Harassment","Male","Liberal Democrats","EU Integration","Neutral","Scandal","Misreporting Funds","Gender","Male","Party Affiliation","Labour Party","Neutral","Misreporting Funds","Male","Liberal Democrats"
"225","176.251.88.148",100,41,TRUE,"2018/6/19 05:10","R_3J8Hr8x8WpWwFRj",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",28.954,28.962,29.961,2,"Candidate 2",9.625,9.63,10.324,2,"Candidate 2","Gender","Female","Scandal","Plagiarism","Party Affiliation","Labour Party","EU Integration","Support EU Integration","Female","No Scandal","Liberal Democrats","Oppose EU Integration","Gender","Female","Scandal","Sexual Harassment","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Male","Sexual Harassment","Liberal Democrats","Oppose EU Integration"
"227","95.149.130.5",100,14,TRUE,"2018/6/19 05:13","R_zZN8yrnsG4it6W5",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",6.749,6.766,7.456,2,"Candidate 2",5.412,5.425,6.107,2,"Candidate 1","Gender","Female","Scandal","Plagiarism","EU Integration","Support EU Integration","Party Affiliation","Liberal Democrats","Female","Plagiarism","Oppose EU Integration","Labour Party","Gender","Male","Scandal","No Scandal","EU Integration","Oppose EU Integration","Party Affiliation","Conservative Party","Male","No Scandal","Neutral","Liberal Democrats"
"228","213.205.251.30",100,20,TRUE,"2018/6/19 05:13","R_1C3WW29EieFAIxz",NA,NA,NA,NA,51.55000305,0.166702271,"anonymous","EN",2.157,7.583,10.262,4,"Candidate 2",1.346,8.064,8.648,4,"Candidate 1","Party Affiliation","Conservative Party","EU Integration","Support EU Integration","Scandal","Misreporting Funds","Gender","Female","Labour Party","Neutral","No Scandal","Male","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Scandal","No Scandal","Gender","Male","Liberal Democrats","Support EU Integration","No Scandal","Female"
"229","5.66.54.47",100,10,TRUE,"2018/6/19 05:14","R_2QVPfdLS6hNkgN3",NA,NA,NA,NA,52.08329773,1.166702271,"anonymous","EN",1.387,4.923,4.958,4,"Candidate 1",0.666,3.145,3.88,3,"Candidate 2","Party Affiliation","Labour Party","EU Integration","Support EU Integration","Gender","Male","Scandal","No Scandal","Conservative Party","Support EU Integration","Female","Having an Extramarital Affair","Party Affiliation","Conservative Party","EU Integration","Support EU Integration","Gender","Female","Scandal","Sexual Harassment","Liberal Democrats","Support EU Integration","Male","No Scandal"
"230","155.245.43.5",100,65,TRUE,"2018/6/19 05:19","R_2c5uhMFGe4YOPr7",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",44.484,44.484,45.228,1,"Candidate 1",17.182,17.182,17.749,1,"Candidate 1","EU Integration","Neutral","Party Affiliation","Liberal Democrats","Gender","Male","Scandal","Sexual Harassment","Oppose EU Integration","Liberal Democrats","Female","Plagiarism","EU Integration","Neutral","Party Affiliation","Liberal Democrats","Gender","Female","Scandal","Having an Extramarital Affair","Oppose EU Integration","Liberal Democrats","Female","Sexual Harassment"
"231","82.153.105.239",100,32,TRUE,"2018/6/19 05:19","R_1KkJA4KcYjAj7wf",NA,NA,NA,NA,51.49639893,-0.122406006,"anonymous","EN",22.248,24.087,25.412,2,"Candidate 1",4.747,6.625,7.541,2,"Candidate 1","EU Integration","Neutral","Gender","Female","Scandal","Misreporting Funds","Party Affiliation","Liberal Democrats","Neutral","Female","Misreporting Funds","Liberal Democrats","EU Integration","Support EU Integration","Gender","Female","Scandal","No Scandal","Party Affiliation","Labour Party","Neutral","Male","No Scandal","Liberal Democrats"
"232","86.1.185.63",100,28,TRUE,"2018/6/19 05:25","R_2zYfnpJ1b015DTR",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",13.357,14.465,14.529,3,"Candidate 2",10.583,10.587,11.302,2,"Candidate 1","EU Integration","Neutral","Gender","Male","Party Affiliation","Liberal Democrats","Scandal","Sexual Harassment","Support EU Integration","Female","Liberal Democrats","Misreporting Funds","EU Integration","Oppose EU Integration","Gender","Female","Party Affiliation","Labour Party","Scandal","Plagiarism","Support EU Integration","Female","Liberal Democrats","Misreporting Funds"
"234","82.26.186.122",100,19,TRUE,"2018/6/19 05:27","R_d5qfQNsDUsEmyBj",NA,NA,NA,NA,51.35209656,0.533706665,"anonymous","EN",8.874,8.874,10.251,1,"Candidate 2",3.452,3.452,5.705,1,"Candidate 1","EU Integration","Neutral","Gender","Female","Scandal","Misreporting Funds","Party Affiliation","Liberal Democrats","Neutral","Female","Having an Extramarital Affair","Conservative Party","EU Integration","Support EU Integration","Gender","Female","Scandal","Plagiarism","Party Affiliation","Conservative Party","Support EU Integration","Female","Misreporting Funds","Liberal Democrats"
"235","155.245.52.75",100,27,TRUE,"2018/6/19 05:28","R_2dZ8W6NJBVLVvhz",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",11.983,11.983,13.153,1,"Candidate 2",7.922,10.948,12.429,2,"Candidate 1","Gender","Female","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Scandal","No Scandal","Male","Conservative Party","Neutral","Having an Extramarital Affair","Gender","Female","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Scandal","No Scandal","Male","Liberal Democrats","Neutral","Plagiarism"
"237","213.205.251.21",100,25,TRUE,"2018/6/19 05:38","R_3ir2roHUZrgJAVr",NA,NA,NA,NA,51.55000305,0.166702271,"anonymous","EN",5.186,6.222,7.499,3,"Candidate 1",2.582,4.707,6.318,5,"Candidate 1","EU Integration","Oppose EU Integration","Party Affiliation","Liberal Democrats","Scandal","Sexual Harassment","Gender","Male","Support EU Integration","Liberal Democrats","Sexual Harassment","Female","EU Integration","Oppose EU Integration","Party Affiliation","Conservative Party","Scandal","Misreporting Funds","Gender","Female","Support EU Integration","Liberal Democrats","Misreporting Funds","Male"
"238","90.221.94.253",100,54,TRUE,"2018/6/19 05:39","R_w6JThLQbjZMeXhD",NA,NA,NA,NA,52.08329773,1.166702271,"anonymous","EN",1.348,8.545,9.994,3,"Candidate 2",35.438,40.912,43.139,5,"Candidate 2","Scandal","Misreporting Funds","Gender","Female","Party Affiliation","Conservative Party","EU Integration","Neutral","No Scandal","Female","Liberal Democrats","Neutral","Scandal","Plagiarism","Gender","Female","Party Affiliation","Labour Party","EU Integration","Oppose EU Integration","No Scandal","Female","Conservative Party","Support EU Integration"
"239","62.172.163.242",100,16,TRUE,"2018/6/19 05:40","R_2Y9PImXIjcKfHqM",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",8.203,8.203,9.543,1,"Candidate 1",5.096,5.096,6.012,1,"Candidate 1","EU Integration","Neutral","Gender","Male","Scandal","Sexual Harassment","Party Affiliation","Labour Party","Oppose EU Integration","Female","Misreporting Funds","Labour Party","EU Integration","Neutral","Gender","Male","Scandal","Plagiarism","Party Affiliation","Labour Party","Oppose EU Integration","Male","Having an Extramarital Affair","Conservative Party"
"240","88.96.54.126",100,11,TRUE,"2018/6/19 05:42","R_3MlCI8pm10vT83z",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",5.123,6.166,6.601,2,"Candidate 1",2.082,2.082,3.338,1,"Candidate 2","Party Affiliation","Labour Party","Scandal","Having an Extramarital Affair","EU Integration","Support EU Integration","Gender","Female","Conservative Party","Misreporting Funds","Oppose EU Integration","Male","Party Affiliation","Labour Party","Scandal","Sexual Harassment","EU Integration","Oppose EU Integration","Gender","Female","Liberal Democrats","Misreporting Funds","Support EU Integration","Female"
"241","155.245.59.27",100,20,TRUE,"2018/6/19 05:44","R_3JaO1kdpATqNfOq",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",11.125,11.125,12.392,1,"Candidate 2",6.929,6.929,8.17,1,"Candidate 2","Party Affiliation","Liberal Democrats","Scandal","No Scandal","EU Integration","Support EU Integration","Gender","Male","Liberal Democrats","No Scandal","Support EU Integration","Female","Party Affiliation","Labour Party","Scandal","Misreporting Funds","EU Integration","Oppose EU Integration","Gender","Male","Conservative Party","Plagiarism","Oppose EU Integration","Female"
"242","155.245.98.61",100,51,TRUE,"2018/6/19 05:46","R_3KvZkt5HBlXv88W",NA,NA,NA,NA,51.88279724,1.004592896,"anonymous","EN",19.633,33.06,34.343,3,"Candidate 2",15.559,16.971,17.335,2,"Candidate 1","Gender","Female","EU Integration","Oppose EU Integration","Scandal","Misreporting Funds","Party Affiliation","Liberal Democrats","Female","Neutral","Plagiarism","Labour Party","Gender","Female","EU Integration","Support EU Integration","Scandal","Having an Extramarital Affair","Party Affiliation","Labour Party","Female","Oppose EU Integration","Misreporting Funds","Liberal Democrats"
"243","86.137.181.112",100,17,TRUE,"2018/6/19 05:46","R_1CeTiaHgH9655CQ",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",7.006,8.417,8.955,3,"Candidate 1",5.875,5.902,7.629,2,"Candidate 1","EU Integration","Neutral","Party Affiliation","Liberal Democrats","Gender","Female","Scandal","Having an Extramarital Affair","Oppose EU Integration","Liberal Democrats","Female","Sexual Harassment","EU Integration","Support EU Integration","Party Affiliation","Labour Party","Gender","Male","Scandal","No Scandal","Support EU Integration","Labour Party","Male","Misreporting Funds"
"244","86.1.188.221",100,24,TRUE,"2018/6/19 05:47","R_3IRinPVN4ROidYv",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",6.236,7.106,7.624,3,"Candidate 1",9.124,11.533,11.941,4,"Candidate 2","Scandal","Having an Extramarital Affair","EU Integration","Neutral","Party Affiliation","Labour Party","Gender","Male","Sexual Harassment","Neutral","Liberal Democrats","Male","Scandal","Sexual Harassment","EU Integration","Support EU Integration","Party Affiliation","Conservative Party","Gender","Male","Having an Extramarital Affair","Neutral","Conservative Party","Female"
"245","155.245.97.161",100,17,TRUE,"2018/6/19 05:47","R_bI7ZDQbonhCkhjz",NA,NA,NA,NA,51.93649292,1.278305054,"anonymous","EN",6.415,6.415,7.693,1,"Candidate 2",8.434,8.434,9.272,1,"Candidate 1","Party Affiliation","Conservative Party","Scandal","No Scandal","EU Integration","Neutral","Gender","Female","Labour Party","Having an Extramarital Affair","Support EU Integration","Male","Party Affiliation","Conservative Party","Scandal","Having an Extramarital Affair","EU Integration","Oppose EU Integration","Gender","Male","Labour Party","Sexual Harassment","Support EU Integration","Female"
"246","155.245.62.220",100,29,TRUE,"2018/6/19 05:48","R_wMn4PxNAmlwZtF7",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",6.257,6.257,7.367,1,"Candidate 1",9.016,20.956,21.976,2,"Candidate 2","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Gender","Female","Scandal","Plagiarism","Liberal Democrats","Oppose EU Integration","Male","Having an Extramarital Affair","Party Affiliation","Liberal Democrats","EU Integration","Oppose EU Integration","Gender","Male","Scandal","Sexual Harassment","Liberal Democrats","Oppose EU Integration","Male","Misreporting Funds"
"247","82.132.233.8",100,27,TRUE,"2018/6/19 05:48","R_2CQHKgrNcHbn4oO",NA,NA,NA,NA,51.49639893,-0.122406006,"anonymous","EN",9.186,11.035,12.213,3,"Candidate 2",8.142,10.116,12.218,3,"Candidate 1","Gender","Female","Party Affiliation","Labour Party","EU Integration","Neutral","Scandal","Plagiarism","Male","Conservative Party","Support EU Integration","No Scandal","Gender","Female","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Scandal","Plagiarism","Male","Labour Party","Oppose EU Integration","Having an Extramarital Affair"
