,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6
208,86.148.156.140,100,95,TRUE,2018/6/19 04:08,R_1l3mODjgn4M4V7O,NA,NA,NA,NA,51.88330078,0.366699219,anonymous,EN,0,0,39.736,0,34.157,34.157,35.236,1,Prime Minister 1,17.761,17.761,18.729,1,Prime Minister 1,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Neutral,Gender,Female,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Sexual Harassment,Conservative Party,Support EU Integration,Female,Conservative Party,Sexual Harassment,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Female,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Having an Extranarital Affair,Conservative Party,Support EU Integration,Female,Conservative Party,Having an Extramarital Affair
209,81.109.254.163,100,49,TRUE,2018/6/19 04:10,R_2907iiORC44FcEt,NA,NA,NA,NA,51.3999939,0.050003052,anonymous,EN,6.253,9.972,12.743,4,4.174,16.614,20.255,3,Prime Minister 1,1.626,11.768,14.594,3,Prime Minister 2,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Male,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Sexual Harassment,Scandal,Having an Extranarital Affair,Neutral,Conservative Party,Female,Conservative Party,Sexual Harassment,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Plagiarism,Scandal,Plagiarism,Neutral,Conservative Party,Male,Conservative Party,Plagiarism,Plagiarism
210,31.221.65.146,100,103,TRUE,2018/6/19 04:10,R_8iRbShxLCmVxFAZ,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,16.542,17.539,18.734,2,8.478,59.624,62.251,5,Prime Minister 1,1.467,17.821,18.541,5,Prime Minister 1,EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Gender,Female,Oppose EU Integration,Plagiarism,Conservative Party,Misreporting Funds,Liberal Democrats,Male,EU Integration,Support EU Integration,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Minister's Scandal,No Scandal,Minister's Partisanship,Labour Party,Gender,Male,Support EU Integration,No Scandal,Conservative Party,Plagiarism,Liberal Democrats,Male
211,5.151.215.96,100,38,TRUE,2018/6/19 04:18,R_22EWw7mDiF7vEIM,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,2.197,9.379,9.419,4,1.191,12.408,15.134,4,Prime Minister 2,3.596,9.822,12.249,4,Prime Minister 1,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,No Scandal,EU Integration,Oppose EU Integration,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Female,Misreporting Funds,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Gender,Male,Scandal,Sexual Harassment,EU Integration,Neutral,Having an Extramarital Affair,Conservative Party,Conservative Party,Female,Sexual Harassment,Oppose EU Integration
212,86.12.161.20,100,55,TRUE,2018/6/19 04:18,R_bBkYuIrrOAB6xdn,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,0,0,12.966,0,13.78,13.78,16.356,1,Prime Minister 1,20.151,20.151,23.789,1,Prime Minister 1,EU Integration,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Plagiarism,Party Affiliation,Labour Party,Oppose EU Integration,Misreporting Funds,Conservative Party,Male,No Scandal,Conservative Party,EU Integration,Support EU Integration,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Gender,Male,Scandal,Plagiarism,Party Affiliation,Conservative Party,Neutral,Sexual Harassment,Liberal Democrats,Male,Plagiarism,Conservative Party
213,155.245.59.228,100,84,TRUE,2018/6/19 04:25,R_24zTxFxIip1ubNJ,NA,NA,NA,NA,51.94999695,1.066696167,anonymous,EN,0,0,39.267,0,26.077,26.077,27.826,1,Prime Minister 2,17.473,17.473,18.331,1,Prime Minister 2,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Oppose EU Integration,Plagiarism,Male,Plagiarism,Labour Party,Labour Party,EU Integration,Neutral,Scandal,Sexual Harassment,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Support EU Integration,No Scandal,Male,Having an Extramarital Affair,Labour Party,Labour Party
214,86.1.190.190,100,167,TRUE,2018/6/19 04:25,R_2cupNHBHlsEAati,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,8.851,11.681,16.375,3,4.428,126.25,127.687,3,Prime Minister 1,5.076,26.878,28.705,3,Prime Minister 1,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Scandal,Having an Extranarital Affair,EU Integration,Neutral,Minister's Partisanship,Labour Party,Gender,Male,Having an Extramarital Affair,Conservative Party,Plagiarism,Support EU Integration,Liberal Democrats,Male,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Gender,Female,Sexual Harassment,Labour Party,Sexual Harassment,Support EU Integration,Labour Party,Female
215,86.1.186.170,100,65,TRUE,2018/6/19 04:32,R_1E5yv8yL3OXUFqW,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0.918,11.458,17.466,13,0.652,17.86,20.451,6,Prime Minister 2,0.67,11.06,13.636,6,Prime Minister 1,Minister's Partisanship,Liberal Democrats,Scandal,Misreporting Funds,Minister's Scandal,Plagiarism,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Conservative Party,No Scandal,No Scandal,Female,Neutral,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Minister's Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Neutral,Party Affiliation,Conservative Party,Conservative Party,Having an Extranarital Affair,No Scandal,Male,Support EU Integration,Conservative Party
216,81.154.34.58,100,46,TRUE,2018/6/19 04:35,R_2tlYFpRoEAYkgcw,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,6.151,7.999,10.073,2,12.034,19.091,19.898,4,Prime Minister 1,11.876,11.885,14.919,2,Prime Minister 1,Gender,Female,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Plagiarism,Female,Oppose EU Integration,Conservative Party,Misreporting Funds,Liberal Democrats,Having an Extramarital Affair,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Sexual Harassment,Male,Oppose EU Integration,Labour Party,Misreporting Funds,Labour Party,No Scandal
217,82.71.32.36,100,50,TRUE,2018/6/19 04:40,R_QbtEtZUOkzyQrQZ,NA,NA,NA,NA,50.8500061,0.566696167,anonymous,EN,0,0,10.56,0,24.191,24.191,25.048,1,Prime Minister 1,11.104,11.104,11.748,1,Prime Minister 1,Minister's Partisanship,Conservative Party,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Gender,Female,EU Integration,Oppose EU Integration,Liberal Democrats,Misreporting Funds,Conservative Party,Having an Extranarital Affair,Female,Oppose EU Integration,Minister's Partisanship,Conservative Party,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Gender,Male,EU Integration,Neutral,Labour Party,Having an Extramarital Affair,Labour Party,Having an Extranarital Affair,Male,Support EU Integration
218,94.193.118.68,100,44,TRUE,2018/6/19 04:40,R_pbbtyq705yrYh5n,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,10.959,21.002,21.66,5,2.103,4.603,6.191,4,Prime Minister 2,3.165,13.841,15.242,5,Prime Minister 2,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Gender,Male,EU Integration,Neutral,Minister's Scandal,Plagiarism,No Scandal,Conservative Party,Liberal Democrats,Female,Neutral,Plagiarism,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Male,EU Integration,Oppose EU Integration,Minister's Scandal,Plagiarism,Misreporting Funds,Conservative Party,Conservative Party,Male,Neutral,Having an Extramarital Affair
219,86.14.187.92,100,46,TRUE,2018/6/19 04:50,R_1MMQbgvKAOljtVC,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,7.521,10.155,11.062,3,12.735,13.702,16.21,3,Prime Minister 1,1.374,3.579,4.5,3,Prime Minister 2,Minister's Scandal,No Scandal,Scandal,No Scandal,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Female,Sexual Harassment,Misreporting Funds,Support EU Integration,Conservative Party,Conservative Party,Female,Minister's Scandal,Plagiarism,Scandal,Having an Extranarital Affair,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Male,Plagiarism,Plagiarism,Oppose EU Integration,Liberal Democrats,Conservative Party,Female
220,86.30.73.93,100,84,TRUE,2018/6/19 04:52,R_PM38EzsbHvfrumt,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,12.562,12.562,16.675,1,24.232,25.946,27.409,2,Prime Minister 2,2.914,35.007,37.099,2,Prime Minister 1,EU Integration,Support EU Integration,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,Gender,Female,Party Affiliation,Conservative Party,Oppose EU Integration,No Scandal,Conservative Party,Sexual Harassment,Male,Conservative Party,EU Integration,Oppose EU Integration,Minister's Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Conservative Party,Oppose EU Integration,Misreporting Funds,Liberal Democrats,Having an Extranarital Affair,Male,Conservative Party
221,151.224.218.189,100,92,TRUE,2018/6/19 04:54,R_uqTqjUZXgCroXIt,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,0,0,45.211,0,20.277,20.277,24.069,1,Prime Minister 1,18.299,18.299,20.142,1,Prime Minister 1,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Female,Misreporting Funds,Conservative Party,Sexual Harassment,Neutral,Conservative Party,Male,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Scandal,No Scandal,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Female,Sexual Harassment,Conservative Party,Plagiarism,Oppose EU Integration,Conservative Party,Male
222,85.255.237.90,100,44,TRUE,2018/6/19 04:54,R_2S1gUQZJ9rA7iCK,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,6.938,14.668,16.227,5,0.958,18.81,19.415,10,Prime Minister 1,0.421,4.666,5.446,3,Prime Minister 1,Gender,Male,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,EU Integration,Neutral,Male,Conservative Party,Sexual Harassment,Conservative Party,Plagiarism,Neutral,Gender,Male,Party Affiliation,Labour Party,Minister's Scandal,No Scandal,Minister's Partisanship,Labour Party,Scandal,No Scandal,EU Integration,Oppose EU Integration,Male,Conservative Party,Plagiarism,Liberal Democrats,Sexual Harassment,Neutral
223,94.197.120.183,100,30,TRUE,2018/6/19 05:09,R_3MGuCSK5Spit0CV,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,2.943,7.391,7.838,4,2.216,6.496,7.449,4,Prime Minister 2,1.157,7.937,11.482,3,Prime Minister 2,Gender,Female,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Having an Extramarital Affair,Female,Conservative Party,Support EU Integration,Conservative Party,No Scandal,Sexual Harassment,Gender,Female,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Sexual Harassment,Female,Liberal Democrats,Neutral,Conservative Party,Sexual Harassment,Sexual Harassment
224,86.1.184.96,100,61,TRUE,2018/6/19 05:09,R_1LYlJqbT36yDUEq,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,13.098,24.693,24.75,8,0.598,18.003,18.059,5,Prime Minister 1,1.023,5.818,6.215,5,Prime Minister 2,Gender,Male,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Male,Conservative Party,Support EU Integration,No Scandal,Conservative Party,Misreporting Funds,Gender,Male,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Male,Liberal Democrats,Support EU Integration,Plagiarism,Conservative Party,Having an Extranarital Affair
225,176.251.88.148,100,48,TRUE,2018/6/19 05:11,R_2wnlaqrsg5ztqP2,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.773,17.446,18.568,7,1.064,9.22,10.332,4,Prime Minister 2,0.775,10.111,10.654,8,Prime Minister 1,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Male,Having an Extramarital Affair,Conservative Party,No Scandal,Conservative Party,Support EU Integration,Gender,Male,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Male,Misreporting Funds,Labour Party,Misreporting Funds,Labour Party,Oppose EU Integration
226,95.149.130.5,100,45,TRUE,2018/6/19 05:14,R_1Iub3MjWDthorM1,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,7.019,17.163,18.014,5,8.384,10.732,12.94,3,Prime Minister 1,1.68,7.737,11.616,4,Prime Minister 2,Gender,Female,EU Integration,Neutral,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Scandal,No Scandal,Minister's Partisanship,Labour Party,Female,Neutral,Sexual Harassment,Conservative Party,No Scandal,Conservative Party,Gender,Male,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Female,Neutral,Having an Extranarital Affair,Labour Party,Misreporting Funds,Labour Party
227,5.66.54.47,100,46,TRUE,2018/6/19 05:14,R_3fH1TAK1kGcuKgU,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,3.628,9.137,15.351,2,0.491,8.018,9.371,3,Prime Minister 1,1.87,16.436,19.255,5,Prime Minister 1,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,EU Integration,Neutral,Minister's Partisanship,Labour Party,Gender,Male,Scandal,Having an Extranarital Affair,Plagiarism,Conservative Party,Neutral,Conservative Party,Male,Having an Extranarital Affair,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Sexual Harassment,Sexual Harassment,Conservative Party,Neutral,Liberal Democrats,Female,No Scandal
229,213.205.251.30,100,166,TRUE,2018/6/19 05:16,R_emoyZ18eXgjH0MF,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,4.906,27.895,29.031,5,17.783,118.424,121.367,7,Prime Minister 2,1.079,14.179,14.838,6,Prime Minister 1,Gender,Male,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Male,Sexual Harassment,No Scandal,Conservative Party,Support EU Integration,Liberal Democrats,Gender,Male,Scandal,Having an Extranarital Affair,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Male,Misreporting Funds,No Scandal,Conservative Party,Neutral,Liberal Democrats
230,155.245.43.5,100,51,TRUE,2018/6/19 05:20,R_3Pc33eDbUcjxDIh,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,8.762,0,15.068,15.068,21.327,1,Prime Minister 2,15.778,15.778,21.339,1,Prime Minister 1,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Plagiarism,Male,Conservative Party,Neutral,Misreporting Funds,Liberal Democrats,Plagiarism,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Male,Conservative Party,Oppose EU Integration,No Scandal,Liberal Democrats,Plagiarism
231,82.153.105.239,100,52,TRUE,2018/6/19 05:20,R_9XqV3hmxo6lRAPf,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,13.89,13.89,15.433,1,13.762,16.722,19.121,2,Prime Minister 1,13.993,15.759,16.648,2,Prime Minister 2,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Plagiarism,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Gender,Male,Support EU Integration,Labour Party,Sexual Harassment,Sexual Harassment,Labour Party,Male,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,No Scandal,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Gender,Female,Support EU Integration,Conservative Party,Misreporting Funds,Plagiarism,Conservative Party,Male
