,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.7,F.1.1.7,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.1.2.7,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.7,F.2.1.7,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6,F.2.2.7
208,86.148.156.140,100,74,TRUE,2018/6/19 04:10,R_2pLvZBH7sffLARo,NA,NA,NA,NA,51.88330078,0.366699219,anonymous,EN,0,0,33.45,0,22.28,22.28,23.367,1,Minister 1,15.177,15.177,16.226,1,Minister 2,EU Integration,Support EU Integration,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Gender,Male,PM's Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Neutral,Misreporting Funds,Conservative Party,Male,No Scandal,Support EU Integration,Conservative Party,EU Integration,Neutral,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Gender,Female,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,Oppose EU Integration,No Scandal,Labour Party,Male,Having an Extramarital Affair,Oppose EU Integration,Labour Party
209,31.221.65.146,100,54,TRUE,2018/6/19 04:13,R_2zGXd7VQT8jL6VD,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,5.961,14.741,16.01,4,1.516,20.92,21.618,4,Minister 1,1.6,9.248,10.859,4,Minister 1,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,Conservative Party,No Scandal,Male,Support EU Integration,Support EU Integration,Liberal Democrats,Misreporting Funds,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Gender,Female,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,Labour Party,Misreporting Funds,Male,Neutral,Support EU Integration,Labour Party,Having an Extramarital Affair
210,81.109.254.163,100,121,TRUE,2018/6/19 04:13,R_2EzWbNfsN125qFU,NA,NA,NA,NA,51.3999939,0.050003052,anonymous,EN,3.246,6.925,6.95,5,69.128,82.509,83.247,7,Minister 1,0.588,27.442,30.145,3,Minister 2,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Female,Party Affiliation,Labour Party,Neutral,Support EU Integration,Sexual Harassment,Misreporting Funds,Conservative Party,Female,Liberal Democrats,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Scandal,No Scandal,PM's Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Gender,Male,Party Affiliation,Labour Party,Oppose EU Integration,Support EU Integration,No Scandal,Misreporting Funds,Conservative Party,Male,Conservative Party
211,86.12.161.20,100,87,TRUE,2018/6/19 04:21,R_2CO0HHiIDbvTBCS,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,7.471,13.489,30.22,2,23.59,30.437,31.769,4,Minister 1,22.627,22.627,23.918,1,Minister 2,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Gender,Male,PM's Scandal,Misreporting Funds,Labour Party,Oppose EU Integration,Labour Party,No Scandal,Oppose EU Integration,Male,Misreporting Funds,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,PM's Scandal,No Scandal,Labour Party,Oppose EU Integration,Labour Party,Having an Extramarital Affair,Oppose EU Integration,Female,Having an Extramarital Affair
212,5.151.215.96,100,31,TRUE,2018/6/19 04:22,R_3L7mpCfRbNExjmZ,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,3.392,10.092,14.402,3,5.101,7.487,8.776,5,Minister 2,3.244,5.314,5.984,4,Minister 2,Gender,Male,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Female,Misreporting Funds,Conservative Party,Support EU Integration,Misreporting Funds,Conservative Party,Neutral,Gender,Female,Scandal,Misreporting Funds,PM's Partisanship,Labour Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Female,Plagiarism,Conservative Party,Oppose EU Integration,No Scandal,Conservative Party,Support EU Integration
213,86.1.190.190,100,54,TRUE,2018/6/19 04:28,R_8IDvVW1IU2cnPAl,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,5.834,5.834,7.901,1,5.735,17.903,20.593,2,Minister 2,5.922,22.643,24.247,3,Minister 1,PM's Partisanship,Labour Party,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Conservative Party,Oppose EU Integration,Misreporting Funds,Liberal Democrats,Male,Oppose EU Integration,Sexual Harassment,PM's Partisanship,Conservative Party,EU Integration,Neutral,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Gender,Female,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,Conservative Party,Oppose EU Integration,Plagiarism,Liberal Democrats,Male,Support EU Integration,Sexual Harassment
214,86.1.186.170,100,31,TRUE,2018/6/19 04:34,R_2V8yqeDqFuw0PYk,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.546,6.35,9.116,8,0.474,4.876,5.935,6,Minister 1,0.862,6.478,7.602,6,Minister 1,EU Integration,Neutral,Scandal,No Scandal,Gender,Female,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,Support EU Integration,Sexual Harassment,Male,Conservative Party,Oppose EU Integration,Liberal Democrats,Misreporting Funds,EU Integration,Neutral,Scandal,No Scandal,Gender,Female,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,PM's Scandal,No Scandal,Oppose EU Integration,No Scandal,Male,Conservative Party,Support EU Integration,Conservative Party,Sexual Harassment
215,155.245.59.228,100,64,TRUE,2018/6/19 04:35,R_2zCHna6P74YKsx7,NA,NA,NA,NA,51.94999695,1.066696167,anonymous,EN,0,0,39.315,0,11.316,11.316,12.216,1,Minister 1,13.032,13.032,13.844,1,Minister 1,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Male,EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Sexual Harassment,Labour Party,Oppose EU Integration,Labour Party,Female,Oppose EU Integration,Having an Extramarital Affair,Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,Gender,Male,EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Misreporting Funds,Conservative Party,Support EU Integration,Liberal Democrats,Male,Oppose EU Integration,Sexual Harassment
216,81.154.34.58,100,26,TRUE,2018/6/19 04:36,R_1g1vb4n5mcuormS,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,3.663,3.663,6.002,1,1.647,5.215,7.132,4,Minister 2,1.537,8.855,10.888,5,Minister 1,Gender,Male,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,PM's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Female,Liberal Democrats,Having an Extramarital Affair,Oppose EU Integration,Plagiarism,Support EU Integration,Conservative Party,Gender,Female,Party Affiliation,Labour Party,Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,EU Integration,Neutral,PM's Partisanship,Labour Party,Female,Conservative Party,Having an Extramarital Affair,Support EU Integration,Plagiarism,Support EU Integration,Conservative Party
217,82.71.32.36,100,35,TRUE,2018/6/19 04:41,R_2EujVWtQ8KAPH56,NA,NA,NA,NA,50.8500061,0.566696167,anonymous,EN,0,0,16.362,0,4.843,5.498,5.839,2,Minister 2,10.003,10.003,10.667,1,Minister 1,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,PM's Position in EU Integration,Support EU Integration,No Scandal,Conservative Party,Neutral,Female,Plagiarism,Liberal Democrats,Support EU Integration,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,EU Integration,Neutral,Gender,Female,Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,Sexual Harassment,Conservative Party,Neutral,Male,Misreporting Funds,Conservative Party,Support EU Integration
218,94.193.118.68,100,43,TRUE,2018/6/19 04:42,R_27QdZDOfcz4XdBl,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,4.441,14.828,14.779,5,6.411,14.654,15.29,4,Minister 1,7.585,10.814,11.736,5,Minister 1,Gender,Male,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,EU Integration,Neutral,Scandal,Plagiarism,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Neutral,Female,Conservative Party,Sexual Harassment,Neutral,Sexual Harassment,Conservative Party,Support EU Integration,Gender,Female,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,EU Integration,Neutral,Scandal,Plagiarism,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,Female,Conservative Party,Misreporting Funds,Neutral,Plagiarism,Liberal Democrats,Neutral
219,86.14.187.92,100,37,TRUE,2018/6/19 04:51,R_1KkWElKtEtIsErf,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,1.019,2.573,4.234,3,1.742,7,7.577,4,Minister 2,2.759,4.302,9.029,3,Minister 1,Scandal,No Scandal,EU Integration,Neutral,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,No Scandal,Neutral,Male,Oppose EU Integration,Liberal Democrats,Conservative Party,Plagiarism,Scandal,No Scandal,EU Integration,Neutral,Gender,Female,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,No Scandal,Support EU Integration,Male,Support EU Integration,Conservative Party,Conservative Party,Having an Extramarital Affair
220,85.255.237.90,100,18,TRUE,2018/6/19 04:55,R_4Owbn3kJzYFtQFX,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,3.541,3.541,5.479,1,1.311,5.847,6.125,5,Minister 2,0.55,4.643,5.047,6,Minister 1,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Neutral,Female,Having an Extramarital Affair,Oppose EU Integration,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Female,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,Sexual Harassment,Conservative Party,Conservative Party,Support EU Integration,Female,Plagiarism,Oppose EU Integration
221,86.30.73.93,100,90,TRUE,2018/6/19 04:55,R_3s5ftJLBVl9szfI,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,16.282,16.282,33.636,1,14.779,16.244,17.997,2,Minister 2,22.374,32.749,35.701,2,Minister 2,Scandal,Having an Extramarital Affair,PM's Scandal,Having an Extramarital Affair,Gender,Female,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,EU Integration,Support EU Integration,PM's Partisanship,Labour Party,No Scandal,Having an Extramarital Affair,Female,Support EU Integration,Conservative Party,Support EU Integration,Conservative Party,Scandal,Having an Extramarital Affair,PM's Scandal,Sexual Harassment,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,No Scandal,No Scandal,Female,Support EU Integration,Labour Party,Neutral,Labour Party
222,151.224.218.189,100,97,TRUE,2018/6/19 04:57,R_3RfNahWKcqIwiK5,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,0,0,52.432,0,23.58,23.58,25.728,1,Minister 1,16.893,16.893,17.868,1,Minister 1,Scandal,No Scandal,Gender,Female,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Having an Extramarital Affair,Female,Neutral,Labour Party,Plagiarism,Labour Party,Oppose EU Integration,Scandal,No Scandal,Gender,Female,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Plagiarism,Female,Support EU Integration,Conservative Party,Misreporting Funds,Liberal Democrats,Neutral
223,94.197.120.183,100,22,TRUE,2018/6/19 05:10,R_2Pb99TVVdNeUfR6,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,1.568,2.912,5.075,2,3.005,6.931,7.834,4,Minister 2,0.83,6.737,7.136,4,Minister 2,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Gender,Male,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,EU Integration,Neutral,No Scandal,Conservative Party,Female,Support EU Integration,Liberal Democrats,Having an Extramarital Affair,Support EU Integration,Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Sexual Harassment,Conservative Party,Male,Support EU Integration,Conservative Party,No Scandal,Neutral
224,86.1.184.96,100,67,TRUE,2018/6/19 05:12,R_zc1jAOuq4dfHYXL,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,7.839,18.181,18.239,7,7.44,23.942,23.902,7,Minister 1,3.457,7.779,8.74,5,Minister 1,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,Gender,Female,PM's Scandal,Misreporting Funds,EU Integration,Neutral,Labour Party,Misreporting Funds,Oppose EU Integration,Labour Party,Female,Sexual Harassment,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Gender,Female,PM's Scandal,Plagiarism,EU Integration,Neutral,Labour Party,Plagiarism,Support EU Integration,Labour Party,Male,Misreporting Funds,Oppose EU Integration
225,176.251.88.148,100,57,TRUE,2018/6/19 05:12,R_3PXobiL9LTclWFu,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.5,12.026,12.955,9,2.916,17.685,18.267,5,Minister 2,0.951,8.041,8.473,6,Minister 2,PM's Position in EU Integration,Neutral,Scandal,Plagiarism,EU Integration,Neutral,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,Gender,Female,Party Affiliation,Labour Party,Oppose EU Integration,Sexual Harassment,Neutral,Conservative Party,Misreporting Funds,Male,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Gender,Male,Party Affiliation,Conservative Party,Neutral,No Scandal,Neutral,Labour Party,No Scandal,Male,Labour Party
226,5.66.54.47,100,44,TRUE,2018/6/19 05:16,R_1mnkVWP04Lfn7vs,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,2.686,7.916,14.228,2,0.496,21.213,21.887,4,Minister 1,0.331,6.091,6.125,4,Minister 1,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Gender,Male,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,Plagiarism,Oppose EU Integration,Sexual Harassment,Oppose EU Integration,Female,Labour Party,Labour Party,No Scandal,PM's Position in EU Integration,Neutral,Scandal,Plagiarism,EU Integration,Support EU Integration,Gender,Female,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,Oppose EU Integration,Plagiarism,Oppose EU Integration,Male,Conservative Party,Conservative Party,Plagiarism
