,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q2,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.7,F.1.1.7,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.1.2.7,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.7,F.2.1.7,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6,F.2.2.7
207,86.148.156.140,100,40,TRUE,2018/6/19 04:11,R_1odRukablrtQHwT,NA,NA,NA,NA,51.88330078,0.366699219,anonymous,EN,22.793,22.793,24.103,1,Minister 1,14.463,14.463,15.308,1,Minister 2,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Labour Party,Support EU Integration,Labour Party,Having an Extramarital Affair,Plagiarism,Support EU Integration,Female,Labour Party,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Liberal Democrats,Neutral,Conservative Party,No Scandal,Sexual Harassment,Support EU Integration,Female,Liberal Democrats
208,81.109.254.163,100,23,TRUE,2018/6/19 04:14,R_u1VWJnrLvvrmLWV,NA,NA,NA,NA,51.3999939,0.050003052,anonymous,EN,2.896,12.547,14.959,5,Minister 1,1.665,5.903,6.39,4,Minister 1,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Gender,Female,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Having an Extramarital Affair,Labour Party,Oppose EU Integration,Male,Sexual Harassment,Oppose EU Integration,Labour Party,PM's Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Sexual Harassment,Liberal Democrats,Oppose EU Integration,Female,Misreporting Funds,Oppose EU Integration,Conservative Party
209,31.221.65.146,100,61,TRUE,2018/6/19 04:14,R_28SXlDhbsrhIsQF,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,5.036,36.344,38.1,5,Minister 2,2.595,18.289,19.898,4,Minister 2,EU Integration,Neutral,Gender,Male,Scandal,Misreporting Funds,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Neutral,Neutral,Male,Plagiarism,Plagiarism,Conservative Party,Conservative Party,Support EU Integration,EU Integration,Support EU Integration,Gender,Female,Scandal,No Scandal,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Neutral,Oppose EU Integration,Male,No Scandal,Sexual Harassment,Labour Party,Labour Party,Support EU Integration
210,86.12.161.20,100,44,TRUE,2018/6/19 04:22,R_2SfrlVWAsdTB4W3,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,20.507,20.507,21.852,1,Minister 2,19.292,19.292,20.949,1,Minister 1,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Misreporting Funds,Neutral,Labour Party,Misreporting Funds,Male,Neutral,Labour Party,Misreporting Funds,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,Scandal,No Scandal,Gender,Male,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Oppose EU Integration,Conservative Party,Plagiarism,Female,Support EU Integration,Conservative Party,Having an Extramarital Affair
211,5.151.215.96,100,38,TRUE,2018/6/19 04:22,R_3iVITEIpIpQ747h,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,2.987,5.471,8.154,4,Minister 2,1.061,27.631,29.173,5,Minister 2,EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Neutral,Scandal,No Scandal,PM's Partisanship,Conservative Party,Gender,Male,Support EU Integration,Misreporting Funds,Labour Party,Oppose EU Integration,Misreporting Funds,Labour Party,Male,EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Female,Oppose EU Integration,Plagiarism,Labour Party,Support EU Integration,Having an Extramarital Affair,Labour Party,Female
212,86.1.190.190,100,79,TRUE,2018/6/19 04:29,R_28NxX469pwdAwCn,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,7.359,29.992,32.341,3,Minister 2,4.113,35.774,46.638,2,Minister 2,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Oppose EU Integration,Male,Liberal Democrats,Conservative Party,No Scandal,Support EU Integration,Sexual Harassment,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Scandal,Misreporting Funds,Neutral,Male,Labour Party,Labour Party,Plagiarism,Oppose EU Integration,Sexual Harassment
213,86.1.186.170,100,38,TRUE,2018/6/19 04:34,R_1o73FhS8yxLy9ko,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0.999,12.916,15.895,8,Minister 1,0.14,14.741,15.663,5,Minister 2,PM's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Scandal,Having an Extramarital Affair,Sexual Harassment,Support EU Integration,Labour Party,Labour Party,Support EU Integration,Female,No Scandal,PM's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Male,Scandal,Sexual Harassment,Plagiarism,Neutral,Conservative Party,Conservative Party,Neutral,Male,Sexual Harassment
214,155.245.59.228,100,26,TRUE,2018/6/19 04:36,R_2ZBwo7mGeYAx2AG,NA,NA,NA,NA,51.94999695,1.066696167,anonymous,EN,9.544,9.544,10.224,1,Minister 2,14.587,14.587,15.576,1,Minister 1,Scandal,No Scandal,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,PM's Position in EU Integration,Neutral,Having an Extramarital Affair,Conservative Party,No Scandal,Liberal Democrats,Oppose EU Integration,Male,Neutral,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Gender,Male,PM's Position in EU Integration,Neutral,Misreporting Funds,Labour Party,No Scandal,Labour Party,Oppose EU Integration,Male,Oppose EU Integration
215,81.154.34.58,100,29,TRUE,2018/6/19 04:37,R_3foWGLUB3dgGnIx,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,2.394,8.521,10.078,4,Minister 1,1.662,16.306,17.868,4,Minister 2,PM's Position in EU Integration,Neutral,EU Integration,Support EU Integration,Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Gender,Male,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Support EU Integration,Oppose EU Integration,Plagiarism,Labour Party,Female,Labour Party,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Female,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,Neutral,Support EU Integration,Sexual Harassment,Labour Party,Male,Labour Party,Sexual Harassment
216,82.71.32.36,100,27,TRUE,2018/6/19 04:42,R_2COfYDW0umEun5D,NA,NA,NA,NA,50.8500061,0.566696167,anonymous,EN,10.402,11.313,11.911,2,Minister 1,11.156,11.156,11.914,1,Minister 2,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,EU Integration,Neutral,Gender,Male,Scandal,No Scandal,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Liberal Democrats,Support EU Integration,Oppose EU Integration,Female,No Scandal,No Scandal,Conservative Party,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Misreporting Funds,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Conservative Party,Support EU Integration,Oppose EU Integration,Female,Misreporting Funds,Plagiarism,Conservative Party
217,94.193.118.68,100,20,TRUE,2018/6/19 04:42,R_1DHX2tg4nYYl0wr,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,3.51,8.301,8.324,6,Minister 1,6.188,9.89,10.559,3,Minister 2,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,PM's Scandal,Misreporting Funds,Support EU Integration,Female,Liberal Democrats,Conservative Party,Sexual Harassment,Support EU Integration,Plagiarism,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,Neutral,Female,Liberal Democrats,Conservative Party,No Scandal,Oppose EU Integration,Plagiarism
218,86.14.187.92,100,20,TRUE,2018/6/19 04:52,R_3rwLelTbcQnbTPj,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0.914,5.606,6.055,4,Minister 1,0.201,1.984,3.693,3,Minister 1,PM's Scandal,Sexual Harassment,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,Gender,Female,PM's Partisanship,Conservative Party,Sexual Harassment,Oppose EU Integration,Support EU Integration,Plagiarism,Conservative Party,Female,Conservative Party,PM's Scandal,No Scandal,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Gender,Male,PM's Partisanship,Conservative Party,Misreporting Funds,Oppose EU Integration,Neutral,Plagiarism,Conservative Party,Male,Conservative Party
219,85.255.237.90,100,16,TRUE,2018/6/19 04:55,R_XTIwx1fh0AoA4wN,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,0.943,9.02,10.309,7,Minister 2,0.466,4.178,4.508,6,Minister 1,Gender,Female,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Female,Support EU Integration,Oppose EU Integration,Labour Party,Misreporting Funds,Sexual Harassment,Labour Party,Gender,Female,PM's Position in EU Integration,Neutral,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Scandal,No Scandal,Party Affiliation,Conservative Party,Male,Neutral,Oppose EU Integration,Labour Party,No Scandal,Having an Extramarital Affair,Labour Party
220,86.30.73.93,100,44,TRUE,2018/6/19 04:56,R_vUhblhbLj0zFsEp,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,8.634,20.453,22.153,3,Minister 2,3.556,18.927,20.905,2,Minister 2,Party Affiliation,Liberal Democrats,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Scandal,No Scandal,Gender,Male,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Labour Party,Plagiarism,Oppose EU Integration,Plagiarism,Male,Labour Party,Support EU Integration,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Gender,Male,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Conservative Party,Plagiarism,Oppose EU Integration,Sexual Harassment,Male,Conservative Party,Oppose EU Integration
221,151.224.218.189,100,37,TRUE,2018/6/19 04:57,R_1QhhSa9Z1wx2BC5,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,11.325,11.325,12.224,1,Minister 2,14.317,15.386,24.588,2,Minister 1,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,Plagiarism,Conservative Party,Conservative Party,Support EU Integration,Male,No Scandal,Neutral,PM's Scandal,No Scandal,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,EU Integration,Neutral,Gender,Male,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,No Scandal,Labour Party,Labour Party,Neutral,Female,Sexual Harassment,Oppose EU Integration
222,94.197.120.183,100,19,TRUE,2018/6/19 05:10,R_3L1rL4XHebtwk33,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,1.55,11.207,12.594,5,Minister 1,1.561,3.961,4.571,3,Minister 1,Party Affiliation,Labour Party,Gender,Female,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Scandal,Having an Extramarital Affair,PM's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Labour Party,Female,Neutral,Labour Party,Sexual Harassment,Misreporting Funds,Neutral,Party Affiliation,Conservative Party,Gender,Female,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Scandal,Plagiarism,PM's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Labour Party,Female,Neutral,Labour Party,No Scandal,Plagiarism,Neutral
223,86.1.184.96,100,43,TRUE,2018/6/19 05:12,R_1drUnWcuDtEu046,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,2.329,8.523,11.171,6,Minister 1,1.181,23.993,24.049,8,Minister 1,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,EU Integration,Neutral,PM's Scandal,Plagiarism,Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Neutral,Male,Oppose EU Integration,Having an Extramarital Affair,Having an Extramarital Affair,Labour Party,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,EU Integration,Support EU Integration,PM's Scandal,No Scandal,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Support EU Integration,Male,Neutral,Having an Extramarital Affair,Misreporting Funds,Conservative Party,Conservative Party
224,176.251.88.148,100,21,TRUE,2018/6/19 05:13,R_0Jv6k22zZBhzRPr,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.494,10.092,10.539,7,Minister 1,0.694,9.145,9.841,6,Minister 1,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Scandal,Sexual Harassment,Gender,Female,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Conservative Party,Misreporting Funds,Misreporting Funds,Female,Neutral,Oppose EU Integration,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Scandal,Misreporting Funds,Gender,Female,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Conservative Party,Misreporting Funds,Having an Extramarital Affair,Male,Support EU Integration,Support EU Integration,Liberal Democrats
225,5.66.54.47,100,10,TRUE,2018/6/19 05:16,R_26i4bASxq4qLbXS,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,0.697,4.628,5.275,5,Minister 1,0.497,2.879,3.48,4,Minister 1,PM's Position in EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Male,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Neutral,Sexual Harassment,Labour Party,Neutral,Female,Misreporting Funds,Labour Party,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,EU Integration,Neutral,Gender,Male,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Support EU Integration,Sexual Harassment,Conservative Party,Neutral,Female,Plagiarism,Conservative Party
226,95.149.130.5,100,26,TRUE,2018/6/19 05:17,R_2YDrBJVgYhZ0mjB,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,1.838,15.3,16.142,5,Minister 1,6.384,8.588,9.237,5,Minister 1,Party Affiliation,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,EU Integration,Neutral,Conservative Party,No Scandal,Female,Support EU Integration,Conservative Party,Plagiarism,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Scandal,Plagiarism,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,No Scandal,EU Integration,Oppose EU Integration,Liberal Democrats,Misreporting Funds,Male,Oppose EU Integration,Conservative Party,No Scandal,Oppose EU Integration
