"","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1_First.Click","Q1_Last.Click","Q1_Page.Submit","Q1_Click.Count","Q2","Q3_First.Click","Q3_Last.Click","Q3_Page.Submit","Q3_Click.Count","Q4","F.1.1","F.1.1.1","F.1.2","F.1.1.2","F.1.3","F.1.1.3","F.1.4","F.1.1.4","F.1.2.1","F.1.2.2","F.1.2.3","F.1.2.4","F.2.1","F.2.1.1","F.2.2","F.2.1.2","F.2.3","F.2.1.3","F.2.4","F.2.1.4","F.2.2.1","F.2.2.2","F.2.2.3","F.2.2.4"
"221","86.14.187.92",100,19,TRUE,"2018/6/19 04:49","R_2wglDR3Qe9ytV4O",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",6.919,6.925,8.094,2,"Candidate 2",9.077,9.081,9.884,2,"Candidate 1","Scandal","Misreporting Funds","Party Affiliation","Labour Party","Gender","Female","EU Integration","Support EU Integration","No Scandal","Conservative Party","Male","Support EU Integration","Scandal","No Scandal","Party Affiliation","Liberal Democrats","Gender","Male","EU Integration","Oppose EU Integration","Misreporting Funds","Liberal Democrats","Male","Support EU Integration"
"222","86.30.73.93",100,35,TRUE,"2018/6/19 04:50","R_3oSytO45VpjrGDg",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",3.593,15.451,17.382,2,"Candidate 1",11.446,14.495,15.609,2,"Candidate 2","Gender","Male","EU Integration","Oppose EU Integration","Party Affiliation","Conservative Party","Scandal","Having an Extramarital Affair","Male","Oppose EU Integration","Conservative Party","Misreporting Funds","Gender","Female","EU Integration","Support EU Integration","Party Affiliation","Conservative Party","Scandal","Having an Extramarital Affair","Male","Neutral","Liberal Democrats","No Scandal"
"223","151.224.218.189",100,30,TRUE,"2018/6/19 04:52","R_30jXQ1G0pVub1DB",NA,NA,NA,NA,52.08329773,1.166702271,"anonymous","EN",13.335,13.335,15.881,1,"Candidate 1",11.776,11.776,13.336,1,"Candidate 2","Party Affiliation","Conservative Party","Scandal","Misreporting Funds","Gender","Female","EU Integration","Oppose EU Integration","Conservative Party","Misreporting Funds","Male","Oppose EU Integration","Party Affiliation","Labour Party","Scandal","Plagiarism","Gender","Male","EU Integration","Neutral","Conservative Party","Having an Extramarital Affair","Male","Neutral"
"224","85.255.237.90",100,22,TRUE,"2018/6/19 04:53","R_2xxx8MiEOgI9BNj",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",1.393,9.114,9.597,3,"Candidate 2",10.66,10.574,11.309,2,"Candidate 2","Scandal","Plagiarism","Party Affiliation","Labour Party","EU Integration","Neutral","Gender","Male","Having an Extramarital Affair","Conservative Party","Neutral","Male","Scandal","Misreporting Funds","Party Affiliation","Labour Party","EU Integration","Oppose EU Integration","Gender","Male","Misreporting Funds","Labour Party","Support EU Integration","Male"
"225","86.1.184.96",100,35,TRUE,"2018/6/19 05:08","R_0N7oWnfd7lwIOKR",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",4.566,13.02,13.561,4,"Candidate 1",3.867,14.116,14.183,4,"Candidate 2","EU Integration","Neutral","Party Affiliation","Liberal Democrats","Scandal","Having an Extramarital Affair","Gender","Female","Support EU Integration","Conservative Party","Sexual Harassment","Female","EU Integration","Support EU Integration","Party Affiliation","Conservative Party","Scandal","Sexual Harassment","Gender","Male","Support EU Integration","Labour Party","Misreporting Funds","Male"
"226","94.197.120.183",100,24,TRUE,"2018/6/19 05:08","R_D6qK33U2ZeCS24N",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",6.011,13.738,15.101,4,"Candidate 1",3.96,6.755,7.699,4,"Candidate 2","Scandal","Having an Extramarital Affair","Party Affiliation","Conservative Party","EU Integration","Neutral","Gender","Female","Sexual Harassment","Conservative Party","Neutral","Female","Scandal","No Scandal","Party Affiliation","Labour Party","EU Integration","Oppose EU Integration","Gender","Male","Having an Extramarital Affair","Liberal Democrats","Neutral","Male"
"227","176.251.88.148",100,27,TRUE,"2018/6/19 05:09","R_r0TeKchym9hKxIR",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",10.895,12.875,14.352,6,"Candidate 1",8.652,8.658,10.026,2,"Candidate 1","Gender","Male","Scandal","No Scandal","Party Affiliation","Labour Party","EU Integration","Neutral","Male","No Scandal","Labour Party","Neutral","Gender","Female","Scandal","Misreporting Funds","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Male","Plagiarism","Labour Party","Support EU Integration"
"229","213.205.251.30",100,30,TRUE,"2018/6/19 05:12","R_7ZO3w60h4BJIDD3",NA,NA,NA,NA,51.55000305,0.166702271,"anonymous","EN",6.364,17.086,17.831,4,"Candidate 2",8.807,10.142,10.818,4,"Candidate 1","EU Integration","Oppose EU Integration","Gender","Male","Scandal","Plagiarism","Party Affiliation","Liberal Democrats","Support EU Integration","Female","Sexual Harassment","Liberal Democrats","EU Integration","Neutral","Gender","Male","Scandal","No Scandal","Party Affiliation","Labour Party","Support EU Integration","Male","Plagiarism","Labour Party"
"230","95.149.130.5",100,14,TRUE,"2018/6/19 05:12","R_2pLZCXcpb3sLni8",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",5.74,6.875,7.38,3,"Candidate 1",5.677,5.694,6.483,2,"Candidate 1","Party Affiliation","Liberal Democrats","Gender","Male","EU Integration","Support EU Integration","Scandal","Misreporting Funds","Labour Party","Male","Support EU Integration","Misreporting Funds","Party Affiliation","Liberal Democrats","Gender","Female","EU Integration","Oppose EU Integration","Scandal","Plagiarism","Liberal Democrats","Male","Neutral","Sexual Harassment"
"231","5.66.54.47",100,15,TRUE,"2018/6/19 05:13","R_1cYujiYMm3D5TVN",NA,NA,NA,NA,52.08329773,1.166702271,"anonymous","EN",0.979,5.899,7.835,5,"Candidate 1",0.742,5.608,6.33,3,"Candidate 1","Party Affiliation","Labour Party","Scandal","No Scandal","Gender","Female","EU Integration","Neutral","Conservative Party","Having an Extramarital Affair","Female","Oppose EU Integration","Party Affiliation","Labour Party","Scandal","Misreporting Funds","Gender","Male","EU Integration","Support EU Integration","Liberal Democrats","Plagiarism","Male","Neutral"
"232","155.245.43.5",100,40,TRUE,"2018/6/19 05:18","R_3HGhAb489Wfeypt",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",9.606,9.606,18.284,1,"Candidate 2",16.748,16.748,22.061,1,"Candidate 2","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Gender","Male","Scandal","Having an Extramarital Affair","Conservative Party","Neutral","Male","No Scandal","Party Affiliation","Conservative Party","EU Integration","Neutral","Gender","Female","Scandal","Sexual Harassment","Labour Party","Support EU Integration","Female","Having an Extramarital Affair"
"233","82.153.105.239",100,27,TRUE,"2018/6/19 05:19","R_39sKDXN8brrZhwR",NA,NA,NA,NA,51.49639893,-0.122406006,"anonymous","EN",8.907,11.313,12.18,2,"Candidate 1",11.99,13.974,15.081,2,"Candidate 1","Gender","Female","EU Integration","Support EU Integration","Party Affiliation","Conservative Party","Scandal","Plagiarism","Female","Oppose EU Integration","Conservative Party","Plagiarism","Gender","Female","EU Integration","Support EU Integration","Party Affiliation","Liberal Democrats","Scandal","Sexual Harassment","Female","Oppose EU Integration","Liberal Democrats","No Scandal"
"234","86.1.185.63",100,32,TRUE,"2018/6/19 05:25","R_115WN1aGq5SKn7Q",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",19.839,19.844,20.519,2,"Candidate 1",8.789,8.794,9.527,2,"Candidate 1","Scandal","Having an Extramarital Affair","EU Integration","Neutral","Party Affiliation","Liberal Democrats","Gender","Male","Sexual Harassment","Oppose EU Integration","Conservative Party","Male","Scandal","Plagiarism","EU Integration","Oppose EU Integration","Party Affiliation","Labour Party","Gender","Female","Plagiarism","Neutral","Labour Party","Female"
"236","82.26.186.122",100,25,TRUE,"2018/6/19 05:27","R_1mVkh3TVS7fIPFb",NA,NA,NA,NA,51.35209656,0.533706665,"anonymous","EN",10.034,10.034,11.698,1,"Candidate 2",9.155,9.155,11.393,1,"Candidate 2","Gender","Male","EU Integration","Neutral","Party Affiliation","Liberal Democrats","Scandal","Having an Extramarital Affair","Male","Oppose EU Integration","Liberal Democrats","Plagiarism","Gender","Male","EU Integration","Support EU Integration","Party Affiliation","Liberal Democrats","Scandal","Misreporting Funds","Male","Neutral","Liberal Democrats","Plagiarism"
"237","155.245.52.75",100,28,TRUE,"2018/6/19 05:27","R_2tgRNzsipxMYfXH",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",11.445,11.445,13.045,1,"Candidate 2",12.816,12.816,13.684,1,"Candidate 2","Gender","Female","Party Affiliation","Labour Party","Scandal","Having an Extramarital Affair","EU Integration","Oppose EU Integration","Female","Labour Party","No Scandal","Support EU Integration","Gender","Female","Party Affiliation","Conservative Party","Scandal","Having an Extramarital Affair","EU Integration","Oppose EU Integration","Female","Liberal Democrats","Plagiarism","Neutral"
"239","213.205.251.21",100,27,TRUE,"2018/6/19 05:38","R_SZTM3mqSlUpaKSl",NA,NA,NA,NA,51.55000305,0.166702271,"anonymous","EN",1.697,10.574,14.406,3,"Candidate 1",1.19,5.219,6.852,3,"Candidate 2","Scandal","Sexual Harassment","Gender","Male","EU Integration","Oppose EU Integration","Party Affiliation","Liberal Democrats","Misreporting Funds","Male","Support EU Integration","Liberal Democrats","Scandal","No Scandal","Gender","Female","EU Integration","Support EU Integration","Party Affiliation","Labour Party","Sexual Harassment","Male","Neutral","Conservative Party"
"240","90.221.94.253",100,51,TRUE,"2018/6/19 05:38","R_2Ppvz8ORMcZNbLr",NA,NA,NA,NA,52.08329773,1.166702271,"anonymous","EN",1.993,8.749,37.972,3,"Candidate 2",1.813,10.11,11.899,3,"Candidate 2","Party Affiliation","Labour Party","Gender","Female","Scandal","Misreporting Funds","EU Integration","Oppose EU Integration","Labour Party","Male","Having an Extramarital Affair","Neutral","Party Affiliation","Liberal Democrats","Gender","Male","Scandal","Sexual Harassment","EU Integration","Support EU Integration","Liberal Democrats","Male","Plagiarism","Support EU Integration"
"241","62.172.163.242",100,21,TRUE,"2018/6/19 05:39","R_1diB20LIdtxRvVq",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",13.255,13.255,14.289,1,"Candidate 2",4.376,4.376,6.067,1,"Candidate 2","Gender","Male","Scandal","Sexual Harassment","EU Integration","Neutral","Party Affiliation","Labour Party","Male","Plagiarism","Oppose EU Integration","Conservative Party","Gender","Female","Scandal","Sexual Harassment","EU Integration","Neutral","Party Affiliation","Labour Party","Female","Misreporting Funds","Neutral","Labour Party"
"242","88.96.54.126",100,13,TRUE,"2018/6/19 05:41","R_2aL8Mk6pEy2FNwY",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",6.035,6.035,6.783,1,"Candidate 2",4.532,4.532,5.338,1,"Candidate 2","Scandal","Having an Extramarital Affair","Party Affiliation","Conservative Party","Gender","Male","EU Integration","Oppose EU Integration","Having an Extramarital Affair","Conservative Party","Male","Neutral","Scandal","Sexual Harassment","Party Affiliation","Labour Party","Gender","Male","EU Integration","Support EU Integration","Having an Extramarital Affair","Labour Party","Female","Support EU Integration"
"243","155.245.59.27",100,20,TRUE,"2018/6/19 05:44","R_3feN6jdJVzIJv92",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",10.91,10.91,12.29,1,"Candidate 2",6.81,6.81,8.235,1,"Candidate 2","EU Integration","Oppose EU Integration","Gender","Male","Party Affiliation","Conservative Party","Scandal","Misreporting Funds","Support EU Integration","Male","Liberal Democrats","Plagiarism","EU Integration","Support EU Integration","Gender","Male","Party Affiliation","Liberal Democrats","Scandal","Misreporting Funds","Neutral","Female","Liberal Democrats","No Scandal"
"244","155.245.98.61",100,34,TRUE,"2018/6/19 05:45","R_vpmQTwKdMBTAIHn",NA,NA,NA,NA,51.88279724,1.004592896,"anonymous","EN",21.95,21.95,22.887,1,"Candidate 1",9.976,10.666,11.184,2,"Candidate 2","EU Integration","Oppose EU Integration","Scandal","No Scandal","Party Affiliation","Labour Party","Gender","Male","Oppose EU Integration","Plagiarism","Conservative Party","Female","EU Integration","Support EU Integration","Scandal","Sexual Harassment","Party Affiliation","Conservative Party","Gender","Male","Neutral","Plagiarism","Conservative Party","Female"
"245","86.1.188.221",100,17,TRUE,"2018/6/19 05:46","R_1fiJXBT3VOmddIF",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",6.916,6.919,7.987,2,"Candidate 2",6.542,7.76,8.077,3,"Candidate 1","Gender","Male","EU Integration","Oppose EU Integration","Party Affiliation","Liberal Democrats","Scandal","Plagiarism","Female","Neutral","Liberal Democrats","No Scandal","Gender","Female","EU Integration","Oppose EU Integration","Party Affiliation","Labour Party","Scandal","Plagiarism","Female","Oppose EU Integration","Liberal Democrats","Sexual Harassment"
"246","86.137.181.112",100,27,TRUE,"2018/6/19 05:46","R_1n7rI94iqTmbO7F",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",7.696,9.604,10.204,3,"Candidate 2",15.795,15.809,16.717,2,"Candidate 1","Party Affiliation","Conservative Party","Scandal","Plagiarism","EU Integration","Oppose EU Integration","Gender","Female","Conservative Party","Misreporting Funds","Neutral","Female","Party Affiliation","Conservative Party","Scandal","Having an Extramarital Affair","EU Integration","Oppose EU Integration","Gender","Female","Liberal Democrats","Sexual Harassment","Support EU Integration","Male"
"247","155.245.97.161",100,42,TRUE,"2018/6/19 05:47","R_rf4KuQqev4AE4kV",NA,NA,NA,NA,51.93649292,1.278305054,"anonymous","EN",16.217,16.217,17.104,1,"Candidate 1",23.926,23.926,25.211,1,"Candidate 2","Scandal","Sexual Harassment","Party Affiliation","Conservative Party","EU Integration","Support EU Integration","Gender","Female","Sexual Harassment","Liberal Democrats","Neutral","Male","Scandal","Plagiarism","Party Affiliation","Liberal Democrats","EU Integration","Oppose EU Integration","Gender","Male","Sexual Harassment","Liberal Democrats","Support EU Integration","Female"
